bucket,total,--,AE,AR,AT,AU,BE,BG,BJ,BM,BO,BR,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GE,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IT,JM,JP,KE,KR,KZ,LA,LT,LU,LV,MA,MK,MN,MW,MX,MY,NA,NG,NI,NL,NO,NP,NZ,OM,PE,PF,PH,PK,PL,PS,PT,PY,QA,RO,RS,RU,RW,SE,SG,SI,SK,SY,TH,TN,TR,TW,UA,UG,US,UY,VE,VN,ZA
2022-08-15T05,82,3,0,0,0,2,1,0,0,0,0,0,0,0,4,0,0,0,0,19,0,0,0,4,0,0,0,0,0,0,1,0,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,17,0,0,0,2
2022-08-15T06,105,2,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,17,0,0,0,10,0,0,0,0,0,0,1,0,11,3,0,0,0,3,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,4,0,0,26,0,0,1,0
2022-08-15T07,125,4,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,21,0,0,0,7,0,0,0,0,0,0,1,0,4,2,0,0,0,1,0,0,0,0,13,0,0,0,2,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,2,0,0,5,0,0,31,0,0,1,0
2022-08-15T08,106,4,0,0,0,1,1,0,0,0,0,0,0,0,10,1,0,0,0,23,0,0,0,4,0,0,0,0,0,0,1,0,8,4,0,0,0,2,0,0,0,3,0,0,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,5,0,0,1,1,0,0,2,1,0,16,0,0,0,0
2022-08-15T09,127,3,0,0,1,0,0,0,0,0,0,4,1,0,3,2,0,0,0,19,0,0,0,11,0,0,0,0,0,0,5,0,3,5,0,0,0,1,0,0,0,1,1,0,9,1,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,6,0,0,0,3,0,1,2,0,0,27,0,0,0,0
2022-08-15T10,116,2,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,9,1,0,0,0,0,0,3,0,3,6,0,0,0,3,0,0,0,2,12,0,4,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,2,7,0,0,0,7,0,0,0,0,0,27,1,0,0,0
2022-08-15T11,94,2,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,4,0,3,3,0,0,0,1,0,0,0,1,1,0,2,0,3,0,0,0,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,6,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,2,1,0,5,0,0,0,7,0,1,3,0,0,22,0,0,0,0
2022-08-15T12,129,2,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,2,0,0,0,8,0,0,0,0,0,0,2,0,13,2,0,0,0,13,0,0,0,1,6,0,2,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,2,0,0,13,0,0,0,13,0,0,7,0,0,21,0,0,0,0
2022-08-15T13,141,3,0,0,1,0,2,0,0,0,0,1,0,0,3,1,0,0,0,3,0,0,0,9,0,0,0,0,0,0,3,0,12,4,0,0,0,13,0,0,0,1,9,0,0,0,5,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,5,0,1,9,0,0,0,7,0,1,5,0,0,32,0,0,0,0
2022-08-15T14,148,3,0,1,0,3,0,0,0,0,0,1,0,0,3,1,0,0,0,6,0,0,0,15,0,1,0,1,0,0,3,0,12,3,0,0,0,7,0,0,0,1,0,0,6,0,9,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,6,1,0,0,12,0,1,7,0,0,27,0,0,0,0
2022-08-15T15,155,3,0,1,1,1,1,0,0,0,0,2,0,0,3,2,0,1,0,6,0,0,0,16,0,1,0,1,0,0,5,0,9,13,0,0,0,3,0,0,1,1,0,0,1,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,3,0,0,6,0,0,0,10,0,1,3,0,0,36,0,0,0,0
2022-08-15T16,185,3,0,2,0,0,1,0,0,0,0,1,0,0,5,1,0,0,0,17,0,0,0,33,1,0,0,0,0,0,3,0,14,9,0,0,0,7,0,0,1,2,0,0,6,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,1,6,0,0,0,15,0,2,3,1,0,29,0,0,0,0
2022-08-15T17,226,2,0,2,1,0,2,0,0,0,0,3,0,0,10,2,0,0,0,15,0,0,0,27,0,0,0,0,0,0,9,0,7,5,0,0,0,4,0,0,0,2,1,0,6,0,9,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,2,0,1,6,0,0,0,10,0,2,4,1,0,69,0,0,0,0
2022-08-15T18,210,3,0,2,0,0,4,0,0,0,0,0,0,0,14,2,0,0,0,20,0,0,0,40,0,0,0,0,0,0,9,0,7,10,0,0,0,2,0,0,0,0,1,0,7,1,6,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,2,10,0,0,0,4,0,1,3,0,0,37,0,0,0,0
2022-08-15T19,165,3,0,1,1,0,2,0,0,0,0,0,0,0,14,3,0,0,0,16,0,0,0,29,0,0,0,0,0,1,4,0,8,8,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,16,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,1,5,0,0,0,1,0,0,1,0,0,33,0,0,1,0
2022-08-15T20,172,2,0,1,0,0,2,0,0,0,0,0,0,0,5,1,0,0,0,19,0,0,1,33,0,0,0,0,0,0,4,0,9,12,0,0,0,1,0,0,0,1,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,1,8,0,0,0,1,0,3,0,0,0,27,0,0,0,0
2022-08-15T21,162,3,0,3,0,7,2,0,0,0,0,3,1,0,4,0,0,0,0,19,0,0,0,22,0,0,0,0,0,0,5,0,10,14,0,0,0,0,0,0,0,1,0,0,0,0,12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,6,0,0,0,0,0,3,0,0,0,21,0,0,0,0
2022-08-15T22,122,3,0,2,0,6,1,0,0,0,0,2,1,0,3,0,0,0,0,3,0,0,0,15,0,0,0,0,0,0,2,0,3,9,0,0,0,1,0,0,0,0,1,0,1,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,7,0,0,0,1,0,0,0,0,0,31,0,0,0,0
2022-08-15T23,120,2,0,2,0,8,0,0,0,0,0,5,0,0,9,0,0,0,0,5,1,0,0,10,0,0,0,0,0,0,2,0,1,6,0,0,0,0,0,0,0,1,0,0,1,0,5,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,37,0,0,1,2
2022-08-16T00,105,3,0,2,0,9,0,0,0,0,1,2,0,0,14,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,5,0,0,0,1,0,0,0,0,0,35,0,0,0,0
