bucket,total,--,AD,AE,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DZ,EC,EG,ES,ET,FI,FR,GB,GE,GH,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KE,KH,KM,KR,KY,KZ,LB,LK,LT,LU,LV,MA,MC,MD,MK,MN,MS,MT,MV,MX,MY,NA,NL,NO,NP,NZ,OM,PA,PE,PH,PK,PL,PT,QA,RE,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,SN,SY,TH,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VI,VN,ZA,ZW
2022-04-18T07,88,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,11,0,0,0,5,0,0,0,0,0,0,0,4,3,0,0,0,0,9,1,0,1,0,0,2,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,4,0,0,0,0,0,0,2,0,1,0,0,0,2,0,4,0,0,0,0,6,0,0,0,0,2,0,1,0,0,0,0,0,14,0,0,0,0,1,0,0
2022-04-18T08,99,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,7,0,0,0,19,1,0,0,0,1,0,0,4,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,6,0,0,0,0,3,1,0,0,1,0,0,0,15,0,0,0,0,1,0,0
2022-04-18T09,157,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,12,0,0,0,24,1,0,0,0,3,0,0,6,10,0,0,0,0,10,0,0,1,0,0,0,0,0,0,11,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,14,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2,1,0,0,3,7,0,0,0,0,3,1,0,0,0,0,0,0,26,0,0,0,0,0,0,0
2022-04-18T10,127,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,16,0,0,0,16,0,0,0,0,6,0,0,6,6,0,0,0,0,13,0,0,1,0,0,0,0,0,0,8,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,1,5,0,0,0,0,6,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0
2022-04-18T11,145,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,15,0,0,0,20,1,0,0,0,6,0,0,4,6,0,0,0,0,12,0,0,1,0,0,0,0,0,0,2,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,1,6,0,0,0,0,12,0,0,0,3,0,1,1,23,0,0,0,0,0,0,0
2022-04-18T12,151,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,20,0,0,0,19,0,0,0,0,0,0,3,9,5,0,0,0,0,18,0,0,1,0,1,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,3,0,1,0,0,0,1,0,4,0,0,0,1,5,0,0,0,0,8,0,1,0,10,0,1,1,15,0,0,0,0,1,0,0
2022-04-18T13,164,1,0,0,0,1,1,5,0,0,0,2,1,0,1,0,1,0,0,0,17,0,0,0,18,0,0,0,0,0,0,5,6,9,0,0,0,0,24,0,0,0,0,0,1,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,3,0,1,0,0,0,0,0,4,0,0,0,2,5,0,0,0,0,15,0,0,0,2,0,0,1,16,0,0,0,0,0,0,0
2022-04-18T14,172,1,0,0,0,1,0,5,0,0,0,0,0,0,3,0,4,0,0,0,6,0,0,0,24,0,0,0,0,2,0,6,9,8,0,0,0,0,15,1,0,0,0,0,1,0,0,0,8,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,13,1,0,0,0,0,0,2,1,0,0,0,0,2,0,7,0,0,0,4,6,0,0,0,0,16,0,1,0,4,0,0,0,12,0,0,0,0,0,0,0
2022-04-18T15,173,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,5,0,0,0,4,0,0,0,33,0,0,0,0,4,0,3,8,7,0,0,0,0,12,0,0,0,0,0,1,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,1,0,0,0,0,0,2,1,2,0,0,0,0,0,4,0,0,0,5,6,0,0,0,0,14,0,1,0,4,0,0,0,20,0,0,0,0,2,0,0
2022-04-18T16,214,0,0,0,0,1,3,0,0,1,0,3,0,0,0,1,4,0,0,0,7,0,0,0,33,0,0,0,0,3,0,4,18,11,0,0,0,0,9,0,0,0,3,0,2,0,0,0,21,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,1,0,0,0,0,0,2,0,2,0,1,0,0,0,5,1,0,0,14,5,0,0,0,0,13,0,0,0,1,0,0,0,20,0,0,0,0,1,0,0
2022-04-18T17,226,0,0,0,0,1,3,1,1,2,0,3,0,0,3,0,9,2,1,0,3,0,0,0,59,0,0,0,0,5,0,0,15,6,0,0,0,0,10,0,0,0,1,0,2,0,0,0,19,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,1,0,1,0,0,0,1,0,1,0,0,0,0,0,6,0,0,0,7,9,0,0,0,0,7,0,0,0,1,0,0,0,17,0,0,0,0,2,0,0
2022-04-18T18,219,0,0,0,0,0,5,0,1,1,0,4,0,0,2,0,19,1,0,0,5,0,0,0,53,0,0,0,0,7,0,0,9,15,0,0,0,0,6,0,0,0,0,0,0,0,0,0,16,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,21,1,0,0,0,0,0,0,0,0,2,0,0,0,1,4,0,0,0,5,7,0,0,0,0,6,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0
2022-04-18T19,218,0,0,0,0,0,1,0,1,1,0,4,0,0,4,0,10,2,0,0,6,0,0,0,41,1,0,0,0,7,0,0,6,13,0,0,0,0,4,0,0,0,1,0,1,0,0,0,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,26,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,3,9,0,0,0,0,7,0,1,0,1,0,0,0,36,0,0,0,0,0,0,0
2022-04-18T20,189,0,0,0,0,1,2,0,0,1,0,2,0,0,0,0,9,2,0,0,5,0,0,0,35,1,0,0,0,3,0,0,11,18,0,0,0,0,4,0,0,1,0,0,0,0,0,0,24,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,16,1,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,2,6,0,0,0,0,3,0,2,0,1,0,1,0,23,0,0,0,0,5,0,0
2022-04-18T21,147,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,5,1,0,0,7,1,0,0,28,0,0,0,0,2,0,0,9,9,0,0,0,0,3,0,0,0,0,0,1,0,0,0,19,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,3,6,0,0,0,0,0,0,1,0,0,0,1,0,24,0,0,0,0,0,0,0
2022-04-18T22,151,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,6,1,0,0,6,1,0,0,17,0,0,0,0,1,0,0,8,11,0,0,0,0,4,0,0,0,0,0,1,0,0,0,12,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,2,0,0,1,0,4,0,0,0,2,7,0,0,0,0,1,0,1,0,0,0,0,0,42,0,1,0,0,1,0,0
2022-04-18T23,134,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,15,1,0,0,9,0,0,0,15,0,0,0,0,2,0,0,5,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,1,7,0,0,0,0,0,0,1,0,0,0,0,0,37,0,1,0,0,1,0,0
2022-04-19T00,120,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,26,1,0,0,10,0,0,0,9,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,0,1,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,38,0,0,0,0,0,0,0
2022-04-19T01,102,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,20,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,1,4,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,1,0,0
2022-04-19T02,102,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10,0,0,0,12,0,0,0,7,0,0,0,0,0,0,0,1,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,1,6,0,0,0,0,3,0,0,0,0,0,0,0,37,0,0,0,0,2,0,0
2022-04-19T03,86,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,8,0,0,0,10,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,1,5,0,0,0,0,4,0,0,0,0,0,0,0,25,0,0,0,0,1,0,0
2022-04-19T04,95,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6,1,0,0,14,0,0,0,5,1,0,0,0,0,0,0,1,3,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,0,1,6,0,0,0,0,3,0,0,0,1,0,0,0,27,0,0,0,0,0,0,0
2022-04-19T05,94,0,0,0,0,1,0,5,0,0,0,0,0,0,1,0,5,0,1,0,13,1,0,0,3,0,0,0,0,0,0,1,1,2,0,0,0,0,8,0,0,0,0,0,3,0,1,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,0,0,0,1,8,0,0,0,0,4,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0
