bucket,total,--,AE,AO,AR,AT,AU,BE,BR,BY,CA,CH,CL,CN,CO,CZ,DE,DO,EC,EE,EG,ES,FI,FR,GB,GR,HK,HU,ID,IE,IL,IN,IR,IT,JP,KE,KG,KH,KM,KR,KZ,LA,LT,LU,LV,MA,MD,MK,MM,MN,MO,MR,MX,MY,MZ,NG,NL,NO,NP,NZ,PE,PH,PL,PR,PS,PT,RO,RS,RU,RW,SC,SE,SG,SI,SX,SY,TH,TR,TW,UA,US,UZ,VN,ZA
2022-10-10T13,197,1,0,0,0,1,0,0,0,1,10,0,0,18,1,0,19,0,0,0,0,1,0,9,15,0,1,0,0,0,0,0,0,4,2,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,1,0,0,0,5,0,0,3,5,0,0,0,12,0,6,1,64,0,1,0
2022-10-10T14,144,3,0,0,0,0,0,0,2,1,2,0,0,11,1,0,19,1,0,0,0,2,0,11,7,0,2,0,0,0,1,1,0,8,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,1,1,0,1,0,1,0,5,0,0,3,7,0,0,0,13,0,4,0,20,0,1,0
2022-10-10T15,149,4,0,0,0,0,0,1,2,0,4,1,0,5,0,0,28,0,0,0,0,3,0,9,9,0,0,0,1,0,0,2,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1,1,0,0,0,1,0,5,0,0,3,5,0,0,0,8,0,4,0,35,0,0,0
2022-10-10T16,205,2,0,0,0,0,0,0,1,0,3,2,0,15,1,0,41,0,0,0,0,6,0,10,9,0,4,0,1,13,0,1,0,7,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8,2,0,0,1,2,3,0,0,0,1,1,6,0,0,2,7,0,0,0,12,1,1,0,30,0,0,0
2022-10-10T17,209,2,0,0,0,1,0,2,0,0,5,1,1,16,1,0,44,0,0,1,0,5,2,12,8,0,5,1,0,1,0,0,0,12,10,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,1,2,0,0,1,2,1,7,1,0,5,6,0,0,0,14,1,2,0,22,0,0,0
2022-10-10T18,248,4,0,0,0,0,0,2,0,0,9,2,2,13,0,0,41,0,0,0,0,8,0,22,9,1,1,1,0,0,0,7,0,10,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,1,0,0,0,0,0,2,0,0,3,7,0,0,0,11,4,1,0,59,0,0,0
2022-10-10T19,221,2,0,0,0,0,0,3,0,0,15,3,0,15,0,0,42,0,0,0,0,6,0,16,8,0,2,0,0,0,0,1,0,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,1,0,0,1,1,0,6,0,0,1,6,0,0,0,5,3,1,0,51,0,0,0
2022-10-10T20,179,1,0,0,0,0,0,3,1,0,4,4,0,15,0,0,36,0,0,0,0,5,0,12,14,0,1,0,0,1,0,2,0,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,2,1,0,1,1,0,4,0,0,4,7,0,0,0,4,1,0,0,29,0,0,0
2022-10-10T21,168,2,0,0,0,0,0,1,1,0,2,5,0,17,0,0,27,1,0,0,0,5,0,9,16,0,0,0,0,0,0,1,0,10,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0,2,0,0,3,0,0,3,0,0,2,5,0,0,0,3,2,0,0,31,0,2,0
2022-10-10T22,100,3,0,0,1,0,0,0,3,0,8,0,1,3,1,0,13,0,0,0,0,2,0,6,8,0,1,0,0,0,0,3,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,4,1,0,1,7,0,0,0,1,0,0,0,17,0,0,0
2022-10-10T23,93,1,0,0,2,0,0,0,2,0,11,0,0,2,2,0,11,0,0,0,0,1,0,3,4,0,1,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,1,0,4,0,0,1,6,0,0,0,1,0,0,0,27,0,0,0
2022-10-11T00,102,1,0,0,0,0,0,0,3,0,12,0,1,5,2,0,4,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,6,0,0,0,2,0,0,0,46,0,0,1
