bucket,total,--,AE,AR,AT,AU,AZ,BA,BE,BG,BO,BR,BY,CA,CH,CL,CN,CO,DE,DK,DO,EG,ES,ET,FI,FR,GB,GM,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KR,KW,KZ,LK,LT,LU,LV,MD,MK,MM,MT,MU,MX,MY,NL,NO,NP,NZ,PH,PK,PL,PT,PY,RO,RS,RU,RW,SE,SG,SK,SN,SY,TH,TR,TW,TZ,UA,UG,US,UY,VN
2022-04-25T03,118,1,0,0,1,4,0,0,0,0,0,0,0,12,0,0,8,1,4,0,0,0,1,0,0,3,2,0,1,0,0,1,3,0,1,1,1,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,4,1,1,7,0,0,0,2,0,3,0,0,0,37,0,2
2022-04-25T04,117,2,0,0,1,1,0,0,0,1,0,0,0,6,0,0,11,1,5,1,0,0,0,0,0,7,8,0,2,0,0,0,2,0,2,0,0,9,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,1,0,2,0,0,7,0,0,0,2,0,8,0,0,1,28,0,0
2022-04-25T05,98,1,0,0,0,3,0,0,0,0,0,0,0,5,0,0,7,0,5,0,0,0,1,0,0,2,2,0,5,0,0,1,1,0,1,0,2,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,4,1,0,6,0,0,0,2,0,4,0,0,1,29,0,1
2022-04-25T06,144,1,0,0,0,4,0,0,0,0,1,2,0,4,0,0,9,0,6,0,0,0,1,0,0,5,2,0,8,0,0,0,0,0,1,0,2,6,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,4,1,1,5,0,0,0,8,0,3,0,0,0,54,0,6
2022-04-25T07,137,3,0,0,1,2,0,0,1,0,1,4,0,6,0,0,9,0,8,0,0,0,1,0,0,1,4,0,2,0,0,0,0,1,1,1,1,12,0,3,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,7,0,0,0,4,0,3,0,0,0,50,0,2
2022-04-25T08,143,1,0,0,1,1,0,0,0,0,1,0,0,5,0,0,11,0,14,0,0,0,1,0,0,8,6,0,11,0,0,0,4,1,1,1,3,10,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,4,0,0,0,0,7,0,0,8,0,0,0,6,0,1,0,0,0,29,0,0
2022-04-25T09,138,1,0,1,0,1,0,0,0,0,0,1,0,6,0,0,8,0,24,0,0,0,1,0,0,10,10,0,8,0,0,0,1,1,0,0,9,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,2,0,1,0,0,0,0,5,0,0,8,0,0,0,2,0,1,0,0,0,26,0,1
2022-04-25T10,108,1,0,0,2,0,0,0,1,0,0,1,0,4,0,0,10,0,14,0,0,0,2,0,0,3,8,0,1,0,1,0,0,0,0,0,4,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,1,1,0,0,0,0,2,0,3,0,2,5,0,0,0,4,2,4,0,0,0,10,0,0
2022-04-25T11,154,1,0,0,0,2,0,0,1,0,0,2,0,5,0,0,6,0,12,0,0,0,5,0,0,4,4,0,8,0,0,1,0,0,1,0,2,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,1,0,0,0,0,3,0,3,0,0,6,0,0,0,8,0,2,0,0,0,47,0,2
2022-04-25T12,190,1,0,0,0,0,1,0,2,0,0,2,0,4,1,0,4,0,19,0,0,0,1,0,0,9,3,0,10,1,0,1,0,0,1,0,4,6,0,6,0,0,0,0,1,0,0,0,0,0,0,0,3,4,0,0,0,2,0,0,0,0,1,0,6,0,2,7,0,0,0,13,0,11,0,0,0,63,0,1
2022-04-25T13,175,1,0,0,0,0,1,0,1,0,0,2,0,11,0,0,9,0,19,0,0,0,4,0,0,6,5,0,20,2,0,1,0,0,2,0,4,4,0,4,0,0,0,0,1,0,0,0,0,0,0,0,5,9,0,0,0,1,0,0,0,0,0,0,3,0,0,9,0,0,0,8,0,8,0,1,0,32,0,2
2022-04-25T14,207,1,0,1,1,4,0,0,0,0,0,1,0,11,0,0,5,0,29,0,0,0,3,0,0,10,4,0,21,0,0,0,0,1,4,0,7,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,4,10,0,0,0,2,0,0,0,0,1,0,7,0,1,7,0,0,0,16,1,13,0,0,0,33,0,1
2022-04-25T15,206,1,0,0,1,0,0,1,0,0,0,1,0,10,1,1,9,0,30,0,0,0,3,0,2,11,6,0,15,0,0,1,0,0,2,1,12,2,0,4,0,0,0,0,0,0,0,2,0,0,0,1,7,7,0,0,0,2,0,2,0,0,1,0,6,1,1,8,0,0,0,10,1,11,0,1,0,29,0,2
2022-04-25T16,236,3,7,2,1,0,0,1,0,0,0,2,0,7,0,0,6,0,43,0,0,0,13,0,1,14,6,0,3,0,0,1,0,0,1,0,17,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,11,1,0,0,1,1,2,0,0,0,0,7,0,7,7,0,0,0,16,1,6,0,1,0,41,0,0
2022-04-25T17,235,2,2,1,2,2,0,1,3,1,0,1,0,10,0,0,8,0,65,0,0,0,7,0,0,9,7,0,4,0,0,0,1,0,1,0,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,1,1,1,0,0,4,0,5,0,11,6,0,0,0,14,1,6,0,0,0,22,0,1
2022-04-25T18,241,4,0,0,2,1,0,2,2,0,0,1,1,13,0,1,7,0,66,0,0,0,13,0,0,7,16,0,2,0,0,0,0,1,1,0,19,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,30,2,0,0,1,0,3,0,0,2,0,2,0,3,7,0,0,0,9,1,2,0,0,0,16,0,1
2022-04-25T19,218,2,0,0,0,0,0,1,1,0,0,1,1,7,1,1,5,0,50,1,0,0,6,1,0,15,15,0,2,0,0,0,2,2,1,0,18,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,24,3,0,1,0,0,2,1,0,0,0,5,1,3,8,0,0,1,4,1,2,0,0,0,26,0,1
