bucket,total,--,AE,AM,AO,AR,AT,AU,BA,BB,BD,BE,BG,BJ,BO,BR,BW,BY,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GE,GH,GM,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IT,JO,JP,KE,KH,KR,KZ,LA,LB,LR,LT,LU,LV,LY,MA,MD,MK,MM,MN,MO,MX,MY,MZ,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PT,PY,RO,RU,RW,SE,SG,SK,SX,SY,TH,TN,TR,TW,TZ,UA,UG,US,UZ,VE,VN,ZA,ZW
2022-09-18T22,167,2,0,0,0,0,0,14,1,0,0,0,0,0,0,3,0,0,4,0,0,0,17,0,0,0,16,0,0,0,0,0,0,4,2,7,10,0,0,0,0,0,2,0,0,0,0,10,0,0,0,8,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,1,3,0,2,6,0,0,0,0,0,0,0,0,0,0,34,0,0,1,0,0
2022-09-18T23,140,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,23,0,0,0,10,0,0,0,0,0,0,2,0,4,6,0,0,0,0,0,1,0,0,0,0,6,0,0,0,2,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,5,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0
2022-09-19T00,122,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,22,0,0,0,13,0,0,0,4,0,0,0,0,0,0,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,7,0,0,0,0,0,0,1,0,0,0,38,0,0,1,0,0
2022-09-19T01,119,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,17,0,0,0,7,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,0,0,0,2,0,0,0,0,0,0,44,0,0,0,0,0
2022-09-19T02,129,3,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,13,0,0,0,6,0,0,0,3,0,0,0,0,0,0,1,1,2,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,5,0,2,7,0,0,0,1,0,0,1,0,0,0,64,0,0,2,0,0
2022-09-19T03,63,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,3,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,5,1,0,0,0,0,0,1,0,0,0,20,0,0,1,0,0
2022-09-19T04,76,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,8,1,0,0,2,0,0,0,0,0,0,1,1,2,3,0,0,0,0,0,1,0,0,2,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,5,0,1,7,0,0,0,0,0,1,1,0,0,0,18,0,0,0,0,0
2022-09-19T05,84,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,1,0,0,3,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,4,0,1,6,0,0,0,0,0,0,2,0,0,0,39,0,0,0,0,0
2022-09-19T06,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,7,0,0,0,0,0,0,2,1,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,5,0,0,0,0,0,0,2,0,0,0,14,0,0,1,0,0
2022-09-19T07,105,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7,0,0,0,15,0,0,0,0,0,0,1,0,4,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,6,0,0,0,3,0,0,2,0,0,0,44,0,0,0,0,0
2022-09-19T08,115,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,18,1,0,0,0,0,0,1,1,2,5,0,0,0,0,0,2,0,0,0,0,14,0,2,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,6,0,0,0,2,0,1,2,0,0,0,34,0,0,2,0,0
2022-09-19T09,92,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,16,0,0,0,0,0,0,1,0,3,9,0,0,0,0,0,1,0,0,0,1,0,0,1,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,6,0,0,0,3,1,0,2,0,0,0,15,0,0,1,0,0
2022-09-19T10,84,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,10,0,0,0,0,0,0,1,1,5,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,1,0,1,0,0,0,0,5,0,0,5,0,0,0,3,0,0,1,0,0,0,12,0,0,0,1,0
2022-09-19T11,79,2,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,8,0,0,0,11,1,0,0,0,0,0,0,0,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,1,0,1,0,0,4,0,1,8,0,0,0,2,0,0,4,0,0,0,10,0,0,0,0,0
