bucket,total,--,AE,AM,AR,AT,AU,AZ,BB,BD,BE,BG,BM,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DO,EC,EE,EG,ES,ET,FI,FO,FR,GB,GE,GM,GR,GT,HK,HU,ID,IE,IL,IN,IR,IT,JM,JO,JP,KE,KH,KR,KZ,LA,LR,LT,MA,MD,MK,MU,MX,MY,MZ,NG,NL,NO,NP,NZ,OM,PE,PH,PK,PL,PS,PT,PY,QA,RO,RU,RW,SE,SG,SK,SY,TH,TN,TR,TW,TZ,UA,US,UZ,VE,VN,ZA,ZM,ZW
2022-08-30T05,87,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,11,0,0,0,8,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,7,0,0,0,0,0,1,0,0,27,0,0,0,0,0,0
2022-08-30T06,108,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,6,2,0,0,0,0,2,0,1,0,5,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,0,0,1,0,0,0,0,0,58,0,0,0,0,0,0
2022-08-30T07,79,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,9,1,0,0,0,0,2,0,0,0,7,2,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,1,0,0,2,0,0,31,0,0,0,0,0,0
2022-08-30T08,89,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,8,0,0,0,8,0,0,0,0,0,2,0,1,0,4,3,0,0,0,0,3,0,0,0,0,2,0,3,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,6,0,0,2,0,0,1,0,0,29,0,0,1,0,0,0
2022-08-30T09,79,3,0,0,0,0,1,0,1,0,0,0,0,0,3,0,1,0,0,0,6,0,0,0,13,1,0,0,0,0,2,0,0,0,3,4,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,7,0,0,1,0,0,2,0,1,16,0,0,0,0,0,0
2022-08-30T10,134,3,0,0,0,0,2,0,0,0,0,0,0,0,3,0,2,1,0,0,6,0,0,0,13,0,0,0,0,0,2,0,1,0,4,5,0,0,0,0,4,0,0,1,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,2,7,0,0,3,0,2,4,0,0,55,0,0,2,0,0,0
2022-08-30T11,111,2,0,0,3,0,5,0,0,0,0,1,0,0,2,0,2,0,0,1,5,0,0,0,10,0,0,0,0,0,4,0,0,0,2,5,0,0,0,0,2,0,0,1,0,3,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,2,7,0,0,4,0,1,8,0,0,23,0,0,1,0,0,0
2022-08-30T12,127,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,3,0,0,0,15,0,0,0,22,0,0,0,0,0,4,0,1,0,7,1,0,0,0,0,11,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,2,4,0,1,7,0,0,4,0,0,6,0,0,23,0,0,0,0,0,0
2022-08-30T13,118,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,12,0,0,0,0,0,2,0,0,0,10,6,0,0,0,0,19,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,0,0,11,0,0,8,0,0,20,0,0,0,0,0,0
2022-08-30T14,133,2,0,0,0,0,3,0,0,0,0,0,0,0,2,0,5,1,1,0,4,0,0,0,14,0,1,0,0,0,4,0,1,0,10,5,0,0,0,0,10,0,0,0,0,0,0,4,0,1,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,7,0,0,6,0,0,9,0,0,19,0,0,0,0,0,0
