bucket,total,--,AD,AE,AR,AT,AU,BA,BD,BE,BG,BH,BO,BR,BY,CA,CH,CL,CN,CO,CR,CZ,DE,DK,EC,EG,ES,ET,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KH,KR,KY,KZ,LA,LB,LK,LT,LU,MD,MN,MO,MX,MY,NL,NO,NP,NZ,PA,PE,PH,PL,PT,RO,RS,RU,RW,SC,SE,SG,TH,TJ,TN,TR,TW,UA,US,UY,VE,VN,ZA,ZM
2022-01-31T03,123,0,0,0,2,1,2,0,0,0,0,0,0,0,0,14,0,2,9,1,0,0,6,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,3,0,0,0,0,0,1,0,3,0,0,1,8,3,0,1,0,3,0,46,0,0,1,0,0
2022-01-31T04,110,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,8,0,0,0,5,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,3,0,4,0,0,1,6,3,0,0,0,2,0,48,0,0,0,0,0
2022-01-31T05,87,1,0,1,0,0,2,0,0,0,1,0,0,1,0,3,0,0,6,0,0,0,6,0,0,0,1,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,1,3,1,0,0,0,2,0,0,1,6,2,0,0,0,4,1,30,0,0,0,0,0
2022-01-31T06,105,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,6,2,0,0,9,0,0,0,1,0,0,4,4,0,0,4,0,1,0,0,0,0,0,1,6,0,2,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,3,0,0,0,0,5,0,0,1,8,4,0,0,1,1,1,30,0,0,0,0,0
2022-01-31T07,95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,5,1,0,0,10,0,0,0,1,0,0,3,3,0,0,1,0,0,0,0,0,0,0,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,3,0,0,1,7,5,0,0,2,1,1,32,0,0,0,0,0
2022-01-31T08,95,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,10,0,0,0,16,0,0,0,2,0,0,5,2,0,0,1,0,0,0,0,0,0,0,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,6,0,0,1,6,3,0,0,0,2,0,18,0,0,0,0,0
2022-01-31T09,125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,10,0,0,0,26,0,0,0,3,0,0,5,3,1,0,0,0,0,1,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,1,0,2,0,3,0,0,2,12,3,0,0,0,1,2,25,0,0,1,0,0
2022-01-31T10,153,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,8,0,0,0,36,0,0,0,2,0,0,5,6,0,0,1,0,0,1,0,0,0,0,2,4,0,1,0,0,0,0,0,0,1,0,0,0,1,1,14,0,0,0,0,0,2,0,0,1,0,5,0,0,7,10,3,0,0,0,0,0,32,0,0,5,0,0
2022-01-31T11,132,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,9,0,0,0,29,0,0,1,2,0,0,2,4,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,2,1,0,2,0,3,0,0,4,8,4,0,0,0,1,2,26,0,0,5,0,0
2022-01-31T12,141,0,0,0,0,0,1,1,0,0,0,0,0,1,1,4,0,0,14,0,0,0,37,1,0,0,4,0,0,5,1,0,1,3,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,4,1,0,0,0,4,0,0,1,10,7,0,0,1,0,1,18,0,0,0,0,0
2022-01-31T13,148,0,0,0,0,0,1,1,0,1,0,0,0,0,0,4,4,0,15,0,0,0,32,1,0,0,2,0,0,5,4,0,2,4,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,3,1,0,0,0,4,0,0,3,8,8,0,0,1,3,0,19,0,0,0,0,0
2022-01-31T14,182,1,0,0,0,2,0,0,0,0,0,0,0,2,0,12,2,0,16,0,0,0,39,0,0,0,1,0,0,8,11,0,0,5,0,0,5,0,0,1,1,6,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,2,1,0,0,0,7,0,0,5,7,6,0,0,1,3,0,21,0,0,0,0,0
2022-01-31T15,202,1,0,1,2,2,0,0,0,1,0,0,0,2,0,7,0,0,16,0,0,0,59,0,0,0,1,0,2,9,10,0,0,2,0,0,0,3,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,6,0,1,1,0,9,0,0,4,6,5,0,0,2,1,1,20,0,0,1,0,0
2022-01-31T16,267,0,0,0,1,1,0,1,0,1,0,0,0,3,0,5,1,0,16,2,0,0,91,1,0,0,3,0,9,8,9,0,0,1,0,0,1,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,4,4,0,0,0,4,0,0,9,7,8,0,0,2,0,3,33,0,0,1,0,0
2022-01-31T17,440,1,0,0,0,1,0,1,0,1,0,0,0,1,0,9,5,1,13,0,1,0,222,2,0,0,8,0,3,12,12,0,2,4,0,0,2,1,0,0,0,10,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,25,1,1,0,0,0,2,4,1,0,0,3,0,0,18,9,9,0,0,2,1,1,44,0,0,1,0,0
2022-01-31T18,670,0,0,0,0,3,0,1,0,4,0,0,0,3,0,13,1,1,16,0,0,0,371,0,0,0,10,0,1,11,14,0,1,3,0,0,0,2,0,1,1,17,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,80,3,0,0,1,0,1,4,0,0,0,5,0,0,28,12,9,0,0,4,1,0,45,0,0,1,0,0
