bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BR,BW,BY,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DZ,EC,EE,EG,ES,FI,FR,GB,GE,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KG,KH,KR,KW,KZ,LA,LT,LU,MA,MD,MK,MN,MO,MT,MX,MY,MZ,NG,NL,NO,NZ,PE,PH,PK,PL,PT,PY,RO,RS,RU,RW,SA,SE,SG,SK,SN,SV,SY,TH,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA,ZW
2022-05-22T20,224,3,0,0,2,1,1,0,1,0,0,2,0,4,0,0,2,1,0,0,6,0,1,33,0,0,1,0,0,3,0,9,13,0,0,0,3,0,1,0,15,0,1,0,0,0,21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,0,0,0,0,0,0,0,0,1,0,4,1,0,1,6,0,0,0,0,8,2,2,2,0,46,0,0,0,2,0,0
2022-05-22T21,161,3,0,0,0,1,12,0,0,0,0,1,0,5,0,0,3,1,0,0,11,0,0,22,0,0,0,0,0,4,0,9,14,0,0,0,2,0,1,0,0,0,0,0,0,0,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,3,0,0,2,7,0,0,0,0,2,0,2,0,0,23,0,0,0,0,0,0
2022-05-22T22,142,2,0,0,0,1,0,0,0,0,0,0,1,3,0,0,2,2,0,0,11,0,0,16,0,0,0,0,0,3,0,4,12,0,0,0,2,0,0,0,0,0,1,0,0,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,1,0,1,0,0,1,6,0,0,0,0,2,0,3,0,0,41,0,0,0,1,0,0
2022-05-22T23,111,2,0,0,1,1,1,0,0,0,0,0,0,4,0,0,7,0,0,0,13,0,0,10,0,0,0,0,0,1,0,5,7,0,0,0,2,0,0,1,1,0,0,0,0,0,4,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,0,0,0,0,1,0,3,0,0,26,0,0,0,2,0,0
2022-05-23T00,131,3,0,0,0,1,1,0,0,0,0,0,0,2,0,1,11,0,0,0,17,0,0,7,0,0,0,0,0,2,0,2,4,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,1,0,0,0,0,2,0,0,1,5,0,0,0,0,1,0,5,0,0,39,0,0,0,1,0,0
2022-05-23T01,121,5,0,0,1,1,3,0,0,0,0,0,0,1,0,1,15,1,0,0,13,0,0,4,0,0,0,0,0,1,0,2,4,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,2,0,1,0,0,0,0,0,0,2,1,0,1,5,0,0,0,0,1,0,4,1,0,35,0,0,0,0,0,0
2022-05-23T02,124,2,0,0,1,1,3,0,0,0,0,0,0,0,0,0,16,0,0,0,19,1,0,3,0,0,0,0,0,1,0,3,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,2,0,1,0,1,0,0,0,0,1,0,0,1,5,0,0,0,0,1,0,7,0,0,33,0,0,0,5,0,0
2022-05-23T03,94,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,4,0,0,0,12,1,0,5,0,0,0,0,0,1,0,2,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1,0,2,1,0,1,6,0,0,1,0,1,0,3,0,0,28,0,0,0,1,0,0
2022-05-23T04,106,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,4,0,0,0,12,1,0,4,0,0,0,0,0,1,0,3,3,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,3,0,0,1,5,0,0,0,0,3,1,3,0,0,25,0,0,0,2,0,0
2022-05-23T05,84,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,11,1,0,6,0,0,0,0,0,1,0,2,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,1,0,0,0,0,2,0,0,1,5,0,0,0,0,2,1,5,0,0,21,0,0,0,0,0,0
2022-05-23T06,88,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,16,1,0,5,0,0,0,0,0,1,0,3,3,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,5,0,0,0,0,2,0,4,0,0,18,0,0,0,1,0,0
2022-05-23T07,85,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,10,0,0,7,0,0,0,0,0,1,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,3,0,0,1,0,2,0,5,0,0,1,5,0,0,0,0,2,1,5,0,0,16,0,1,0,0,0,0
2022-05-23T08,104,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,15,0,0,13,1,0,0,0,0,1,0,6,3,0,0,0,3,0,0,0,0,1,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,1,1,0,0,0,0,3,0,0,2,6,0,0,0,0,1,0,7,0,0,17,0,0,0,2,0,0
2022-05-23T09,112,4,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,12,1,0,14,0,0,0,0,0,2,0,10,4,0,0,0,1,0,0,1,0,0,2,1,0,0,3,0,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,2,0,0,1,5,0,0,0,0,2,1,7,0,0,17,0,1,0,2,0,0
2022-05-23T10,126,3,0,0,1,1,11,0,0,0,0,0,0,2,0,1,1,0,0,0,17,0,0,10,0,0,0,0,0,2,1,5,6,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,2,0,0,0,0,0,0,3,0,0,1,5,0,0,0,1,1,1,3,0,0,24,0,1,0,0,0,0
2022-05-23T11,134,2,0,0,0,1,3,0,0,0,0,0,0,1,0,0,1,1,0,0,12,0,0,14,0,0,0,0,0,2,1,6,8,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,1,0,0,1,0,2,0,0,1,5,0,0,0,0,7,1,8,0,0,36,0,0,0,0,0,0
2022-05-23T12,158,3,0,0,1,1,3,0,0,0,0,1,0,0,0,0,1,1,0,0,21,0,0,13,0,0,0,0,0,1,0,6,8,0,0,0,9,1,0,1,1,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,12,0,13,0,0,42,0,0,0,2,0,0
2022-05-23T13,131,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,8,0,0,0,12,0,0,13,0,0,0,0,0,0,0,5,7,0,0,0,12,1,0,2,1,1,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,4,0,0,1,5,0,0,0,0,9,1,7,0,0,16,0,0,0,0,0,0
2022-05-23T14,177,1,0,0,0,1,0,0,0,0,0,1,0,3,0,0,5,0,0,0,13,0,0,18,0,0,0,0,0,1,0,8,6,0,0,0,10,2,0,2,0,1,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,2,0,0,0,0,1,0,4,0,0,1,5,0,0,0,0,12,2,7,0,0,50,0,0,0,1,0,0
2022-05-23T15,144,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,9,0,1,23,0,0,0,0,0,2,0,8,10,1,0,0,6,2,0,0,1,1,1,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,1,0,0,0,0,0,0,3,0,0,1,8,0,0,0,0,13,2,8,0,0,15,0,0,0,1,0,0
2022-05-23T16,216,2,7,0,2,1,1,0,0,0,0,1,0,1,0,0,2,1,0,0,18,0,0,44,0,0,0,0,0,6,0,7,12,0,1,0,6,1,0,1,0,0,0,0,0,1,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8,1,0,0,1,0,1,0,0,3,0,4,0,0,2,7,0,0,0,0,7,2,8,0,0,32,0,0,0,1,0,0
2022-05-23T17,268,3,7,0,1,0,0,0,0,0,0,4,0,1,0,0,3,0,1,0,21,0,0,67,0,0,0,0,0,8,0,8,13,0,0,0,3,1,0,1,1,0,0,0,0,0,15,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,2,3,0,1,0,5,0,0,5,9,0,0,0,0,9,1,13,0,0,48,0,0,0,0,0,0
2022-05-23T18,230,2,1,1,0,1,0,0,0,0,0,8,1,4,0,0,10,1,0,0,12,0,0,59,1,0,0,0,0,8,0,4,16,0,0,0,5,0,0,1,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,21,0,0,0,0,0,2,2,0,2,0,4,1,0,5,6,0,0,0,0,4,2,7,2,0,23,0,0,0,0,0,0
2022-05-23T19,198,1,0,0,1,2,0,0,0,0,0,3,0,2,0,0,11,2,0,0,16,0,0,34,0,0,0,0,0,5,0,13,14,0,0,0,3,0,0,0,0,0,0,0,0,0,17,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,16,0,0,0,0,0,1,1,0,2,0,4,0,0,4,6,0,0,0,0,5,1,4,0,0,24,0,0,0,1,0,0
2022-05-23T20,192,3,0,0,0,3,1,0,1,0,0,0,0,1,0,1,6,4,0,0,9,0,0,35,0,0,0,0,0,1,0,9,13,0,0,0,1,0,0,0,0,0,1,0,0,0,31,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,12,0,1,0,0,0,0,1,0,0,0,1,0,0,3,5,0,0,0,0,3,3,2,0,0,28,0,0,0,6,0,0
