bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BO,BR,BY,CA,CH,CL,CM,CN,CO,CY,CZ,DE,DK,DZ,EE,EG,ES,FI,FR,GB,GT,HK,HU,ID,IE,IL,IN,IR,IT,JM,JO,JP,KH,KR,KZ,LK,LS,LT,LU,LV,MD,MK,MX,MY,NL,NO,NP,NZ,PE,PH,PK,PL,PT,RO,RS,RU,RW,SE,SG,SI,SK,SY,TH,TN,TR,TW,UA,US,UY,UZ,VN,ZA,ZM,ZW
2022-06-05T21,169,2,0,0,1,2,0,0,1,0,0,2,0,0,0,1,0,6,1,0,0,11,0,0,0,24,1,0,0,0,2,0,10,17,0,0,1,0,0,0,1,0,12,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,1,3,0,0,4,0,3,6,0,0,0,1,0,2,1,0,36,0,0,0,0,1,0
2022-06-05T22,136,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,7,0,0,0,7,1,0,0,26,0,0,0,0,1,0,6,8,0,1,0,0,0,0,0,0,8,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,11,0,0,1,0,0,0,0,1,1,0,4,0,3,6,0,0,0,1,0,2,1,0,30,0,0,0,0,0,0
2022-06-05T23,134,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,11,1,0,0,13,0,0,0,0,1,0,1,4,0,2,0,0,0,0,0,0,7,0,0,3,0,1,2,0,0,0,0,0,0,2,0,0,5,0,0,0,0,1,0,0,1,0,0,1,1,2,8,0,0,0,2,0,1,0,0,50,0,0,1,0,0,0
2022-06-06T00,115,2,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,9,0,0,0,12,0,0,0,6,0,0,0,0,2,0,3,5,0,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,2,1,0,0,2,0,2,6,0,0,0,0,0,1,1,0,46,0,0,0,0,0,0
2022-06-06T01,108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0,13,0,0,0,3,0,0,0,0,0,0,3,3,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,4,0,2,6,0,0,0,1,0,0,2,0,49,0,0,0,0,0,0
2022-06-06T02,98,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,12,0,0,0,11,0,0,0,4,0,0,0,0,0,0,2,4,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,2,7,0,0,0,0,0,0,3,0,36,0,0,1,1,0,0
2022-06-06T03,128,1,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,4,1,0,0,9,0,0,0,9,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,1,0,0,2,0,2,6,0,0,0,0,0,0,3,0,65,0,0,2,1,0,0
2022-06-06T04,94,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,9,0,0,0,4,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,1,0,2,0,2,5,0,0,0,0,0,0,4,0,41,0,0,5,0,0,0
2022-06-06T05,88,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,5,0,0,0,0,0,0,1,2,0,4,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,3,0,2,6,0,0,0,2,0,0,3,0,23,0,0,1,0,0,0
2022-06-06T06,89,3,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,7,1,0,0,4,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,0,0,1,2,0,2,0,2,7,0,0,0,2,0,0,4,0,27,0,0,0,0,0,0
2022-06-06T07,129,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,1,0,0,8,1,0,0,0,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,1,0,1,1,1,0,2,0,2,6,0,0,0,4,0,0,3,0,61,0,0,0,0,0,0
2022-06-06T08,103,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,12,0,0,0,0,1,0,5,2,0,4,0,0,0,0,1,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,1,0,2,1,0,0,3,0,2,8,0,1,0,2,0,0,3,0,19,0,0,1,0,0,0
2022-06-06T09,125,3,0,0,0,1,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,13,0,0,0,11,1,0,0,0,1,0,7,5,0,6,0,0,0,0,0,1,5,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,2,0,1,1,1,0,4,0,2,7,0,0,0,1,0,0,5,0,18,0,0,1,0,0,0
2022-06-06T10,157,2,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,20,1,0,0,0,2,0,3,3,0,4,0,0,0,0,0,1,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,1,0,0,2,0,2,7,0,0,0,5,0,0,3,0,51,0,0,0,0,0,0
2022-06-06T11,129,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,25,1,0,0,0,3,0,5,4,0,6,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,1,0,0,4,0,3,8,0,0,0,5,0,0,5,0,22,0,0,2,0,0,0
2022-06-06T12,124,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,14,1,0,0,0,1,0,12,7,0,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,3,0,0,1,0,0,2,0,4,5,0,0,0,3,0,0,8,0,20,0,0,0,0,0,0
2022-06-06T13,176,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,2,0,0,13,0,0,0,18,1,0,0,0,1,0,8,7,0,12,0,1,0,0,0,1,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,2,0,0,1,0,0,3,0,3,8,1,0,0,10,0,2,8,0,38,0,0,0,0,0,0
2022-06-06T14,190,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,16,0,0,0,21,1,0,0,0,0,0,8,8,0,18,0,0,0,1,0,1,4,0,0,4,0,0,0,0,0,0,0,1,0,0,0,3,16,0,0,0,0,3,0,0,1,0,0,5,0,2,7,1,0,0,7,0,0,15,0,39,0,0,0,0,0,0
2022-06-06T15,202,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,13,1,0,0,27,0,0,0,0,1,0,12,10,0,7,0,0,0,0,0,0,7,0,0,1,0,1,0,0,0,0,0,1,0,2,0,2,13,0,0,0,0,3,0,0,2,0,0,5,0,5,7,0,0,0,7,0,1,9,0,57,0,0,1,0,0,0
2022-06-06T16,224,3,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,7,1,0,0,14,0,0,0,29,0,0,0,0,2,0,16,10,0,7,0,0,1,0,0,0,14,1,0,0,0,5,0,0,0,0,1,1,0,2,0,4,14,1,0,0,0,1,0,3,2,0,0,6,1,7,7,0,0,0,2,0,1,5,0,51,0,0,0,0,0,0
2022-06-06T17,197,2,0,1,0,2,0,0,0,0,0,3,0,0,0,2,0,8,2,0,0,8,0,0,0,35,0,0,0,0,2,1,13,16,0,2,0,0,3,0,0,0,17,0,0,1,0,1,0,0,0,0,0,1,0,2,0,2,11,0,0,0,1,0,0,2,2,3,0,4,1,7,6,0,0,1,3,0,0,6,0,26,0,0,0,0,0,0
2022-06-06T18,254,2,0,1,0,1,13,0,0,0,0,2,0,0,0,1,0,19,0,1,0,8,0,0,1,39,0,0,0,0,6,0,13,14,0,2,2,0,18,0,1,0,9,0,0,3,0,1,0,0,0,0,0,1,0,0,0,2,28,1,0,0,1,0,0,3,3,0,0,6,0,6,7,0,0,0,9,0,1,3,0,25,0,0,0,0,0,1
2022-06-06T19,226,1,0,0,0,1,1,0,0,0,0,3,0,0,0,2,0,14,0,1,0,10,0,0,0,28,0,0,0,0,7,0,8,14,0,0,1,0,16,0,0,0,14,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,19,0,0,0,1,0,0,3,2,1,0,9,0,6,8,0,0,0,4,0,1,4,2,41,0,0,0,0,0,0
2022-06-06T20,191,5,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,6,2,0,0,9,0,0,0,25,0,0,0,0,2,0,6,21,0,1,0,0,2,0,0,0,18,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,1,0,0,4,0,3,5,0,0,0,2,0,4,3,1,44,0,0,0,0,0,0
2022-06-06T21,152,4,0,0,3,1,1,0,1,0,0,2,0,0,0,1,0,8,0,0,0,11,0,0,0,21,0,0,0,0,0,0,3,12,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,2,2,0,0,5,0,2,8,0,0,0,7,0,2,0,0,27,0,2,0,0,0,0
2022-06-06T22,139,2,0,0,2,0,2,0,0,0,0,2,0,0,0,2,0,6,2,0,0,8,0,0,0,10,0,0,0,0,0,0,4,7,0,2,0,0,0,0,0,1,9,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,1,0,1,2,0,2,7,0,0,0,2,0,2,1,0,49,0,2,1,0,0,0
2022-06-06T23,111,3,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,8,1,1,0,11,1,0,0,12,0,1,0,0,0,0,7,6,0,1,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,3,0,3,5,0,0,0,1,0,1,1,0,26,0,0,4,0,0,0
2022-06-07T00,115,1,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,16,1,1,0,12,1,0,0,8,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,2,0,2,6,0,0,0,1,0,0,3,0,37,0,0,1,0,0,0
2022-06-07T01,116,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,1,0,6,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,1,0,0,4,0,2,5,0,0,0,2,0,0,2,1,67,0,0,0,0,0,0
2022-06-07T02,106,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,11,0,2,0,9,1,0,0,3,0,0,0,0,0,0,3,2,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,1,0,0,4,0,2,8,0,0,0,2,0,0,1,0,39,0,0,1,0,0,0
2022-06-07T03,74,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,0,0,0,8,0,0,0,3,0,0,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,2,6,0,0,0,0,0,0,1,0,33,0,0,0,0,0,0
2022-06-07T04,92,2,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,9,0,0,0,2,0,0,0,0,1,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,3,1,2,7,0,0,0,0,0,0,0,0,47,0,0,1,0,0,0
2022-06-07T05,75,2,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,2,0,0,0,8,0,0,0,2,0,0,0,0,1,0,1,2,0,1,0,0,0,0,1,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,2,0,2,6,0,0,0,2,0,0,0,0,26,0,0,0,0,0,0
2022-06-07T06,102,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,7,2,0,0,0,2,0,2,2,1,4,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,2,1,0,1,1,0,1,0,3,5,0,0,0,3,0,0,3,0,39,0,0,0,0,0,0
2022-06-07T07,101,1,0,0,0,0,2,1,0,0,0,2,0,0,0,1,0,0,0,0,0,15,0,0,0,8,1,0,0,0,2,0,6,4,1,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,2,0,0,1,2,0,6,0,1,5,0,0,0,1,0,0,3,1,23,0,0,1,0,0,0
2022-06-07T08,111,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,10,0,0,0,6,1,0,0,0,0,0,4,4,0,5,0,1,1,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,1,0,0,2,0,1,6,0,0,0,2,0,1,3,1,40,0,0,1,0,0,0
2022-06-07T09,125,2,0,0,0,1,17,0,0,0,0,1,0,0,0,0,0,1,0,0,0,14,0,0,0,7,0,0,0,0,2,0,3,3,0,4,1,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,1,0,2,1,5,0,0,0,0,3,0,1,1,0,1,3,0,2,5,0,0,0,4,0,1,2,0,32,0,0,0,0,0,0
2022-06-07T10,124,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,0,0,0,6,0,0,0,0,1,0,4,3,0,4,0,0,1,0,0,0,3,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,6,0,0,7,0,0,1,3,0,0,4,0,44,0,0,0,0,0,0
2022-06-07T11,127,2,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,19,0,0,0,13,0,0,0,0,0,0,1,6,0,4,0,1,0,0,0,0,6,0,0,5,0,14,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,2,0,0,0,0,1,5,0,0,0,3,0,1,4,0,25,0,0,2,0,0,0
2022-06-07T12,187,2,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,4,0,0,0,16,0,0,0,17,0,0,0,0,0,0,4,3,0,23,0,1,0,0,1,0,8,0,0,3,0,14,0,0,0,0,0,0,0,2,0,1,4,0,0,0,0,2,0,0,1,0,0,5,0,1,6,0,0,0,5,0,0,15,0,43,0,0,1,0,0,0
2022-06-07T13,133,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,12,0,0,0,21,1,0,0,0,2,0,5,5,0,18,0,1,0,1,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,2,1,1,7,0,0,0,0,4,0,0,1,0,0,2,0,3,5,0,0,0,2,0,0,10,0,12,0,0,0,0,0,0
2022-06-07T14,149,2,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,6,0,0,0,21,2,0,0,0,6,0,4,5,0,15,0,2,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,2,0,1,3,2,0,3,0,2,7,0,0,0,5,0,0,16,0,17,0,0,0,0,0,0
2022-06-07T15,145,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,10,0,0,0,22,1,0,0,0,6,0,5,6,0,11,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,2,0,3,9,0,0,0,0,2,0,1,4,2,0,5,0,2,7,0,0,0,4,0,1,9,0,14,0,0,0,0,0,0
2022-06-07T16,209,2,0,0,0,1,0,0,0,0,0,0,2,0,0,4,0,2,1,0,0,18,0,0,0,52,1,0,1,1,7,0,11,7,0,8,0,2,0,0,1,0,13,0,0,6,0,0,0,1,0,0,0,0,0,2,0,2,7,0,0,0,0,2,0,1,2,2,0,2,0,2,9,0,0,0,5,0,0,5,0,27,0,0,0,0,0,0
2022-06-07T17,196,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,3,0,0,0,14,0,0,0,59,0,0,3,0,6,0,10,9,0,1,0,1,0,0,2,0,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,12,1,0,0,0,0,0,5,2,0,0,5,0,8,8,0,0,1,5,0,2,3,1,19,0,0,1,0,0,0
2022-06-07T18,224,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,3,1,0,0,12,0,0,0,54,0,0,0,0,8,0,11,14,0,1,0,0,0,0,3,0,13,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,2,1,0,0,5,0,5,10,0,0,0,7,0,0,2,0,33,0,0,3,0,0,0
2022-06-07T19,207,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,13,0,0,0,51,0,0,0,0,6,0,8,12,0,1,0,0,0,0,3,0,25,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,15,1,0,0,0,0,0,1,1,0,0,3,0,4,5,0,0,0,3,0,0,0,0,43,0,0,1,0,0,0
2022-06-07T20,189,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,6,1,0,0,11,0,0,0,32,0,0,0,0,2,0,7,11,0,2,0,0,0,0,0,0,19,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,1,2,0,0,2,0,2,5,0,0,0,3,0,4,0,1,53,0,2,0,0,0,0
2022-06-07T21,167,2,0,0,2,2,1,0,2,0,0,1,0,0,0,1,1,2,1,0,0,10,0,0,0,23,0,0,0,0,0,0,10,13,0,0,0,0,0,0,0,0,15,0,0,3,0,1,0,0,0,1,0,0,0,2,0,0,13,0,0,0,0,0,0,0,4,0,0,2,0,2,5,0,0,0,1,0,2,0,0,43,0,2,0,0,0,0
2022-06-07T22,132,3,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,5,0,0,0,14,0,0,0,15,1,0,0,0,0,0,4,4,0,2,0,0,0,0,1,0,13,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,3,0,0,2,0,2,5,0,0,0,2,0,0,0,0,39,0,0,0,0,0,0
2022-06-07T23,113,2,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,13,0,0,0,9,0,0,0,8,0,0,0,0,0,0,4,6,0,2,0,1,0,0,1,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,0,5,0,2,9,0,1,0,0,0,0,0,0,30,1,0,2,0,0,0
