bucket,total,--,AE,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BR,BY,CA,CF,CH,CI,CL,CM,CN,CO,CV,CY,CZ,DE,DK,DO,DZ,EC,EG,ES,FI,FR,GB,GE,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IT,JO,JP,KE,KH,KR,KZ,LK,LT,LU,LV,MA,MK,MM,MO,MQ,MU,MX,MY,NA,NG,NL,NO,NP,NZ,OM,PA,PH,PK,PL,PT,PY,QA,RO,RU,RW,SE,SG,SI,SK,SV,SY,TH,TN,TR,TT,TW,TZ,UA,US,UY,VE,VN,ZA,ZM,ZW
2022-06-12T23,129,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,15,0,0,0,0,8,0,0,0,0,0,0,0,6,6,0,0,0,1,0,0,0,0,0,0,1,0,9,0,3,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,7,0,0,0,0,0,0,1,0,0,0,0,46,0,0,2,0,0,0
2022-06-13T00,106,2,0,0,0,1,1,0,0,0,0,0,1,0,10,0,0,0,1,0,10,0,0,0,0,6,0,0,0,0,0,0,0,2,4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,3,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,5,0,0,0,0,0,0,0,0,1,0,2,41,0,0,0,0,0,0
2022-06-13T01,97,3,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,14,0,0,0,0,6,0,0,0,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,6,0,0,0,0,0,0,0,0,1,0,2,38,0,0,0,0,0,0
2022-06-13T02,134,2,0,0,0,0,14,0,0,0,0,0,1,0,11,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,5,0,2,6,0,0,0,0,0,0,0,0,1,0,0,60,0,0,2,0,0,0
2022-06-13T03,143,4,0,0,1,0,1,0,0,0,0,0,1,0,9,0,0,0,0,0,34,0,0,0,0,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,8,0,0,0,0,0,0,0,0,2,0,0,44,0,0,0,0,0,0
2022-06-13T04,88,4,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,11,0,0,0,1,2,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,2,0,2,6,0,0,0,0,1,0,0,0,5,0,0,31,0,0,0,0,0,0
2022-06-13T05,91,1,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0,0,0,0,15,0,0,0,0,5,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,3,0,0,0,0,0,0,3,0,2,7,0,0,0,0,0,0,0,0,5,0,0,18,0,0,3,0,0,0
2022-06-13T06,106,2,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,31,0,0,0,0,4,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,1,0,0,1,0,1,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,5,0,2,6,0,0,0,0,0,0,0,0,5,0,0,23,0,0,1,0,0,0
2022-06-13T07,108,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,13,0,0,0,1,8,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,14,2,2,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,2,4,0,3,8,0,0,0,0,3,0,0,0,2,0,0,21,0,0,1,0,0,0
2022-06-13T08,137,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,14,0,0,0,0,12,0,0,0,0,0,0,0,7,2,0,0,0,2,0,0,0,0,0,1,2,0,2,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,0,0,0,2,3,0,3,8,0,0,0,0,6,0,0,0,4,0,1,47,0,0,0,0,0,0
