bucket,total,--,AE,AM,AR,AT,AU,BA,BD,BE,BG,BN,BR,BY,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,EG,ES,ET,FI,FR,GB,GE,GR,GT,HK,HR,HU,ID,IE,IL,IN,IR,IS,IT,JO,JP,KE,KH,KR,KZ,LT,LU,MA,MD,MK,MN,MO,MT,MX,MY,MZ,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,PY,RO,RU,RW,SD,SE,SG,SK,SN,SY,TH,TN,TR,TW,TZ,UA,US,UY,VN,ZA,ZM,ZW
2022-05-02T01,121,1,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,10,0,0,0,5,0,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,4,0,0,3,6,0,0,0,0,0,0,1,0,0,60,0,0,0,0,0
2022-05-02T02,92,1,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,7,0,0,0,6,0,0,1,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,1,3,0,0,2,5,0,0,0,2,0,0,2,0,0,29,0,1,0,0,0
2022-05-02T03,88,1,0,0,1,0,0,0,0,0,0,0,0,0,7,0,1,0,11,0,0,0,7,0,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,5,0,0,0,0,0,0,5,0,0,32,0,1,0,0,0
2022-05-02T04,78,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,6,0,0,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,2,5,0,0,2,5,0,0,0,1,0,0,4,0,0,27,0,1,0,0,0
2022-05-02T05,93,1,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,11,0,0,0,6,0,0,1,0,0,3,1,0,0,0,6,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,1,0,0,0,0,0,3,0,0,3,10,0,0,0,2,0,0,2,0,0,22,0,1,0,0,0
2022-05-02T06,118,2,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,15,0,0,0,5,0,0,1,0,0,4,3,0,0,0,6,0,0,0,2,0,1,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,1,0,0,0,0,0,8,0,0,2,9,0,0,0,2,0,0,3,0,0,29,0,3,1,0,0
2022-05-02T07,131,4,0,0,1,0,1,0,0,1,0,0,0,0,4,0,0,0,12,0,0,0,16,0,0,1,0,0,4,2,0,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,2,0,0,1,0,1,0,0,0,5,0,0,4,8,0,0,1,3,1,0,4,0,0,40,0,1,0,0,0
2022-05-02T08,115,3,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,13,0,0,0,13,0,0,1,0,0,6,5,1,0,0,5,0,0,2,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,1,0,0,1,7,0,0,2,8,0,0,0,2,0,1,9,0,2,18,0,0,0,0,0
2022-05-02T09,134,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,6,0,0,0,14,0,0,1,0,0,8,6,0,0,0,4,0,0,0,5,0,1,0,0,5,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,1,0,0,5,0,1,0,0,1,7,0,0,2,6,0,0,0,4,0,0,8,0,0,27,0,1,0,0,0
2022-05-02T10,157,3,0,0,1,0,3,0,1,0,0,0,0,0,2,0,1,0,11,1,0,0,11,0,1,3,0,1,2,7,0,0,0,9,0,0,1,0,0,3,0,0,8,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,9,0,0,0,0,1,8,0,0,3,9,0,0,0,4,0,1,4,0,0,32,0,5,0,0,0
2022-05-02T11,147,3,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,18,1,0,0,10,1,1,1,0,1,3,11,0,0,0,3,0,1,0,2,0,1,0,0,5,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,6,0,0,1,0,1,9,0,0,2,8,0,0,0,8,0,0,8,0,0,24,0,0,0,0,0
2022-05-02T12,124,2,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,5,0,0,0,10,0,0,1,0,0,2,6,0,0,0,2,0,0,1,2,0,3,0,0,4,0,3,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,6,0,0,0,0,0,4,0,0,0,0,0,2,1,0,3,9,0,0,0,8,0,1,12,0,0,26,0,1,1,0,0
2022-05-02T13,184,2,0,0,0,0,0,0,0,1,0,0,2,0,6,0,0,0,9,0,0,0,15,0,0,4,0,0,9,6,0,0,0,9,0,0,1,0,0,3,0,0,5,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,5,0,9,0,0,1,0,0,3,0,1,1,0,1,6,0,0,3,8,0,0,0,12,0,1,10,0,0,45,0,2,0,0,0
2022-05-02T14,186,3,0,0,0,0,1,0,0,1,0,0,2,0,5,0,0,0,11,0,0,0,17,0,0,3,0,0,8,10,0,0,0,6,1,0,1,1,0,3,0,0,10,0,4,0,0,2,0,0,0,0,1,0,0,0,0,0,3,0,10,0,0,0,0,0,4,0,0,0,0,0,5,0,0,6,9,0,0,0,17,0,1,9,0,1,30,0,1,0,0,0
2022-05-02T15,237,1,1,0,3,0,1,0,0,2,0,0,2,0,4,2,0,0,10,0,1,0,27,0,0,3,0,0,10,17,0,0,0,12,0,0,1,1,0,1,1,0,12,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,12,1,0,0,0,0,4,0,3,1,0,0,4,0,0,6,6,0,0,0,21,0,1,8,0,0,49,0,1,0,0,0
2022-05-02T16,245,1,2,0,1,0,1,0,0,2,0,0,4,0,3,2,0,0,13,0,1,0,42,0,0,3,0,0,16,19,0,0,0,5,0,0,3,0,0,1,0,0,10,0,4,0,0,1,0,0,1,0,0,0,0,1,0,0,4,0,16,0,0,1,0,0,6,0,2,2,0,0,5,0,0,11,7,0,0,0,14,0,2,3,0,0,35,0,1,0,0,0
