bucket,total,--,AE,AR,AT,AU,BA,BD,BE,BG,BO,BR,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DO,DZ,EG,ES,ET,FI,FR,GB,GE,GM,GR,GT,HK,HU,ID,IE,IL,IN,IR,IS,IT,JP,KE,KR,KY,KZ,LT,LU,MO,MX,MY,NA,NL,NO,NP,NZ,PH,PK,PL,PT,PY,RO,RS,RU,RW,SE,SG,SI,SK,SR,SY,TH,TR,TW,UA,US,UY,VN,ZA,ZM,ZW
2022-07-18T03,84,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,23,0,0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,4,0,1,6,0,0,0,0,0,0,3,0,21,0,0,0,0,0
2022-07-18T04,70,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,15,0,0,3,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,2,1,1,1,0,0,0,0,3,0,1,6,0,0,0,0,2,0,1,0,18,0,2,0,0,0
2022-07-18T05,81,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,0,4,0,1,12,0,0,0,0,0,1,4,0,33,0,1,0,0,0
2022-07-18T06,130,2,0,0,0,0,0,0,1,0,0,0,4,0,0,0,5,0,0,8,0,1,0,0,0,0,0,2,9,0,0,2,0,1,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,6,0,3,6,0,0,0,0,0,1,4,0,57,0,0,0,0,0
2022-07-18T07,77,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,8,0,0,4,0,0,0,0,1,0,0,4,2,0,0,1,0,1,0,0,0,0,1,0,0,1,3,0,1,0,0,0,0,0,1,0,0,3,0,1,0,1,0,0,0,0,1,0,5,0,1,7,0,0,0,0,0,2,3,2,19,0,1,0,0,0
2022-07-18T08,87,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,7,0,0,11,1,0,0,0,0,0,0,9,4,0,0,0,0,0,0,1,2,0,1,0,0,0,4,0,3,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,5,0,2,6,0,0,0,0,0,0,3,0,19,0,0,0,0,0
2022-07-18T09,96,0,0,3,0,1,0,0,1,0,0,1,3,0,0,0,8,0,0,9,1,0,0,0,1,0,0,10,6,0,0,0,0,1,0,0,0,0,1,0,0,3,1,0,4,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,5,1,1,6,0,0,0,0,1,0,2,0,20,0,0,0,0,0
2022-07-18T10,89,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,17,0,0,11,0,1,0,0,2,0,0,6,4,0,0,0,0,0,0,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,1,0,3,0,0,5,0,0,0,0,1,1,3,0,13,0,0,0,0,0
2022-07-18T11,113,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,20,0,0,9,1,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,7,0,0,0,2,0,0,1,0,0,0,5,0,2,8,0,0,0,0,3,0,8,0,31,0,0,0,0,0
2022-07-18T12,137,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,20,0,1,12,0,0,0,0,2,0,0,7,4,0,0,0,0,5,0,1,0,0,0,0,0,4,2,0,3,0,0,0,0,0,0,0,0,9,0,0,0,2,0,1,0,0,0,0,3,0,3,10,0,0,0,0,9,0,2,0,34,0,0,0,0,0
2022-07-18T13,145,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,22,0,0,17,1,0,1,0,0,0,0,6,8,0,0,0,0,4,0,1,0,0,0,0,0,6,1,0,2,0,0,0,0,0,0,1,0,8,0,0,0,2,0,1,0,0,0,0,4,0,2,7,0,0,0,0,8,2,5,0,32,0,1,0,0,0
2022-07-18T14,146,0,0,1,0,1,0,0,0,0,0,1,3,1,0,0,25,0,0,17,4,0,0,0,1,0,0,7,5,0,0,0,0,3,0,0,0,0,2,0,0,5,1,0,0,0,0,0,0,0,0,2,0,9,0,0,0,1,0,2,0,0,1,0,3,0,0,5,0,0,0,0,8,1,17,0,20,0,0,0,0,0
2022-07-18T15,186,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,28,0,0,19,4,0,0,0,2,0,0,11,4,0,0,0,0,3,0,0,0,0,0,1,0,9,1,0,2,1,0,0,0,0,0,0,0,11,0,0,0,2,0,1,1,0,4,0,4,0,0,6,0,0,0,0,9,3,26,0,26,0,1,0,0,0
2022-07-18T16,158,0,0,0,0,1,0,0,0,0,0,1,4,0,1,0,8,0,0,28,1,0,0,1,6,1,0,8,8,0,0,0,0,2,0,0,0,0,3,1,0,13,5,0,1,1,0,0,0,0,0,2,0,6,1,0,0,1,0,1,1,0,1,0,2,0,1,5,0,0,0,0,11,1,4,0,26,0,1,0,0,0
2022-07-18T17,156,1,0,0,0,0,0,0,1,0,0,2,7,1,0,0,4,0,0,36,1,0,0,1,1,0,0,6,5,0,0,0,0,0,0,0,1,0,1,0,0,11,0,0,7,0,0,0,0,0,0,0,0,10,1,0,0,1,0,2,0,0,1,0,4,0,1,13,0,0,0,0,6,2,2,0,26,0,1,0,0,0
2022-07-18T18,117,0,0,0,0,0,0,0,1,0,0,2,8,0,0,0,4,0,0,20,1,0,0,0,0,0,0,7,5,0,0,0,0,0,0,1,0,0,1,0,0,4,1,0,1,0,0,2,0,0,2,0,0,14,0,0,0,1,0,2,2,0,2,0,3,0,1,6,0,0,0,0,4,3,0,0,19,0,0,0,0,0
