bucket,total,--,AE,AR,AT,AU,BD,BE,BG,BN,BO,BR,CA,CH,CL,CM,CN,CO,CV,CY,CZ,DE,DK,DO,EC,ES,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KG,KH,KR,KW,KZ,LA,LT,LU,LV,MA,MK,MM,MO,MT,MU,MX,MY,MZ,NG,NL,NO,NP,NZ,OM,PE,PH,PK,PL,PR,PT,PY,RO,RU,RW,SE,SG,SI,SK,SY,SZ,TH,TN,TR,TW,UA,US,UY,VN,ZA,ZW
2022-10-17T06,84,1,0,0,0,1,0,0,0,0,0,1,5,0,0,0,3,0,0,0,0,5,0,0,0,1,0,3,4,0,0,4,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,8,0,0,0,0,1,0,0,3,0,27,0,2,0,0
2022-10-17T07,131,1,0,1,0,2,0,1,0,0,0,1,6,0,0,0,12,1,0,0,1,10,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,7,0,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,5,0,0,0,0,1,0,0,1,0,51,0,1,0,0
2022-10-17T08,97,1,0,0,0,0,0,1,0,0,0,1,1,2,0,0,9,1,0,0,0,11,0,0,0,2,0,9,6,0,0,2,0,0,1,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,6,0,0,0,0,1,0,1,1,0,23,0,1,0,0
2022-10-17T09,87,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,7,0,0,0,0,15,0,0,0,1,0,4,4,0,0,1,0,0,0,0,0,1,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,6,0,0,0,0,4,0,0,2,0,15,0,0,0,0
2022-10-17T10,124,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,21,0,0,0,1,0,5,5,0,0,1,0,0,0,0,0,0,0,6,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,5,0,2,6,0,0,0,0,0,0,1,3,0,46,0,0,0,0
2022-10-17T11,122,2,0,0,1,11,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,19,0,0,1,1,0,2,6,0,0,2,0,0,0,0,0,1,0,3,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,2,0,0,0,0,0,0,3,0,1,6,0,0,0,0,3,0,0,7,0,24,0,0,1,0
2022-10-17T12,124,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,15,0,0,0,2,0,9,5,0,1,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,2,0,0,0,0,4,0,1,6,0,0,0,0,5,0,0,3,0,39,0,1,0,0
2022-10-17T13,122,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,8,0,0,0,0,19,0,1,0,3,0,12,3,0,0,2,0,0,3,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,3,0,1,0,1,0,0,4,0,3,5,0,0,0,0,6,0,0,7,1,18,0,1,0,0
2022-10-17T14,127,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,0,0,0,0,23,0,1,0,5,0,4,8,0,0,3,0,0,2,0,0,0,0,3,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,1,0,0,1,0,1,0,1,0,0,5,0,3,5,0,0,0,0,12,0,1,6,0,19,0,0,0,0
2022-10-17T15,135,2,0,0,0,0,0,1,0,0,0,0,3,1,2,0,5,0,0,0,0,29,0,0,0,5,0,15,6,0,2,1,0,0,0,0,0,0,0,8,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,2,0,4,6,0,0,0,0,8,0,0,3,0,15,0,1,0,0
2022-10-17T16,177,1,0,0,0,0,0,0,0,0,0,0,2,3,1,0,5,0,0,0,0,45,0,0,0,6,0,10,8,0,0,2,0,0,1,0,0,4,0,8,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,4,1,0,0,1,3,0,4,6,0,0,0,0,9,0,0,2,0,40,0,0,0,0
