bucket,total,--,AE,AR,AT,AU,BD,BE,BG,BO,BR,BY,CA,CH,CL,CN,CO,DE,DK,DO,DZ,EC,EG,ES,ET,FI,FR,GB,GE,GH,GR,HK,HN,HR,HU,ID,IE,IL,IN,IR,IT,JP,KH,KR,KZ,LT,LV,MA,MK,MN,MO,MQ,MX,MY,NL,NO,NZ,PH,PL,PT,QA,RO,RS,RU,RW,SE,SG,SI,SK,SN,TH,TR,TW,TZ,UA,US,UY,UZ,VN,ZA
2022-08-01T03,76,2,0,0,0,1,0,0,0,0,0,0,4,0,0,7,0,4,0,0,0,0,0,1,0,0,2,3,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,1,0,2,0,2,6,0,1,0,0,0,4,0,0,25,0,0,0,0
2022-08-01T04,57,0,0,1,0,3,0,0,0,0,1,0,7,1,1,1,0,2,0,0,0,0,0,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,1,6,0,0,0,0,0,1,0,0,18,0,0,0,0
2022-08-01T05,61,0,0,1,0,4,0,0,0,0,0,0,4,0,0,5,0,4,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,2,7,0,0,0,2,0,2,0,1,18,0,0,0,0
2022-08-01T06,83,0,0,1,0,3,0,0,0,0,0,0,4,0,0,2,0,9,0,0,0,0,0,3,0,0,1,4,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,2,0,1,6,0,0,0,1,0,2,0,0,33,0,0,0,0
2022-08-01T07,74,1,0,0,0,3,0,0,0,0,1,0,3,0,0,7,0,12,0,0,0,0,0,2,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,2,0,1,0,1,7,0,0,0,0,0,1,0,0,16,0,0,1,0
2022-08-01T08,81,0,0,1,0,1,0,0,1,0,1,0,1,0,1,3,1,11,1,0,0,0,0,2,0,0,7,4,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,3,0,0,1,1,0,0,1,0,3,0,1,5,0,0,0,3,0,1,0,0,18,0,0,1,0
2022-08-01T09,89,1,0,2,0,2,0,0,0,0,2,0,3,1,1,5,1,8,0,0,0,0,0,2,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,1,0,0,1,0,2,0,3,6,0,0,0,4,0,3,0,1,22,0,0,1,0
2022-08-01T10,97,0,0,0,1,2,0,0,0,0,1,0,1,0,0,12,0,14,0,0,0,0,0,1,0,0,3,3,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,1,0,0,0,2,0,1,0,1,6,1,0,0,1,1,3,0,0,26,0,0,0,0
2022-08-01T11,144,1,0,0,0,0,0,0,0,0,0,0,1,0,2,18,0,13,1,0,0,0,0,1,0,0,1,13,0,0,1,1,0,0,0,0,1,0,0,0,3,2,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,0,1,8,1,0,0,4,0,6,0,0,54,0,1,0,0
2022-08-01T12,117,2,0,0,2,0,0,0,0,0,1,0,3,0,1,25,0,7,0,0,0,0,0,2,0,0,3,8,0,0,0,7,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,2,0,0,0,0,1,2,0,1,6,0,0,0,7,0,6,0,0,15,0,0,0,0
2022-08-01T13,142,0,0,3,2,0,0,0,0,0,1,0,5,1,0,27,0,10,1,0,0,0,0,2,0,0,12,10,0,0,0,6,0,0,0,0,0,0,0,0,5,2,0,2,0,1,0,0,1,0,0,0,1,1,7,0,0,1,0,0,0,1,1,3,0,1,6,0,0,0,6,0,5,0,0,18,0,0,0,0
2022-08-01T14,163,2,0,2,1,0,0,0,0,0,2,0,7,1,0,23,1,15,1,1,0,0,0,2,0,0,4,7,0,0,0,6,0,0,0,0,0,0,1,0,4,0,0,2,0,1,0,0,1,1,0,0,1,1,9,0,0,2,0,0,0,1,0,3,1,2,6,0,0,0,8,1,7,0,0,35,0,0,1,0
2022-08-01T15,186,0,2,0,1,0,1,1,0,0,1,0,2,1,0,22,2,24,1,0,0,0,0,3,0,0,5,11,0,1,0,1,0,0,0,1,1,0,2,0,5,2,0,0,0,0,0,0,0,1,0,0,1,2,10,0,0,1,1,0,0,0,0,5,0,1,9,0,0,0,4,1,4,0,0,56,0,0,0,0
2022-08-01T16,120,1,2,2,0,0,1,1,0,0,1,0,2,0,0,4,1,23,1,0,0,0,0,5,0,0,7,8,0,0,0,0,0,0,0,1,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,1,3,6,1,0,0,2,0,0,0,0,4,0,3,5,0,0,0,3,0,0,0,0,23,0,0,0,0
2022-08-01T17,164,2,1,1,1,0,0,2,0,0,0,0,6,0,0,7,0,38,1,0,0,0,0,5,0,0,3,10,0,0,0,1,0,0,0,1,0,0,1,0,14,0,0,1,0,0,0,0,0,0,0,0,1,2,11,0,0,1,2,2,0,1,0,4,0,1,11,0,0,0,2,0,1,0,0,30,0,0,0,0
2022-08-01T18,133,0,0,0,0,0,0,1,0,0,0,0,6,0,0,4,0,28,1,0,0,0,0,3,0,0,5,8,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,1,1,1,0,1,0,5,0,2,7,0,0,0,1,0,2,0,0,36,0,0,0,0
