bucket,total,--,AE,AF,AM,AO,AR,AT,AU,BA,BE,BG,BH,BN,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,EC,EG,ES,FI,FR,GB,GH,GR,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KH,KR,KZ,LA,LT,LU,LV,MA,MD,MK,MO,MU,MX,MY,MZ,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PR,PT,PY,RE,RO,RS,RU,RW,SE,SG,SI,SK,SN,TH,TN,TR,TW,UA,UG,US,UZ,VE,VI,VN,ZA,ZW
2022-10-31T00,114,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,14,0,0,0,0,8,1,0,0,0,4,0,4,4,0,0,2,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,7,0,1,0,0,0,0,2,0,0,37,0,0,0,0,0,0
2022-10-31T01,88,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,1,0,0,11,0,0,0,0,6,1,0,0,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,6,0,0,0,0,0,0,3,0,0,27,0,0,0,0,0,0
2022-10-31T02,91,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,14,0,0,0,0,4,1,0,0,0,2,0,3,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,0,0,0,0,0,0,1,0,0,35,0,0,0,1,0,0
2022-10-31T03,65,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,13,0,0,0,0,3,1,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,1,0,0,19,0,0,0,1,0,0
2022-10-31T04,73,2,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,6,0,1,1,5,0,0,0,0,3,1,0,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,1,6,0,0,0,1,0,0,1,0,0,23,0,0,0,0,0,0
2022-10-31T05,59,3,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,3,0,0,0,0,7,1,0,0,0,2,0,1,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,3,0,0,16,0,0,0,0,1,0
2022-10-31T06,72,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,1,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,9,0,0,0,2,0,0,4,0,0,23,0,0,0,0,0,0
2022-10-31T07,79,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,6,1,0,0,0,1,0,1,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,7,1,0,0,2,0,0,3,0,0,31,0,0,0,0,1,0
2022-10-31T08,60,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,3,0,1,4,0,0,21,0,0,0,0,0,0
2022-10-31T09,86,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,13,2,0,0,0,3,0,3,5,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,2,0,0,2,0,0,32,0,0,0,1,0,0
