bucket,total,--,AE,AL,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BO,BR,BY,BZ,CA,CH,CL,CM,CN,CO,CU,CZ,DE,DK,EG,ES,FI,FR,GB,GR,HK,HU,ID,IE,IL,IN,IR,IS,IT,JP,KE,KR,KZ,LK,LT,LU,MA,MC,MD,MK,MN,MO,MX,MY,MZ,NG,NL,NO,NP,NZ,PE,PH,PL,PR,PT,RO,RS,RU,RW,SE,SG,SK,TH,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA
2022-04-04T06,127,0,0,0,0,1,1,2,0,0,0,0,0,0,0,4,1,0,3,0,0,0,11,0,0,0,8,0,1,0,0,3,2,0,13,0,0,0,0,2,0,0,4,15,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,2,0,0,0,0,1,2,0,3,0,0,6,0,4,1,2,1,0,27,0,0,0,1,0
2022-04-04T07,131,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,2,0,0,0,17,0,0,0,6,0,1,1,0,5,2,0,12,0,0,0,1,2,0,1,7,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,6,0,0,5,0,4,1,1,1,0,30,0,0,0,3,0
2022-04-04T08,128,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,12,0,0,0,13,0,0,1,0,8,3,0,13,0,0,3,0,2,0,0,3,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,1,0,5,1,0,6,0,8,0,2,1,0,23,0,0,0,2,0
2022-04-04T09,121,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,2,1,0,0,8,0,0,0,18,0,0,0,0,3,6,0,8,0,0,0,0,2,0,0,4,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,2,0,1,6,0,6,0,2,1,0,22,0,0,0,2,0
2022-04-04T10,151,3,0,0,0,0,3,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,13,0,0,0,14,0,0,2,0,4,8,0,13,0,1,0,0,1,1,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,2,0,0,0,3,0,4,0,1,6,0,8,0,3,1,0,26,0,0,0,0,0
2022-04-04T11,151,1,0,0,0,1,1,4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,19,0,0,0,13,0,0,2,0,6,2,0,15,0,1,4,0,2,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9,1,0,0,0,2,0,0,0,0,0,3,0,1,6,0,9,0,3,0,0,28,0,0,0,0,0
2022-04-04T12,148,2,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,4,1,0,0,13,0,0,0,14,0,0,0,0,5,9,0,21,1,1,0,0,2,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,6,1,0,0,0,4,2,0,0,1,0,5,0,0,5,0,10,0,4,0,0,18,0,0,0,0,0
2022-04-04T13,174,1,0,0,0,1,2,1,0,0,0,0,1,0,0,2,0,0,6,0,0,0,12,0,0,1,24,0,0,1,0,6,9,0,22,0,0,0,0,3,0,0,4,2,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,10,1,0,0,0,4,1,0,0,2,0,5,0,1,5,0,13,0,5,0,0,19,0,0,0,5,0
2022-04-04T14,230,2,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,15,0,0,0,29,0,0,1,1,10,10,1,31,0,0,3,0,3,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,17,1,0,0,0,3,0,0,0,1,0,6,0,0,10,0,16,0,4,0,0,44,0,0,0,0,0
2022-04-04T15,229,0,4,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,5,0,0,1,16,0,0,1,43,0,0,1,0,6,15,1,26,0,0,0,0,3,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,1,0,0,0,2,2,0,1,1,0,6,1,1,8,1,17,0,3,0,0,32,0,0,0,0,0
