bucket,total,--,AD,AE,AR,AT,AU,BA,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GM,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IS,IT,JP,KE,KH,KR,KZ,LB,LK,LT,LU,LY,MA,MK,MM,MO,MT,MX,MY,MZ,NL,NO,NP,NZ,PE,PH,PK,PL,PS,PT,PY,QA,RE,RO,RS,RU,RW,SC,SE,SG,SI,SK,SV,TH,TN,TR,TT,TW,TZ,UA,US,UY,VE,VI,VN,ZA,ZW
2022-02-20T23,158,2,0,0,3,0,1,0,0,0,0,0,0,16,0,0,0,0,17,0,1,0,17,0,0,0,0,0,0,2,0,0,4,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0,1,1,0,2,0,0,0,0,0,4,0,0,0,6,0,0,0,1,0,1,0,1,0,3,40,0,0,0,1,0,0
2022-02-21T00,138,1,0,0,3,0,2,0,0,0,0,0,0,16,1,0,0,0,20,0,0,0,11,2,0,0,0,0,0,1,0,0,4,5,0,0,0,0,3,0,0,0,1,0,0,1,0,0,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,1,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,1,0,1,37,0,0,0,0,0,0
2022-02-21T01,153,3,0,0,1,1,0,0,0,0,0,3,0,13,0,0,0,0,26,0,0,0,7,1,0,0,0,0,0,1,0,0,4,3,0,0,0,0,1,0,0,0,0,0,0,4,0,0,4,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,6,0,2,54,0,0,0,0,0,0
2022-02-21T02,124,2,0,0,0,0,2,0,0,0,0,1,0,11,1,0,0,0,20,0,0,0,7,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,3,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,1,1,5,0,0,0,5,0,0,0,4,0,0,0,3,0,1,38,1,0,0,1,0,0
2022-02-21T03,109,1,0,0,1,0,1,0,0,0,0,0,0,8,0,0,0,0,17,1,0,0,4,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,1,0,0,0,1,0,0,45,0,0,0,2,0,0
2022-02-21T04,109,1,0,0,1,0,1,0,0,0,0,1,0,8,0,0,0,0,21,0,0,0,3,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,4,0,0,0,0,0,0,1,0,0,2,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,1,0,1,0,0,0,1,34,0,0,1,0,0,0
2022-02-21T05,104,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,24,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,2,0,0,0,4,0,2,24,0,0,0,5,0,0
2022-02-21T06,107,1,0,0,2,0,1,0,0,1,0,0,0,5,0,0,0,0,22,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,7,0,2,0,2,0,0,0,0,0,0,0,1,0,0,1,6,0,0,0,9,0,0,0,0,0,0,27,0,0,0,1,0,0
2022-02-21T07,99,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,23,0,0,0,5,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,6,0,0,0,1,0,0,2,0,0,4,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,5,0,0,0,0,0,2,17,0,0,0,0,0,0
2022-02-21T08,140,1,0,0,0,0,2,0,2,0,0,1,0,4,0,0,0,0,23,0,0,0,16,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,8,0,0,0,3,0,0,0,2,0,0,23,0,0,0,1,1,1
2022-02-21T09,155,2,0,0,0,0,1,0,0,1,0,1,1,4,0,0,0,0,26,0,0,0,26,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,7,0,0,0,3,0,0,0,0,0,5,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,1,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,1,7,0,0,0,5,0,1,0,1,0,1,22,0,0,0,1,0,0
2022-02-21T10,149,1,0,0,0,0,2,0,1,0,0,0,1,2,0,0,0,0,22,0,0,0,20,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,7,0,0,0,1,0,0,2,0,0,8,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,6,0,0,0,2,0,0,0,0,0,3,0,0,0,8,0,0,0,1,0,1,0,2,0,3,23,0,0,0,1,0,0
2022-02-21T11,126,1,0,0,0,0,1,0,0,1,0,3,0,3,0,0,0,0,15,0,0,0,26,0,1,0,0,0,0,2,0,0,2,5,0,0,0,0,5,0,0,0,0,0,0,2,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,2,0,2,0,3,0,1,19,0,0,0,0,0,0
2022-02-21T12,147,1,0,0,0,0,0,0,0,0,0,1,0,4,2,0,0,0,18,0,0,0,28,0,0,0,0,0,0,1,0,0,5,8,0,0,0,0,9,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,11,1,0,0,0,2,0,2,0,0,0,0,0,0,1,5,0,0,0,9,0,0,0,2,0,1,0,5,0,2,18,0,0,0,1,0,0
2022-02-21T13,164,2,0,0,2,0,1,0,0,0,0,2,0,4,1,0,0,0,17,0,0,0,42,0,0,0,0,0,0,1,0,0,3,9,0,0,0,0,4,0,0,0,1,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,4,0,1,0,0,0,0,0,2,0,5,0,0,4,9,0,0,0,4,0,1,0,3,0,1,18,0,0,0,1,0,0
2022-02-21T14,204,3,0,0,1,0,1,0,1,0,0,1,0,9,1,0,0,0,16,0,0,0,36,0,0,1,0,0,0,0,0,0,7,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,11,5,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,16,0,0,0,1,4,0,0,0,1,0,0,0,0,0,11,0,0,2,9,0,0,0,9,0,0,0,3,0,1,34,0,0,0,1,1,0
2022-02-21T15,205,1,0,1,1,0,0,0,0,0,0,1,0,8,1,0,0,0,17,0,0,0,53,1,0,1,0,0,0,0,0,0,9,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,11,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,0,0,1,1,2,0,0,0,0,0,0,0,0,0,9,0,0,4,7,0,0,0,6,0,2,0,4,0,2,20,0,0,0,0,0,0
