bucket,total,--,AE,AR,AT,AU,BA,BD,BE,BG,BO,BR,BY,CA,CH,CL,CM,CN,CO,CZ,DE,DK,EC,EG,ES,FI,FR,GB,GE,GR,GT,HK,HR,HU,ID,IE,IL,IN,IR,IS,IT,JO,JP,KE,KR,KZ,LK,LT,LU,MC,MD,MG,MK,MM,MO,MQ,MX,MY,NG,NL,NO,NP,NZ,OM,PE,PH,PK,PL,PT,RO,RS,RU,RW,SC,SE,SG,SK,SN,TH,TR,TW,TZ,UA,US,UY,VE,VI,VN,ZA
2022-03-27T19,256,0,0,0,0,0,1,0,0,0,0,1,0,20,6,0,0,7,0,1,63,0,0,0,9,0,10,17,0,0,0,4,0,0,2,1,2,0,0,0,16,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,2,1,1,3,0,0,3,0,0,3,5,0,0,5,2,2,0,0,44,0,1,0,2,0
2022-03-27T20,227,2,0,0,1,0,1,0,1,0,0,1,0,20,6,0,0,6,0,0,41,0,0,0,4,0,9,14,1,0,0,2,0,0,1,2,0,2,0,0,24,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,2,2,0,0,3,0,0,2,6,0,0,3,1,1,0,0,46,0,0,0,0,0
2022-03-27T21,196,2,0,1,1,0,1,0,1,0,0,2,0,11,4,2,0,4,0,0,33,0,0,0,4,0,10,11,1,0,0,0,0,0,0,2,1,4,0,0,15,0,14,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,2,1,0,0,2,0,0,1,8,0,0,1,0,1,0,1,43,0,0,0,0,0
2022-03-27T22,173,0,0,2,2,0,0,0,1,0,0,4,0,8,0,2,0,9,0,0,23,0,0,0,2,0,5,12,1,0,0,1,0,0,0,0,0,1,0,0,14,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0,1,1,0,0,2,0,0,1,8,0,0,1,0,1,0,1,55,1,0,0,0,0
2022-03-27T23,142,0,0,4,1,0,0,0,0,0,0,3,0,14,1,0,0,6,0,0,11,0,0,0,1,0,4,10,0,0,0,1,0,0,0,1,0,0,0,0,7,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,5,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,5,0,0,1,0,1,0,1,49,1,0,0,0,0
2022-03-28T00,123,0,0,2,0,0,0,0,0,0,0,1,0,18,0,0,0,6,0,0,10,0,0,0,1,0,2,5,0,0,0,1,1,0,0,0,0,0,0,0,2,0,6,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,8,1,0,0,0,0,0,0,1,0,0,0,3,0,0,2,5,0,0,0,0,0,0,2,41,0,0,0,0,0
2022-03-28T01,123,0,0,4,1,0,0,0,1,0,1,0,0,11,0,0,0,9,1,0,8,0,0,0,1,0,2,4,0,0,0,1,1,0,0,0,0,1,0,0,2,0,8,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,6,0,0,2,0,0,0,0,44,0,0,0,1,0
2022-03-28T02,121,0,0,1,0,0,0,0,1,0,1,1,1,9,0,1,0,10,1,0,7,0,0,0,1,0,3,3,0,0,0,16,0,0,0,1,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,1,2,0,2,7,0,0,1,0,0,0,1,36,1,0,0,0,1
2022-03-28T03,122,1,0,1,0,1,0,0,1,0,0,1,2,7,0,0,0,13,0,0,7,0,0,0,2,0,4,4,0,0,0,14,0,1,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,8,0,0,0,0,2,0,0,38,0,0,0,0,0
2022-03-28T04,105,1,0,0,1,1,0,0,1,0,0,0,2,4,1,0,0,10,0,0,5,0,0,0,2,0,4,3,0,0,0,7,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,9,0,0,1,0,0,0,0,41,0,0,0,0,0
2022-03-28T05,83,1,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,8,0,0,5,0,0,0,2,0,4,4,0,0,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,2,0,0,1,7,0,0,4,0,1,0,0,26,0,0,0,1,0
2022-03-28T06,82,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,11,0,0,0,2,0,5,3,0,0,0,6,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,5,0,0,5,0,0,0,0,17,0,0,0,0,0
2022-03-28T07,98,1,0,1,1,3,0,0,0,0,0,1,0,2,0,0,0,12,0,0,11,0,0,0,1,0,2,7,0,0,0,8,0,0,1,0,2,5,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,3,0,0,1,6,0,0,5,0,0,0,0,14,0,0,0,1,0
2022-03-28T08,119,1,0,1,1,3,0,1,0,0,0,2,0,2,0,0,0,11,0,0,15,0,0,0,2,0,4,8,0,0,0,8,0,0,2,1,0,3,0,0,3,0,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,5,1,0,1,5,0,0,2,0,1,0,0,20,0,0,0,2,0
2022-03-28T09,124,1,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,6,0,1,17,0,0,0,4,0,4,15,0,0,0,6,0,0,2,0,0,2,0,0,4,0,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,6,0,0,5,0,0,0,0,18,0,0,0,7,0
2022-03-28T10,132,2,0,1,2,0,0,1,0,0,0,3,0,1,1,0,0,10,0,0,14,0,0,1,2,0,5,11,0,0,0,9,0,0,0,0,0,1,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,2,0,1,1,0,0,2,0,0,1,6,0,0,10,1,1,0,0,24,0,0,0,0,0
2022-03-28T11,131,0,0,1,0,0,0,0,0,0,0,2,0,3,1,0,0,10,0,0,17,1,0,0,2,0,5,13,0,0,0,14,0,0,0,1,0,1,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,2,0,0,1,1,0,5,0,0,1,5,0,0,7,0,0,0,0,17,0,0,0,0,0
2022-03-28T12,153,0,0,4,0,0,0,0,0,0,0,2,0,4,0,0,0,18,0,0,17,0,0,0,1,0,3,12,0,0,0,15,0,0,1,0,2,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,4,0,0,2,6,0,0,13,0,5,0,0,26,0,0,0,0,0
2022-03-28T13,179,1,0,2,1,0,0,0,1,0,0,2,0,9,0,0,0,17,0,0,21,0,0,0,1,0,5,10,0,0,0,19,0,0,0,0,0,2,0,0,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,2,0,0,0,1,0,7,3,0,2,5,0,0,26,0,2,0,0,20,0,0,0,0,0
2022-03-28T14,195,1,0,0,1,0,0,0,1,0,0,0,0,9,1,0,0,13,0,0,24,0,0,0,2,0,9,13,0,0,0,19,2,0,1,0,0,1,1,0,6,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,13,0,0,0,0,0,3,0,0,1,0,0,6,1,0,3,5,0,0,16,0,5,0,1,28,0,0,0,0,0
2022-03-28T15,175,1,0,1,0,0,1,0,1,0,0,0,0,7,2,0,0,12,0,0,22,0,1,0,4,0,8,14,0,0,0,10,0,0,0,0,0,2,0,0,8,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,15,2,0,0,0,0,2,0,0,1,0,0,5,0,0,1,6,0,0,13,0,3,0,1,27,0,0,0,0,0
2022-03-28T16,218,1,0,0,2,0,1,0,1,0,0,1,0,5,2,0,0,9,0,0,45,0,0,0,8,0,11,12,0,0,0,11,0,0,0,0,0,0,0,0,19,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,14,1,0,0,0,0,2,0,0,0,0,1,8,1,0,6,7,0,0,13,0,2,0,1,29,0,0,0,0,0
2022-03-28T17,307,2,0,0,0,1,0,0,2,1,0,2,0,13,0,0,0,13,0,0,113,1,0,0,5,0,10,15,0,0,0,5,0,1,0,1,2,0,0,0,19,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,24,3,0,0,0,0,1,0,1,0,2,1,5,0,0,6,6,1,0,14,0,1,0,0,29,0,0,0,0,0
2022-03-28T18,323,0,0,0,1,0,0,0,1,1,0,5,0,24,1,0,0,19,0,0,95,1,0,0,11,0,6,23,0,0,0,7,0,1,0,5,1,0,0,0,12,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,1,0,0,0,0,1,0,2,1,0,3,5,1,0,1,9,1,0,15,0,1,0,0,27,0,0,0,1,0
2022-03-28T19,240,0,0,0,0,0,1,0,0,0,0,4,0,12,3,0,0,15,0,0,48,0,0,0,9,0,11,15,0,0,0,3,0,1,0,2,0,1,0,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,0,0,0,0,0,1,0,0,1,1,0,3,1,0,5,8,0,0,11,1,1,0,1,33,0,0,0,1,0
2022-03-28T20,192,1,0,1,2,0,1,0,1,0,0,1,0,6,4,0,0,15,0,0,31,1,0,0,5,0,9,14,0,0,0,2,0,0,1,0,1,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15,0,0,0,1,0,0,0,1,0,0,0,4,0,0,2,6,0,0,6,2,1,0,0,34,0,0,0,0,0
2022-03-28T21,192,1,0,1,2,0,0,0,0,0,0,1,0,11,3,0,0,15,0,0,27,0,0,0,5,0,9,11,0,0,0,0,0,0,0,0,0,3,0,0,20,0,25,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,1,0,0,0,2,2,0,0,2,0,0,0,9,0,0,3,2,0,0,0,32,0,0,0,0,0
2022-03-28T22,136,2,0,1,0,2,0,0,1,0,0,0,0,9,1,0,0,13,0,0,14,0,0,0,1,0,5,6,0,0,0,2,0,0,1,0,0,2,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,1,0,0,0,0,2,0,0,4,0,0,0,5,0,0,2,1,0,0,0,37,0,0,0,0,0
2022-03-28T23,143,2,0,2,1,0,0,0,0,0,0,1,0,13,2,0,0,14,0,0,12,0,0,0,2,0,3,9,0,0,0,1,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,5,0,0,2,0,0,0,0,50,0,0,0,1,0
2022-03-29T00,139,2,0,2,0,0,0,0,0,0,0,1,0,17,0,0,0,19,0,0,11,0,0,0,1,0,1,2,0,0,0,4,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,6,0,0,3,0,0,0,0,53,0,0,0,0,0
2022-03-29T01,106,0,0,0,0,1,0,1,0,0,0,0,0,12,1,0,0,8,0,0,3,0,0,1,2,0,1,2,0,0,0,2,0,0,1,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,1,0,0,0,0,47,0,0,0,0,0
2022-03-29T02,123,0,0,0,0,2,0,1,0,0,0,1,0,15,0,0,0,11,0,0,5,0,0,1,2,0,0,3,0,1,4,5,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,5,0,0,1,0,0,0,0,41,1,0,0,5,0
2022-03-29T03,99,0,1,0,0,1,0,0,0,0,0,0,0,5,0,0,0,20,0,0,2,1,0,0,1,0,0,3,0,0,3,7,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7,0,0,0,6,0,0,1,0,0,0,1,34,0,0,0,0,0
2022-03-29T04,94,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,1,15,0,0,6,0,1,0,2,0,1,2,0,0,0,7,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,3,0,2,0,0,0,7,0,0,2,0,0,0,0,29,0,0,0,0,0
2022-03-29T05,102,0,0,0,1,3,0,0,0,0,0,0,0,4,0,0,0,19,0,0,5,0,1,0,2,0,1,2,0,0,0,5,0,0,0,4,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,6,1,0,0,6,0,0,2,1,1,0,0,29,0,0,0,0,0
2022-03-29T06,92,0,0,1,1,3,0,0,0,0,0,0,0,4,0,0,0,13,0,0,9,0,0,0,1,0,1,2,0,0,0,4,0,0,0,0,0,1,1,0,2,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,7,0,0,0,7,0,0,2,0,2,0,0,21,0,0,0,0,0
2022-03-29T07,107,2,0,0,2,1,0,0,1,0,0,0,0,2,2,0,0,8,0,0,7,0,0,0,3,0,3,4,0,0,0,11,0,0,1,0,0,2,1,0,2,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,1,0,1,0,3,0,0,1,7,0,0,3,0,0,1,0,25,0,0,0,1,0
2022-03-29T08,111,1,0,1,1,0,0,0,0,0,0,1,0,2,1,0,0,13,0,0,16,1,0,0,1,0,2,3,0,0,0,15,0,0,1,0,0,3,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,6,0,0,5,0,0,1,0,15,0,0,0,0,0
2022-03-29T09,113,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,19,0,0,0,3,0,3,3,0,0,1,12,0,0,1,0,0,3,0,0,5,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,4,1,0,0,6,0,0,8,0,0,1,0,16,0,0,0,0,0
2022-03-29T10,133,3,0,0,1,0,0,3,0,0,0,0,0,3,1,0,0,14,0,0,14,0,0,0,6,0,2,8,0,0,0,13,0,0,1,1,0,3,0,0,8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,2,0,2,1,0,0,4,1,0,0,6,0,0,7,0,1,1,0,16,0,0,0,0,0
2022-03-29T11,110,3,0,1,1,1,0,0,0,0,0,0,0,2,1,0,0,11,0,0,11,0,0,0,2,0,7,3,0,0,0,12,0,0,0,1,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8,0,0,0,0,0,3,0,0,0,1,0,3,0,0,0,5,0,0,5,0,2,1,0,18,0,0,0,0,0
2022-03-29T12,104,2,0,3,0,0,0,0,1,0,0,1,0,2,1,0,0,12,0,0,9,0,0,0,1,0,6,3,0,0,0,15,0,0,1,1,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,5,0,0,4,0,6,0,0,13,0,0,0,1,0
