bucket,total,--,AE,AL,AR,AT,AU,BA,BE,BG,BO,BR,BY,CA,CH,CL,CN,CO,CR,CZ,DE,DK,EC,EG,ES,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KR,LA,LT,LU,LV,LY,MD,MK,ML,MO,MU,MV,MX,MY,NL,NO,NP,NZ,PE,PH,PL,PT,PY,RO,RU,RW,SE,SG,SI,SK,TH,TR,TW,UA,US,UY,VN
2022-01-03T19,349,1,0,0,0,1,0,0,3,0,0,1,0,17,2,0,4,1,0,0,102,1,0,0,12,0,14,28,0,1,3,0,0,1,2,1,0,0,16,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,66,1,0,0,0,1,2,1,0,1,6,0,4,6,0,0,7,1,4,0,34,0,0
2022-01-03T20,312,1,0,0,0,2,0,0,3,0,0,1,0,24,3,0,5,0,0,0,82,0,0,0,9,0,13,18,0,1,2,0,0,1,2,1,0,0,31,5,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,40,0,0,0,0,0,1,0,0,1,2,0,4,6,0,0,2,1,3,0,45,0,0
2022-01-03T21,256,1,0,0,0,2,0,0,2,0,0,3,0,18,4,0,2,0,0,0,60,0,0,0,3,0,10,10,0,2,3,0,0,2,2,0,0,0,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,1,2,0,1,4,0,3,6,0,0,1,1,1,1,44,1,1
2022-01-03T22,197,0,0,0,0,2,0,0,0,0,0,2,0,10,3,0,1,0,0,0,47,1,0,0,2,0,10,12,0,2,0,0,0,1,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,2,1,0,1,6,0,3,7,0,0,1,0,2,1,31,0,0
2022-01-03T23,146,0,0,0,2,1,1,1,0,0,0,1,0,14,1,0,1,0,0,0,26,0,0,0,2,0,6,8,0,1,1,0,0,1,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,4,0,5,10,0,0,3,0,2,0,29,1,0
2022-01-04T00,142,0,0,0,0,0,0,0,0,0,0,3,0,18,2,0,1,0,0,0,15,0,0,0,1,0,6,7,0,1,0,0,0,1,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,2,3,0,2,6,0,0,2,0,1,0,49,1,1
2022-01-04T01,122,0,0,0,0,1,1,0,0,0,0,0,0,24,0,1,3,0,0,0,10,0,0,0,1,0,5,4,0,1,1,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,1,1,0,0,4,0,2,7,0,0,1,0,2,0,38,0,0
2022-01-04T02,113,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,7,1,0,0,8,0,0,0,1,0,4,3,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,2,7,0,0,3,0,2,1,38,1,5
2022-01-04T03,107,0,0,0,0,0,2,0,0,0,0,1,0,12,0,0,6,0,0,0,5,0,0,0,0,0,3,1,0,0,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,3,9,0,0,1,0,1,0,53,0,0
2022-01-04T04,99,1,0,0,0,0,1,0,0,0,0,1,0,6,0,1,9,0,0,1,3,0,0,0,0,0,4,1,0,0,4,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,3,0,2,7,0,0,4,0,1,2,36,0,0
2022-01-04T05,80,1,0,0,1,0,1,0,0,0,0,0,0,4,0,0,11,0,0,0,6,0,0,0,0,0,5,4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,2,0,2,6,0,0,3,0,1,0,25,0,0
2022-01-04T06,61,2,0,0,0,0,1,0,0,0,0,0,0,6,0,0,5,0,0,0,2,0,0,0,0,0,3,3,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,0,2,5,0,0,5,1,1,0,13,0,0
