bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BF,BG,BO,BR,BY,BZ,CA,CH,CL,CN,CO,CY,CZ,DE,DK,DO,DZ,EG,ES,FI,FR,GB,GE,GN,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JO,JP,KE,KG,KH,KR,KZ,LA,LB,LK,LT,LU,LV,MA,MK,MM,MO,MT,MW,MX,MY,NG,NL,NO,NP,NZ,OM,PA,PE,PH,PK,PL,PS,PT,PY,QA,RO,RS,RU,RW,SD,SE,SG,SI,SK,SY,TH,TN,TR,TT,TW,TZ,UA,US,UY,UZ,VE,VI,VN,ZA,ZW
2022-05-30T00,122,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,30,0,0,0,5,0,0,0,0,0,0,3,5,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,3,1,0,2,5,0,0,0,0,0,0,0,2,0,0,28,0,1,0,1,0,0,0
2022-05-30T01,94,2,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,9,0,0,9,0,0,0,4,0,0,0,0,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,5,0,0,0,0,0,0,0,5,0,0,30,0,0,0,0,0,0,0
2022-05-30T02,119,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,13,0,0,11,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,1,0,2,7,0,0,0,1,0,0,0,13,0,0,43,0,0,0,0,0,0,0
2022-05-30T03,121,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,5,0,0,14,0,0,0,3,1,0,0,0,1,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,4,0,1,2,6,0,0,0,0,0,1,0,19,0,0,26,0,0,0,0,3,0,0
2022-05-30T04,146,4,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,33,1,0,2,3,0,0,0,1,1,0,2,2,0,0,0,5,0,0,0,3,0,0,2,0,0,3,0,9,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,2,8,0,0,0,1,0,0,0,21,0,0,25,0,0,0,0,1,1,0
2022-05-30T05,101,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,24,1,0,1,3,0,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,3,0,0,2,6,0,0,0,1,0,1,0,7,0,0,20,0,0,0,0,2,0,0
2022-05-30T06,69,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,7,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,4,0,0,2,6,0,0,0,0,0,0,0,5,0,0,13,0,1,0,0,0,0,0
2022-05-30T07,92,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,4,0,1,0,0,1,0,1,1,0,0,0,4,0,0,0,2,0,0,1,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,4,0,0,0,0,0,0,2,0,3,0,0,2,5,0,0,1,1,0,1,0,5,0,0,20,0,1,0,0,1,0,0
2022-05-30T08,100,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,11,0,0,0,11,0,1,0,0,1,0,5,1,0,0,0,1,0,0,0,3,0,0,1,0,0,2,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,4,6,0,0,0,0,0,0,0,11,0,0,13,0,0,0,0,1,0,0
2022-05-30T09,102,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,9,0,0,0,9,0,0,0,0,1,0,5,3,0,0,0,1,0,0,0,0,0,0,2,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,3,0,0,3,6,0,0,0,2,0,0,0,14,0,0,11,0,0,0,0,2,0,0
2022-05-30T10,120,3,0,0,0,2,0,0,0,0,1,1,0,0,0,3,0,0,1,0,1,16,0,0,0,10,0,0,0,0,3,0,4,3,0,0,0,2,0,0,0,0,0,0,3,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,4,0,0,2,6,0,0,0,3,0,2,0,7,0,1,15,0,0,0,0,1,0,0
2022-05-30T11,117,1,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,18,0,0,0,12,0,0,0,0,1,0,2,8,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,1,0,0,2,6,0,0,0,5,0,1,0,9,0,0,21,0,0,0,0,0,0,0
2022-05-30T12,167,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,14,0,0,1,10,0,0,0,0,0,0,7,4,0,0,0,6,0,0,0,1,0,0,1,0,0,4,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,5,0,0,3,6,0,0,0,5,0,0,0,16,0,1,52,0,0,0,0,1,0,0
2022-05-30T13,141,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,4,0,2,16,0,0,1,12,0,0,0,0,0,0,6,7,0,0,0,5,0,1,0,5,0,0,3,0,1,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,3,7,0,0,0,2,0,1,0,14,0,0,20,0,0,0,0,1,1,0
2022-05-30T14,171,4,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,23,1,0,0,15,0,0,0,0,2,0,9,7,0,0,0,11,0,0,0,2,0,0,3,0,1,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,2,10,0,0,0,7,0,1,0,16,0,0,20,0,0,0,0,1,0,0
2022-05-30T15,159,3,0,0,1,2,0,0,0,0,0,0,0,2,0,2,0,0,3,0,0,10,1,0,0,18,0,0,0,0,2,0,6,10,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,1,3,0,4,0,0,0,0,0,0,5,0,0,2,6,0,0,0,12,0,0,0,13,0,0,17,0,0,0,0,3,0,0
2022-05-30T16,187,0,0,0,0,2,1,0,0,0,0,3,0,0,0,3,0,0,3,1,0,13,1,0,1,25,1,0,0,0,4,1,11,13,0,0,0,6,0,0,1,1,0,0,0,0,0,14,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,8,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,5,0,0,7,6,0,0,0,11,0,0,0,4,0,0,24,0,0,0,0,1,0,0
2022-05-30T17,214,1,0,0,0,3,0,1,0,0,0,4,0,0,0,2,0,0,5,1,0,10,1,0,1,55,1,0,0,0,7,0,12,14,0,0,0,5,0,0,1,0,1,0,0,0,0,17,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,0,0,0,0,0,0,1,0,5,1,2,0,0,3,0,3,0,0,4,7,0,0,0,10,0,0,0,2,0,0,16,0,0,0,0,0,0,0
