bucket,total,--,AE,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BO,BR,BY,CA,CH,CL,CN,CO,CR,CZ,DE,DK,DO,EC,EG,ES,FI,FR,GB,GE,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IT,JP,KH,KR,KZ,LA,LT,LU,LV,MK,MO,MQ,MT,MX,MY,MZ,NL,NO,NZ,PE,PH,PK,PL,PT,PY,QA,RO,RS,RU,RW,SD,SE,SG,SI,SK,SY,TH,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA
2022-05-16T22,133,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,4,0,0,0,9,0,0,0,0,3,0,5,10,0,0,0,1,0,0,0,0,1,0,3,0,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,3,0,3,0,0,1,8,0,0,0,1,0,1,1,0,0,0,33,0,0,0,0,0
2022-05-16T23,127,3,0,0,1,4,0,0,0,0,0,0,0,1,0,15,0,2,4,0,0,0,7,0,0,0,0,2,0,6,8,0,0,0,2,0,0,0,0,0,0,5,0,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,6,0,0,0,1,0,0,1,0,0,0,38,0,0,0,1,0
2022-05-17T00,138,2,0,0,0,2,0,0,0,0,0,0,0,0,0,26,0,2,27,0,0,0,8,0,0,0,0,1,0,4,2,0,0,0,1,0,0,0,0,11,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,1,0,3,0,0,1,6,0,0,0,1,0,0,1,0,0,0,28,0,0,0,0,0
2022-05-17T01,139,1,0,1,0,1,0,0,0,0,0,0,0,0,0,20,0,0,8,0,0,0,7,0,0,0,0,1,0,2,6,0,0,0,1,0,0,0,1,1,0,2,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,8,0,0,0,1,0,0,4,0,0,0,63,0,0,0,0,0
2022-05-17T02,159,2,0,0,0,2,0,0,0,0,0,0,0,4,0,17,0,0,35,0,0,0,4,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,1,1,0,2,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,10,0,0,0,1,0,0,2,0,0,0,60,0,0,0,0,0
2022-05-17T03,128,2,0,0,1,0,0,0,0,1,0,0,0,2,0,12,1,0,10,0,0,0,8,0,0,0,0,1,0,5,1,0,0,0,2,0,0,1,1,0,0,11,0,2,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,8,0,0,0,1,0,0,4,0,0,0,35,0,0,0,1,0
2022-05-17T04,76,3,0,1,0,1,0,0,0,1,0,0,0,0,0,7,0,0,8,0,0,0,6,0,0,0,0,1,0,1,4,0,0,0,3,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,1,0,1,6,0,0,0,0,0,0,1,0,0,0,20,0,0,0,1,0
2022-05-17T05,95,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,33,0,0,0,4,0,0,0,0,1,0,1,2,0,0,0,3,0,0,0,0,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,3,0,0,1,6,0,0,0,1,0,1,3,0,0,0,18,0,0,0,0,0
2022-05-17T06,110,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,16,0,0,0,9,0,0,0,0,1,0,1,2,0,0,0,2,0,0,0,0,0,0,9,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,1,0,0,1,6,0,0,0,3,0,0,4,0,0,0,35,0,0,0,2,0
2022-05-17T07,141,0,0,2,2,0,0,0,0,0,1,0,0,0,0,9,1,0,22,0,0,0,9,0,0,0,0,1,0,2,2,0,1,0,2,0,0,0,1,0,0,1,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,2,0,0,1,5,0,0,0,3,0,0,4,0,0,0,52,0,0,0,1,0
