bucket,total,--,AE,AR,AT,AU,BA,BD,BE,BO,BR,BY,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DO,DZ,EC,ES,FI,FR,GB,GE,GR,HK,HU,ID,IE,IN,IT,JP,KG,KH,KM,KR,KZ,LT,LU,LY,MK,MM,MO,MX,MY,MZ,NL,NO,NP,NZ,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SE,SG,TH,TR,TW,UA,US,UY,UZ,VE,VN,ZA
2022-10-24T03,110,1,0,1,0,1,0,0,0,0,0,0,8,0,0,0,9,0,0,6,0,0,0,0,1,0,2,8,0,1,0,0,0,5,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,4,0,1,7,3,0,3,0,35,0,0,0,4,0
2022-10-24T04,97,1,0,0,0,0,0,0,0,0,1,0,6,0,0,0,5,0,0,5,0,0,0,0,1,0,5,1,0,0,1,0,0,0,5,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,7,0,0,2,0,44,0,0,0,0,0
2022-10-24T05,88,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,1,0,1,2,0,0,1,1,1,0,7,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,6,1,0,3,0,30,0,0,0,0,0
2022-10-24T06,74,2,0,0,0,1,0,0,0,0,0,0,5,1,0,0,7,0,0,5,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,1,0,2,0,0,0,0,0,0,0,3,0,2,8,2,0,3,0,24,0,0,0,0,0
2022-10-24T07,80,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,7,1,0,0,2,0,0,7,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,4,0,1,6,0,1,1,0,30,0,0,0,0,0
2022-10-24T08,129,2,0,0,0,10,0,0,1,0,0,1,0,0,0,0,4,0,0,10,0,0,0,0,0,0,7,5,0,0,1,0,0,0,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,6,4,0,2,0,57,0,0,0,0,0
2022-10-24T09,105,2,0,0,2,7,0,0,0,0,0,0,1,0,0,0,5,0,0,8,0,0,0,0,2,0,9,4,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,3,1,1,0,1,0,0,0,3,1,1,6,5,0,2,1,29,0,0,0,0,0
2022-10-24T10,92,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,7,0,0,0,0,1,0,3,1,0,0,1,0,1,0,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,2,0,1,0,0,0,1,0,4,0,2,8,4,0,4,0,31,0,0,0,0,0
2022-10-24T11,134,1,0,0,1,0,0,0,1,0,3,0,8,0,0,0,10,0,0,19,0,0,1,0,1,0,5,5,0,0,2,0,2,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,3,0,1,0,1,0,0,0,3,0,3,6,5,1,8,0,28,0,0,0,0,0
2022-10-24T12,122,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,11,0,0,19,0,0,0,0,1,0,7,7,0,0,2,0,0,4,1,2,2,0,0,0,1,0,0,1,0,0,0,1,0,0,1,9,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,6,15,1,6,0,16,0,0,0,1,0
2022-10-24T13,130,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,4,0,0,13,0,1,0,0,1,0,7,7,0,0,3,0,1,3,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,7,0,0,0,0,3,0,1,0,0,0,0,0,2,0,2,5,16,0,8,0,32,0,0,0,0,0
2022-10-24T14,171,4,0,0,1,0,0,0,1,0,1,0,1,0,0,0,5,0,0,20,0,0,0,0,0,0,10,7,0,0,3,0,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,13,0,0,0,0,3,0,0,0,0,0,0,0,3,0,5,6,15,0,5,0,59,0,0,0,0,1
2022-10-24T15,158,3,0,0,0,0,0,0,2,0,0,0,4,0,0,0,4,0,0,31,1,0,0,0,1,1,12,8,0,0,2,0,0,0,0,7,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,1,0,3,0,6,5,14,0,2,0,39,0,0,0,1,0
2022-10-24T16,142,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,1,0,37,0,0,0,0,4,2,12,10,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,2,0,1,0,1,0,0,0,3,0,7,6,8,0,3,0,18,0,0,0,0,0
2022-10-24T17,196,4,0,0,2,0,0,0,2,0,1,0,3,0,1,0,5,0,0,52,0,0,0,0,2,0,12,8,0,0,2,0,1,15,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,2,0,1,0,1,0,2,0,4,0,13,6,6,0,2,0,25,0,0,0,0,1
2022-10-24T18,145,4,0,0,0,0,0,0,4,0,2,0,2,0,1,0,1,0,0,38,0,0,0,0,4,0,5,7,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,1,0,0,0,1,0,2,0,0,0,1,0,3,0,2,5,1,0,2,0,38,0,0,0,0,0
