bucket,total,--,AD,AE,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BM,BO,BR,BY,CA,CH,CL,CM,CN,CO,CV,CY,CZ,DE,DK,DO,DZ,EC,EG,ES,FI,FR,GB,GH,GR,GT,HK,HU,ID,IE,IN,IR,IT,JO,JP,KH,KR,KZ,LA,LT,LU,LV,MA,MC,MO,MW,MX,MY,MZ,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PT,PY,RO,RS,RU,RW,SD,SE,SG,SK,TH,TN,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA
2022-11-27T15,145,4,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,3,2,1,0,3,0,0,0,0,24,0,0,0,0,0,3,0,11,15,0,0,0,2,0,1,0,1,0,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,2,1,3,1,0,2,0,1,0,0,3,6,0,8,0,0,1,0,0,17,0,0,1,1,0
2022-11-27T16,208,2,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,9,1,1,0,2,0,0,0,0,47,0,0,0,0,0,4,0,11,13,0,0,0,0,0,2,14,0,0,23,0,8,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,1,1,2,0,0,1,0,4,0,0,3,6,0,3,0,1,2,0,0,29,0,0,0,2,0
2022-11-27T17,212,3,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,5,2,0,0,5,0,0,0,0,50,0,0,0,0,0,10,0,24,12,0,1,0,0,0,2,1,1,0,24,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,1,0,2,1,0,0,0,3,0,0,6,6,0,2,0,0,1,0,0,30,0,0,0,0,0
2022-11-27T18,198,6,0,0,0,0,0,1,0,0,0,2,0,0,0,5,0,4,3,0,0,3,0,0,0,1,45,0,0,0,0,0,10,0,10,15,0,0,1,1,1,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,12,1,0,0,0,2,0,1,1,0,1,0,3,0,0,6,6,0,4,0,2,1,1,0,28,0,0,0,0,0
2022-11-27T19,177,3,0,0,0,2,1,0,0,1,1,2,0,0,0,2,0,9,1,0,0,3,0,0,0,0,55,0,0,0,0,0,8,0,6,8,0,0,0,2,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,13,2,0,2,0,0,1,2,0,0,0,0,1,0,0,3,7,0,2,0,1,1,0,0,27,0,0,0,0,1
2022-11-27T20,185,4,0,0,0,1,1,0,0,1,0,4,0,0,0,2,0,13,2,0,0,4,1,0,0,0,40,0,0,0,0,0,1,0,10,10,0,0,0,1,1,0,0,1,0,12,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,14,2,0,1,0,0,0,1,0,0,1,0,3,0,0,3,7,0,1,0,1,1,1,0,34,0,0,0,0,0
2022-11-27T21,206,2,0,0,0,1,0,0,0,0,0,1,0,1,0,3,0,12,1,1,0,8,4,0,0,0,24,0,0,0,0,0,1,0,7,13,0,0,0,3,0,0,0,1,0,18,0,3,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,17,3,0,1,0,0,0,2,0,0,2,0,3,0,0,2,7,0,0,0,1,0,0,0,60,0,0,0,0,0
2022-11-27T22,193,4,0,0,0,0,0,1,0,1,0,2,0,1,0,5,0,10,1,2,0,21,1,0,0,0,19,0,0,0,0,0,2,0,5,15,1,1,0,0,0,0,0,1,0,18,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,2,0,3,0,0,4,7,0,0,0,0,1,0,0,49,0,0,0,0,0
2022-11-27T23,139,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,27,0,0,0,0,11,0,0,0,0,0,1,0,2,11,0,0,0,0,0,1,0,2,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,1,0,4,0,0,2,8,0,0,0,0,1,0,0,27,0,0,0,1,0
2022-11-28T00,148,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,1,0,24,0,0,0,0,8,0,0,0,0,0,0,0,2,3,0,0,0,0,1,3,0,0,0,11,0,6,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,52,0,0,1,0,0
2022-11-28T01,157,2,0,0,0,2,0,27,0,0,0,0,1,0,0,2,0,12,0,1,0,17,0,0,0,0,8,0,0,0,0,1,1,0,4,8,0,0,0,0,1,1,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,2,1,0,44,0,0,1,0,0
2022-11-28T02,128,5,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,9,0,0,0,15,2,0,0,1,10,0,0,0,0,1,0,0,2,5,0,0,0,1,0,0,0,2,0,1,0,3,0,2,0,0,1,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,9,0,1,1,0,0,0,0,44,0,0,0,0,0
2022-11-28T03,111,4,0,0,0,1,0,30,0,0,0,0,0,0,0,1,0,8,0,0,0,17,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,26,0,0,0,0,0
2022-11-28T04,81,2,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,5,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,39,0,0,0,0,0
2022-11-28T05,57,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,7,0,1,0,0,0,0,0,20,0,0,0,1,0
2022-11-28T06,108,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,4,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,1,0,0,6,0,1,0,0,0,0,0,58,0,0,0,1,0
2022-11-28T07,83,2,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,3,1,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,6,1,2,0,1,2,0,0,40,0,0,0,0,0
2022-11-28T08,85,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,1,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,4,0,1,0,0,0,0,1,0,0,0,10,0,0,0,1,3,0,0,25,0,0,0,0,0
2022-11-28T09,107,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,6,0,0,0,0,13,0,0,0,0,0,0,0,8,5,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,5,0,1,0,0,0,1,2,0,0,0,5,0,0,0,0,2,0,0,43,0,0,0,0,0
2022-11-28T10,97,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,0,0,0,0,21,1,0,0,0,0,0,0,4,5,0,0,0,1,0,1,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,2,0,0,1,0,0,0,1,0,0,2,5,0,4,0,0,1,0,0,17,0,0,0,0,0
2022-11-28T11,142,2,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,3,0,0,0,19,0,0,0,0,17,0,0,0,1,0,2,0,7,7,0,0,0,2,1,1,0,2,0,5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,2,0,0,0,1,0,0,2,6,0,2,0,0,5,1,0,37,0,0,0,0,0
2022-11-28T12,114,2,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,2,0,0,0,13,0,0,0,0,11,0,0,1,1,0,1,0,3,7,0,0,0,6,1,2,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,6,0,7,0,0,1,1,1,27,0,0,0,1,0
2022-11-28T13,147,3,0,0,1,0,1,2,0,0,0,0,0,0,0,2,0,3,0,0,0,17,0,0,0,0,15,0,0,0,1,0,0,0,7,10,0,0,0,5,0,1,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,6,0,5,0,1,4,1,1,39,0,0,0,0,0
2022-11-28T14,172,3,0,0,1,1,0,26,0,0,0,0,0,0,1,2,0,3,0,0,0,15,0,0,0,0,17,1,0,0,0,0,1,0,6,11,0,0,0,3,0,0,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,1,2,0,0,0,1,1,0,0,1,0,1,6,0,7,0,1,1,0,0,44,0,0,1,0,0
2022-11-28T15,134,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,3,1,0,0,16,0,0,0,0,14,1,1,0,0,0,1,1,8,5,0,0,0,2,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,1,0,0,0,1,2,0,2,0,0,1,8,0,7,0,1,3,0,0,29,0,0,1,2,0
2022-11-28T16,164,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,17,0,0,0,0,34,1,0,0,0,0,1,0,8,9,0,0,0,1,0,0,1,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,2,0,1,1,0,0,0,0,2,5,0,10,0,2,3,0,0,38,0,0,0,0,0
2022-11-28T17,181,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,13,0,0,0,0,33,0,0,0,0,0,3,0,11,10,0,0,0,1,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,5,0,6,0,0,2,0,0,70,0,0,0,0,0
2022-11-28T18,231,4,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,6,1,0,0,17,1,0,0,0,53,1,0,0,0,0,4,0,9,12,0,0,0,2,0,0,10,0,0,14,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,5,0,5,0,1,0,0,0,61,0,0,0,0,0
2022-11-28T19,189,2,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,12,2,1,0,16,0,0,0,0,38,1,0,0,0,0,4,0,7,15,0,0,0,3,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,30,2,0,0,0,0,0,4,0,0,2,0,2,0,0,4,5,0,3,0,2,1,0,0,19,0,0,0,0,0
2022-11-28T20,190,4,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,13,2,0,0,17,0,0,0,0,37,0,0,0,0,0,2,0,9,11,0,0,0,2,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,4,0,0,1,0,0,0,0,2,6,0,4,0,1,0,0,0,44,0,0,0,1,0
2022-11-28T21,176,2,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,5,1,1,0,17,0,0,0,0,40,1,0,0,0,0,2,0,13,8,0,0,0,1,0,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,2,0,0,2,0,1,0,0,2,7,0,1,0,1,0,0,0,31,0,0,0,2,0
2022-11-28T22,118,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,5,1,0,0,0,14,0,0,0,0,0,0,0,8,10,0,0,0,2,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,1,3,0,1,0,0,2,5,0,1,0,1,0,0,0,26,0,0,0,0,0
2022-11-28T23,112,2,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,9,0,1,1,3,1,0,0,0,16,0,0,0,0,0,1,0,5,9,0,0,0,1,0,0,2,1,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,6,0,1,0,0,0,1,0,23,0,0,1,0,0
2022-11-29T00,88,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,1,0,4,0,0,0,0,7,0,0,0,0,0,1,0,5,2,0,0,0,1,0,1,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,35,0,0,0,0,0
