bucket,total,--,AD,AE,AF,AM,AR,AT,AU,BA,BB,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CZ,DE,DK,EC,EE,ES,FI,FR,GB,GE,GF,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IS,IT,JP,KE,KG,KM,KR,KZ,LK,LT,LU,LV,MC,MD,ME,MK,MN,MO,MX,MY,MZ,NL,NO,NP,NZ,OM,PE,PG,PH,PK,PL,PS,PT,PY,QA,RO,RS,RU,RW,SC,SE,SG,SI,SK,SN,TH,TR,TW,UA,US,UY,UZ,VE,VN,ZA,ZM
2022-03-21T02,127,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,10,1,0,7,0,0,0,2,0,2,4,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,7,0,0,0,0,0,2,0,53,0,0,0,0,0,0
2022-03-21T03,103,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,7,0,0,0,0,13,1,0,7,0,0,0,2,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,1,8,0,0,0,1,0,1,0,29,0,0,0,0,0,0
2022-03-21T04,105,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,18,1,0,9,0,0,0,1,0,1,3,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,7,0,0,0,1,0,1,0,33,0,0,0,0,0,0
2022-03-21T05,107,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,13,1,0,8,1,0,0,1,0,1,3,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,1,7,0,0,0,1,0,2,1,28,0,1,0,5,0,0
2022-03-21T06,96,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0,0,4,1,0,0,1,0,1,5,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,3,0,0,1,6,0,0,0,4,0,3,1,21,0,1,0,0,0,0
2022-03-21T07,135,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,19,0,0,9,0,0,0,1,0,1,11,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,3,7,0,0,0,5,0,1,0,41,0,1,0,0,0,0
2022-03-21T08,107,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,19,0,0,12,0,0,0,2,0,0,2,0,0,0,0,6,0,0,0,1,0,0,6,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,2,7,0,0,0,3,1,1,0,23,0,1,0,0,0,0
2022-03-21T09,112,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,1,0,10,0,0,15,0,0,0,2,0,1,4,0,0,1,0,10,0,0,0,0,0,0,3,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,4,0,0,3,11,0,0,0,2,0,1,0,20,0,1,0,0,0,0
2022-03-21T10,157,3,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,3,0,0,1,0,11,0,0,23,1,0,0,7,0,1,10,0,0,0,0,19,0,0,0,0,0,1,7,0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,3,0,0,4,8,0,0,0,3,0,1,0,25,0,0,0,0,0,0
2022-03-21T11,142,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,6,0,0,1,0,10,0,0,16,1,0,0,2,0,4,6,0,0,0,0,18,0,0,0,1,0,2,2,0,0,4,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,3,0,0,2,8,0,0,0,7,0,9,0,24,0,0,0,0,0,0
