bucket,total,--,AE,AM,AR,AT,AU,BA,BD,BE,BG,BO,BR,BW,BY,CA,CH,CL,CM,CN,CO,CR,CV,CZ,DE,DK,DO,DZ,EC,ES,FI,FR,GB,GR,GT,HK,HR,HU,ID,IE,IL,IN,IR,IS,IT,JO,JP,KH,KR,KZ,LA,LR,LT,LV,MA,MD,MK,MM,MN,MO,MT,MX,MY,MZ,NG,NL,NO,NP,NZ,OM,PE,PH,PK,PL,PS,PT,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,SY,TH,TN,TR,TT,TW,UA,US,UY,UZ,VN,ZA,ZM,ZW
2022-10-03T02,119,4,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,7,1,0,0,0,6,0,0,0,0,1,0,5,4,0,0,2,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,6,0,0,0,3,0,0,0,1,0,50,0,0,1,0,0,0
2022-10-03T03,103,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,7,0,0,0,0,1,0,2,8,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,6,0,0,0,2,0,0,0,2,1,44,0,0,0,0,0,0
2022-10-03T04,113,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,17,0,0,0,0,3,0,0,0,0,2,0,5,3,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,2,6,0,0,0,4,0,0,0,1,0,48,0,0,2,0,0,0
2022-10-03T05,112,2,0,0,1,0,1,0,0,0,0,0,1,0,0,4,0,0,0,17,0,1,0,0,4,0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,2,0,0,0,0,2,0,0,0,2,6,0,0,0,3,0,0,0,2,0,42,0,0,2,2,0,0
2022-10-03T06,92,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,13,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,2,6,0,0,0,2,0,0,0,2,0,32,0,0,0,0,0,0
2022-10-03T07,131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35,0,0,0,0,9,1,0,0,0,1,0,3,5,0,0,3,0,0,1,0,0,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,2,5,0,0,0,1,0,0,0,2,0,42,0,0,0,1,0,0
2022-10-03T08,95,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,0,0,0,0,14,2,0,0,0,1,0,3,3,0,0,4,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,3,6,0,0,0,0,0,0,0,5,0,20,0,0,0,0,0,0
2022-10-03T09,120,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,22,0,0,0,0,19,1,0,1,0,2,0,4,2,0,0,3,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,2,5,0,0,0,1,0,0,0,4,0,34,0,0,0,0,0,0
2022-10-03T10,109,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,19,0,0,0,0,3,1,3,3,0,0,6,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,2,7,0,0,1,0,0,0,0,4,0,29,0,0,0,0,0,0
2022-10-03T11,92,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,17,0,0,0,0,2,0,3,3,0,0,3,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,6,0,0,1,3,0,0,0,8,0,17,0,0,0,1,1,0
2022-10-03T12,119,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,21,0,0,0,0,2,0,7,5,0,0,5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,2,8,0,0,0,11,0,0,0,7,0,24,0,0,1,0,0,0
2022-10-03T13,136,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,8,0,0,0,0,17,0,0,0,0,2,0,6,16,0,0,6,0,0,1,0,0,2,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,2,6,0,0,0,10,0,0,0,3,0,32,0,0,1,0,0,0
