bucket,total,--,AE,AM,AR,AT,AU,AZ,BD,BE,BG,BH,BM,BR,BY,CA,CH,CI,CL,CM,CN,CO,CZ,DE,DK,DO,DZ,ES,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IR,IT,JO,JP,KH,KM,KR,KZ,LT,LU,MA,MK,MM,MN,MO,MT,MU,MX,MY,MZ,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SA,SD,SE,SG,SI,SK,SN,SR,TH,TN,TR,TW,TZ,UA,US,VE,VN,ZA,ZW
2022-11-21T02,99,4,0,0,1,0,1,0,0,0,0,0,0,2,0,9,0,1,0,0,5,0,0,5,1,0,0,1,0,1,3,0,0,1,0,0,0,0,0,3,0,1,0,9,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,6,0,0,0,0,0,0,0,2,0,0,32,0,0,0,0
2022-11-21T03,119,2,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,8,0,0,5,0,0,0,1,0,3,4,0,0,3,0,0,2,7,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,1,1,1,0,4,7,0,0,0,0,4,0,0,1,0,0,39,0,0,0,0
2022-11-21T04,142,2,0,0,2,0,0,0,0,0,0,0,0,1,0,14,0,0,1,0,19,0,0,9,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,6,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,5,0,0,0,0,0,57,0,0,1,0
2022-11-21T05,160,3,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,17,0,0,5,0,0,0,1,0,8,1,0,0,2,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1,0,2,0,0,0,0,0,1,0,0,0,2,6,0,0,0,0,3,0,0,0,0,1,84,0,0,0,0
2022-11-21T06,115,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,20,0,0,9,0,0,0,1,0,2,4,0,0,3,0,0,0,0,0,5,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,7,0,0,0,0,1,0,0,2,0,0,35,0,0,0,0
2022-11-21T07,111,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,20,0,0,9,0,0,0,1,0,3,3,0,0,2,0,0,0,0,0,2,0,0,0,9,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,2,7,0,0,0,0,3,0,0,0,0,1,30,0,1,0,0
2022-11-21T08,105,1,0,0,0,1,0,0,0,0,0,0,0,3,1,2,0,0,0,0,18,0,0,12,0,0,0,1,0,2,2,0,0,2,0,0,0,0,0,2,0,0,0,8,0,1,2,0,0,0,1,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,2,0,0,0,0,1,26,0,2,0,0
2022-11-21T09,153,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,16,0,0,17,0,0,0,0,0,11,4,0,0,4,0,0,0,0,0,6,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,5,0,0,1,0,0,64,0,1,0,0
2022-11-21T10,121,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8,0,0,18,0,0,0,1,0,5,2,0,0,3,0,0,0,0,0,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,4,0,0,2,0,0,51,0,1,0,0
2022-11-21T11,125,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,7,0,0,0,3,0,5,2,0,0,2,0,0,0,0,0,9,0,2,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,7,0,0,0,0,2,0,0,5,0,0,48,0,1,1,0
2022-11-21T12,103,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,11,0,0,9,2,0,0,1,0,1,2,0,0,0,0,0,0,1,0,4,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,1,2,7,0,0,0,0,7,0,0,0,0,1,32,0,1,1,0
2022-11-21T13,107,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,0,0,12,0,0,0,1,0,2,6,0,0,5,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3,7,0,0,0,0,9,0,2,2,0,0,26,0,1,0,0
2022-11-21T14,130,1,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,9,0,0,13,0,1,0,0,0,3,7,0,0,5,0,0,1,0,0,5,0,6,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,12,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,6,0,0,0,0,10,0,0,4,0,0,23,0,0,1,0
2022-11-21T15,118,2,0,0,0,0,0,0,0,1,0,0,0,2,0,8,0,0,0,0,6,0,0,25,1,0,0,0,0,5,9,0,0,4,0,0,1,0,0,2,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,1,0,0,1,0,0,3,0,0,0,1,6,0,0,0,0,10,0,2,0,0,0,15,0,0,0,0
2022-11-21T16,182,3,0,0,2,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,6,0,0,37,1,0,0,0,1,11,9,0,0,3,0,0,3,0,0,5,0,8,0,17,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2,2,0,0,5,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,4,6,0,1,0,0,7,0,2,2,0,0,30,0,2,0,0
2022-11-21T17,152,2,0,0,1,0,0,0,0,1,0,0,0,5,0,6,0,0,1,0,5,0,0,37,0,0,0,2,3,13,6,0,1,1,0,0,0,0,0,4,0,12,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,1,0,2,0,1,0,0,0,0,0,4,6,0,1,0,0,4,0,2,2,0,0,18,0,0,1,0
2022-11-21T18,198,2,1,0,0,0,0,0,0,2,0,0,0,1,0,7,0,0,0,0,5,0,0,55,1,0,0,4,0,11,13,0,0,1,0,0,0,0,0,3,0,14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,2,0,2,0,2,0,1,1,2,0,0,0,13,5,0,0,0,0,2,0,1,1,1,0,26,0,1,0,0
2022-11-21T19,219,2,0,0,1,1,0,0,0,1,0,0,0,4,0,8,1,0,1,0,2,0,0,50,0,0,0,5,0,11,17,0,1,2,0,0,0,0,0,2,1,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0,0,0,0,2,0,3,0,1,0,0,0,0,1,0,0,3,5,0,0,0,0,1,0,1,0,1,0,42,0,0,0,0
2022-11-21T20,173,2,1,0,0,0,1,0,0,0,0,0,0,1,0,7,1,0,1,0,6,0,0,42,0,0,0,3,0,13,10,0,1,1,0,0,0,0,0,6,0,14,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,2,0,3,0,1,0,1,0,0,0,3,5,0,1,0,0,2,0,1,0,0,0,25,0,0,0,0
2022-11-21T21,252,2,0,0,0,1,24,0,0,1,0,0,0,1,0,2,2,0,0,0,4,0,0,31,0,0,0,6,0,10,8,0,0,2,0,0,0,0,0,10,0,19,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,6,7,0,1,0,0,2,0,1,0,0,0,79,0,1,0,0
2022-11-21T22,178,2,0,0,0,0,18,0,0,2,0,0,0,5,0,5,2,0,0,0,3,0,0,18,0,0,0,3,0,8,11,0,0,1,0,0,0,0,0,6,0,13,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,3,6,0,0,0,0,0,0,1,0,0,0,45,0,0,0,0
2022-11-21T23,128,3,1,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,9,2,0,13,0,0,0,4,0,4,6,0,0,0,0,0,0,13,0,1,0,8,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,4,0,0,0,28,0,0,0,0
2022-11-22T00,124,3,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,2,0,7,1,0,10,0,0,0,2,0,4,5,0,0,1,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,2,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,2,7,0,0,0,0,1,0,0,0,0,0,47,0,0,1,0
