bucket,total,--,AE,AF,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BO,BR,BY,BZ,CA,CH,CL,CN,CO,CR,CY,CZ,DE,DK,DZ,EC,EG,ES,FI,FR,GB,GE,GG,GR,GT,HK,HN,HR,HT,HU,ID,IE,IL,IN,IR,IS,IT,JM,JO,JP,KE,KH,KR,KZ,LA,LB,LK,LT,LU,LV,MA,MK,MM,MN,MO,MU,MX,MY,NA,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PS,PT,PY,RE,RO,RS,RU,RW,SA,SC,SD,SE,SG,SK,SN,SO,SV,TG,TH,TN,TR,TT,TW,UA,UG,US,UY,VE,VN,ZA
2022-02-06T10,172,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,15,0,0,0,1,43,0,0,0,0,3,3,5,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,11,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,1,0,0,0,0,1,0,4,0,0,0,0,7,8,0,0,0,0,0,8,0,1,0,5,0,0,26,0,0,1,0
2022-02-06T11,187,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,26,0,0,0,0,55,0,0,0,0,3,0,4,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,11,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,3,7,0,0,0,0,0,4,0,2,0,7,1,0,24,0,0,0,0
2022-02-06T12,199,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,24,0,0,0,1,68,0,0,0,0,1,0,9,6,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,4,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,2,9,0,0,0,0,0,3,0,0,0,12,3,0,16,0,0,0,0
2022-02-06T13,265,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,2,2,1,22,0,0,0,0,97,1,0,0,0,1,0,9,5,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,15,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,2,0,1,0,0,0,0,1,0,4,0,0,0,0,5,6,0,0,0,0,0,4,0,0,0,15,1,0,39,0,0,0,1
2022-02-06T14,290,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,5,5,2,21,0,0,0,0,108,2,0,0,0,1,0,11,7,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,14,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,1,0,3,0,0,0,0,1,0,5,0,0,0,0,8,9,0,0,0,0,0,10,0,0,0,6,1,0,30,0,0,0,1
2022-02-06T15,316,2,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,4,1,0,25,1,0,0,0,105,0,0,0,0,2,0,17,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,2,0,0,0,1,0,2,0,0,0,0,0,0,8,0,0,0,0,14,10,0,0,0,0,0,10,0,0,0,5,2,0,33,0,0,0,0
2022-02-06T16,334,4,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,12,1,0,27,0,0,0,0,94,0,1,3,0,1,0,17,19,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,34,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,17,1,0,0,0,1,0,3,0,0,0,0,0,0,8,0,0,0,0,6,9,0,0,0,0,0,8,0,0,0,4,1,0,44,0,0,2,0
2022-02-06T17,330,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,9,3,0,18,1,0,0,2,107,0,0,1,0,5,0,16,23,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,33,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,14,1,0,0,0,2,0,2,0,0,0,0,3,0,5,0,0,0,0,8,6,0,0,0,0,0,6,0,2,0,1,1,0,40,0,0,1,0
2022-02-06T18,375,2,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,17,3,0,26,0,0,0,1,129,0,0,0,0,9,0,13,13,0,1,0,0,4,0,0,0,0,2,0,0,2,0,0,27,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,14,2,0,0,0,1,0,4,0,1,0,0,0,0,5,0,0,0,0,7,5,0,0,0,0,0,5,0,3,0,2,3,0,63,0,0,0,0
2022-02-06T19,300,1,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,15,2,0,19,0,0,0,1,83,0,0,0,0,8,0,11,21,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,18,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,31,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,8,5,0,0,0,0,0,3,0,2,0,1,1,0,46,0,0,0,0
2022-02-06T20,257,3,0,0,3,2,0,0,0,0,0,1,0,0,0,2,0,0,18,3,0,16,0,0,0,0,55,0,0,0,0,3,0,9,16,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,26,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,2,0,1,0,0,1,0,9,0,0,0,0,2,5,0,0,0,0,0,3,0,0,0,1,1,0,50,0,0,0,0
2022-02-06T21,275,2,0,0,3,2,0,0,0,0,0,1,1,0,0,3,1,0,23,0,0,21,0,0,0,0,49,0,0,0,0,2,0,10,17,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,31,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,14,0,0,0,0,0,0,2,0,0,0,0,1,0,5,0,0,0,0,2,7,0,0,0,0,0,2,0,1,0,1,0,0,58,1,0,5,0
2022-02-06T22,248,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,18,3,0,18,0,0,0,0,33,0,0,0,0,1,1,9,13,0,0,0,0,3,0,0,0,0,2,0,0,0,1,0,20,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,2,6,0,0,0,0,0,2,0,2,0,1,1,0,70,0,0,3,0
2022-02-06T23,204,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,20,2,0,17,0,0,0,0,26,0,0,0,0,2,1,3,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,8,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,2,7,0,0,0,0,0,2,0,1,0,0,1,0,77,0,0,2,1
2022-02-07T00,144,1,0,0,0,2,0,0,0,0,0,0,1,0,0,4,0,1,18,0,0,12,0,0,0,0,16,1,0,0,0,1,0,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0
2022-02-07T01,170,1,0,0,2,1,2,0,0,0,0,0,0,0,0,7,0,0,18,1,2,24,0,0,0,0,7,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,2,7,0,0,0,0,0,1,0,1,0,1,0,0,51,0,2,1,0
2022-02-07T02,138,1,0,0,1,0,2,0,0,0,0,0,0,0,0,5,0,0,15,0,1,16,0,0,0,0,5,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,1,1,0,55,0,0,1,0
2022-02-07T03,135,3,0,0,1,0,2,0,0,0,0,0,0,0,0,4,0,0,13,0,2,12,0,0,0,1,4,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,1,0,0,54,0,0,0,2
2022-02-07T04,130,3,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,7,0,1,13,0,0,0,0,6,0,0,0,0,0,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,2,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,6,0,0,0,0,1,2,0,0,0,2,1,0,49,0,0,0,1
2022-02-07T05,111,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,11,0,0,0,0,5,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,1,2,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,9,0,0,0,0,1,3,0,0,0,0,1,0,44,0,0,0,0
2022-02-07T06,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,1,0,17,0,0,0,0,7,1,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,1,3,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,1,6,0,0,0,0,0,2,0,0,0,0,0,0,32,0,0,0,0
2022-02-07T07,104,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,17,0,0,0,0,5,0,0,0,0,1,0,1,3,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,4,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,8,0,0,0,0,0,3,0,0,0,2,1,0,30,0,0,1,0
2022-02-07T08,148,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,16,0,0,0,0,15,0,0,0,0,1,0,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,8,1,1,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,1,1,0,51,0,0,3,0
2022-02-07T09,157,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,26,0,0,0,0,20,0,0,0,0,1,0,9,6,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,4,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,2,7,0,0,0,0,0,0,0,1,0,2,0,0,42,0,0,1,0
2022-02-07T10,133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,19,0,0,0,0,29,0,0,0,0,1,0,7,7,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,3,7,0,0,0,0,0,0,0,2,0,0,1,0,26,0,0,1,0
2022-02-07T11,177,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,20,1,0,0,0,40,1,0,0,0,2,0,6,10,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,5,0,0,8,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,13,1,0,0,0,3,0,1,0,0,0,0,0,0,3,0,0,0,0,2,16,0,0,0,0,0,2,0,1,0,6,0,0,21,0,0,1,1
2022-02-07T12,158,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,14,0,0,0,0,34,0,0,0,0,3,0,9,6,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,1,0,5,0,0,0,0,3,15,1,0,0,0,0,2,0,1,0,3,1,0,24,0,0,0,1
2022-02-07T13,164,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,0,0,0,0,35,0,0,0,0,0,0,7,10,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,5,0,0,0,0,0,0,1,0,6,0,0,0,0,3,12,1,0,0,0,0,4,0,0,0,5,1,0,22,0,0,1,0
2022-02-07T14,214,2,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,11,1,0,22,0,0,0,0,32,0,0,0,0,0,0,11,20,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,0,0,0,0,2,0,1,0,0,0,0,1,0,7,0,0,0,0,5,11,0,0,0,0,0,10,0,2,0,5,1,0,28,0,0,5,0
2022-02-07T15,208,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,8,1,0,16,0,0,0,1,45,1,0,0,0,1,0,12,12,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,11,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,4,0,1,0,1,0,0,0,0,6,0,0,0,0,8,9,0,0,0,0,0,8,0,1,0,4,0,0,27,0,0,0,0
2022-02-07T16,257,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,7,3,0,17,0,0,0,0,85,0,0,0,0,0,1,12,14,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,0,1,0,1,0,0,0,0,6,0,0,0,0,5,9,0,0,0,0,0,11,0,2,0,2,1,0,34,0,0,0,1
2022-02-07T17,385,1,1,0,0,2,0,0,2,0,0,2,0,0,0,2,1,0,12,3,0,21,0,0,0,2,205,1,0,0,0,4,1,7,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,22,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,1,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,0,8,6,1,0,0,0,0,5,0,1,0,4,1,0,32,0,0,0,1
2022-02-07T18,652,0,0,0,0,3,0,0,1,0,0,3,0,0,0,0,0,0,9,3,0,15,0,0,0,0,423,0,0,0,0,11,0,12,12,0,0,2,0,1,0,0,0,1,0,2,0,2,0,0,19,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,4,0,0,0,1,0,0,0,1,0,0,1,1,4,0,0,0,0,13,9,2,0,0,0,0,4,0,1,0,3,0,0,34,0,0,0,0
2022-02-07T19,510,0,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,15,4,0,13,1,0,0,0,254,0,0,0,0,7,0,7,20,0,0,0,0,1,0,0,0,0,0,6,0,2,1,0,13,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,56,2,0,0,0,1,0,1,0,2,0,0,2,0,4,0,0,0,0,8,8,1,0,0,0,0,1,1,1,0,2,2,0,51,0,0,2,0
2022-02-07T20,371,3,0,0,1,5,0,0,1,0,0,3,0,0,0,4,0,0,11,6,0,18,0,0,0,0,140,0,0,0,0,8,0,8,19,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,25,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,30,2,0,0,0,0,1,3,0,2,0,0,1,0,5,0,0,0,0,5,5,0,0,0,0,0,1,1,1,0,1,2,0,37,0,0,0,0
2022-02-07T21,248,0,0,0,0,2,0,0,1,0,0,0,0,0,0,4,0,0,11,3,0,22,1,0,0,0,69,0,0,0,0,5,0,4,11,0,0,0,0,3,0,0,0,1,0,0,0,2,0,0,23,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,1,0,0,0,0,1,3,0,2,1,0,1,0,6,0,1,0,0,1,5,0,0,0,0,0,0,1,1,0,0,0,0,39,0,0,1,0
2022-02-07T22,226,7,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,10,5,0,17,0,0,0,0,46,1,0,0,0,3,0,9,13,0,0,0,1,3,0,0,0,1,0,0,0,2,1,0,18,0,0,2,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,3,0,2,0,0,0,0,3,0,0,0,0,1,7,0,0,0,0,0,1,1,0,0,1,1,0,38,0,0,0,0
2022-02-07T23,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,17,3,0,19,0,0,0,0,27,0,0,0,0,2,0,4,13,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,18,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,1,1,0,41,0,0,0,1
2022-02-08T00,176,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,0,0,23,0,0,21,0,0,0,0,23,0,0,0,0,1,0,2,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,2
2022-02-08T01,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,0,0,22,0,0,0,0,15,0,0,0,0,1,0,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,1,1
2022-02-08T02,135,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,0,0,17,0,0,0,0,9,0,0,0,0,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,7,0,0,0,0,0,2,0,0,0,0,0,0,55,0,0,0,0
2022-02-08T03,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,0,0,15,0,0,0,0,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,6,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,1,0,50,0,0,1,0
2022-02-08T04,118,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,16,0,0,0,0,7,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,7,0,0,0,0,0,1,0,0,0,2,0,0,48,0,0,2,0
2022-02-08T05,110,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,18,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0,2,1,0,48,0,0,0,0
2022-02-08T06,93,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,16,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,4,0,0,0,0,1,10,0,0,0,0,0,1,0,0,0,2,1,0,33,0,0,1,0
2022-02-08T07,95,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,13,0,0,0,0,8,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,1,7,0,0,0,0,0,3,0,0,0,2,1,0,31,0,0,6,0
2022-02-08T08,113,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,11,0,0,0,0,18,2,0,0,0,0,0,4,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,1,0,0,2,0,7,0,0,0,0,3,9,0,0,0,0,0,2,0,0,0,0,1,0,27,0,0,0,0
