bucket,--,AD,AE,AR,AT,AU,BA,BB,BE,BN,BR,BY,CA,CH,CL,CN,CO,CZ,DE,DK,EC,EG,ES,FI,FR,GB,GR,GY,HK,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JP,KH,KR,KZ,LA,LK,MK,MM,MO,MT,MX,MY,NA,NL,NO,NZ,PE,PH,PL,PT,RO,RS,RU,SE,SG,SI,SK,TH,TR,TW,UA,US,VN,ZA
2021-09-20T05,0,0,0,0,0,5,0,0,0,1,0,0,2,0,0,1,0,0,3,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,2,0,0
2021-09-20T06,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,11,0,2,0,0
2021-09-20T07,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,3,0,3,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,11,0,1,0,0
2021-09-20T08,0,0,1,0,0,3,0,0,1,0,0,0,1,0,0,1,1,0,9,0,0,0,1,0,6,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,2,0,0,0,0,10,0,2,0,1,1,0
2021-09-20T09,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,3,1,0,10,0,0,0,2,0,3,4,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,1,1,1,0,0,9,0,5,0,2,1,0
2021-09-20T10,0,0,0,0,0,7,0,0,1,0,0,0,0,1,0,1,0,0,5,0,0,0,0,0,5,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,5,0,0,0,2,0,0,0,0,0,1,0,0,0,8,0,8,0,5,0,0
2021-09-20T11,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,4,0,0,8,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,4,0,2,0,1,0,1,0,0,0,1,1,0,0,10,0,6,0,2,0,0
2021-09-20T12,0,0,1,0,0,4,1,0,0,1,0,0,1,0,0,2,0,0,9,0,0,0,2,0,3,5,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,1,4,0,0,13,0,8,0,1,0,0
2021-09-20T13,0,0,2,0,1,1,1,0,0,0,0,0,7,0,1,5,0,0,19,0,0,0,1,0,4,2,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,5,1,0,0,1,1,0,0,0,0,0,9,0,0,17,0,9,0,4,0,0
2021-09-20T14,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,19,0,0,0,1,0,2,6,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,2,1,0,0,0,2,2,0,0,0,22,0,9,0,11,0,0
2021-09-20T15,0,0,0,0,1,1,1,0,1,1,1,0,3,2,2,2,0,0,25,0,0,0,1,1,5,4,0,0,1,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,0,0,1,0,5,0,0,0,3,0,0,1,0,2,4,0,0,0,29,0,6,0,6,0,0
2021-09-20T16,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,1,0,0,33,0,0,0,4,1,5,4,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,2,0,0,0,22,1,8,0,5,0,0
2021-09-20T17,0,0,0,0,1,1,0,0,3,0,0,0,6,3,3,0,0,0,75,1,0,0,7,0,9,8,0,0,2,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,2,0,0,0,1,1,0,13,1,0,0,1,1,1,0,0,0,11,0,0,0,14,0,6,0,7,0,0
2021-09-20T18,0,0,1,1,1,0,0,0,1,0,0,0,3,2,0,0,0,0,47,3,0,0,7,0,8,18,0,0,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,24,1,0,0,1,0,1,1,0,0,6,0,0,0,10,2,4,0,12,0,0
2021-09-20T19,0,0,0,0,0,0,0,0,1,0,1,0,2,1,1,0,0,0,32,0,0,0,3,0,8,12,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,1,1,1,0,0,0,5,0,0,0,7,1,3,0,8,0,0
2021-09-20T20,0,0,0,0,0,0,1,0,1,0,1,0,6,1,0,0,0,0,39,0,0,0,3,0,6,14,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,3,0,0,0,7,2,5,0,10,0,0
2021-09-20T21,0,0,0,0,0,1,1,0,1,0,1,0,7,2,0,0,0,0,18,0,0,0,2,0,3,9,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,9,0,0
2021-09-20T22,0,0,0,3,0,2,0,0,0,0,1,0,3,2,0,0,0,0,7,0,0,0,1,0,3,9,0,0,1,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,2,0,8,0,0
2021-09-20T23,0,0,0,2,0,1,0,0,0,0,7,0,13,0,0,0,0,0,6,0,0,0,1,0,1,5,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,12,0,0
2021-09-21T00,0,0,0,1,0,2,0,1,0,0,0,0,8,0,0,3,0,0,3,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,3,0,15,0,0
2021-09-21T01,0,0,0,2,0,2,0,0,0,0,0,0,9,0,0,1,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,11,0,0
2021-09-21T02,0,0,0,1,0,2,0,1,0,0,1,0,6,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,6,0,5,0,15,0,0
2021-09-21T03,0,0,0,0,0,1,0,0,0,0,0,0,7,0,2,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,3,0,7,0,8,1,0
2021-09-21T04,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,6,0,7,0,13,0,0
2021-09-21T05,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,2,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,7,0,7,0,2,0,0
2021-09-21T06,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,6,0,6,0,3,0,0
2021-09-21T07,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,1,0,0,6,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,2,0,0,0,0,0,2,0,0,0,6,0,9,0,0,0,0
2021-09-21T08,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,4,0,0,4,0,0,0,1,0,1,3,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,3,0,0,1,0,1,4,0,0,0,12,0,4,0,1,0,0
2021-09-21T09,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,1,0,0,13,0,0,0,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,2,2,0,0,0,0,1,1,0,0,10,0,9,0,2,0,0
2021-09-21T10,0,0,0,0,0,6,1,0,0,0,0,0,1,0,0,3,0,0,11,0,0,0,2,0,1,7,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,8,0,0,0,1,0,1,0,0,1,1,0,0,0,14,0,4,0,1,2,0
2021-09-21T11,0,0,0,0,0,2,0,0,0,0,1,0,2,2,0,1,0,0,6,0,0,0,2,0,3,4,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,7,2,0,0,0,0,2,4,0,0,10,0,12,0,1,0,0
2021-09-21T12,0,0,0,0,0,3,1,0,0,0,0,0,2,0,2,0,0,0,6,0,0,0,2,0,3,6,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,5,0,0,0,5,0,0,0,0,3,3,9,0,0,22,0,5,0,3,0,0
2021-09-21T13,0,0,0,1,0,3,1,0,0,0,0,0,4,0,3,2,0,0,11,0,0,0,1,4,3,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,2,5,0,0,27,0,4,0,4,0,0
2021-09-21T14,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3,0,0,17,0,0,0,3,1,5,10,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,2,0,0,0,0,0,3,8,0,0,13,0,14,0,3,0,0
2021-09-21T15,0,0,0,1,0,0,0,0,1,0,0,0,8,2,0,6,0,0,17,0,0,0,3,0,2,7,0,0,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,2,0,0,0,0,1,4,0,0,0,18,1,4,0,8,0,0
2021-09-21T16,0,0,1,2,0,0,0,0,1,0,0,0,7,1,1,1,0,0,38,0,0,0,5,0,12,7,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,1,2,0,0,0,1,1,0,10,0,0,0,1,0,0,0,0,2,9,0,0,0,25,1,3,0,7,0,0
2021-09-21T17,0,0,0,1,0,0,0,0,1,0,0,0,2,2,0,2,0,0,68,0,0,0,7,0,7,7,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,1,0,13,0,0,0,1,0,0,3,0,3,3,1,0,0,17,1,3,0,11,0,0
2021-09-21T18,0,0,3,2,1,0,0,0,2,0,1,0,5,1,3,0,0,0,61,0,0,0,6,0,8,7,0,0,1,0,1,5,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,2,0,17,0,0,0,1,1,0,0,0,2,2,0,0,1,12,0,0,0,7,0,0
2021-09-21T19,0,0,1,3,2,0,0,0,2,0,0,0,7,3,1,0,0,0,46,0,0,0,1,0,7,11,0,0,0,0,0,4,0,0,0,0,0,25,0,0,0,0,0,0,0,2,0,0,0,1,0,0,20,0,0,0,0,1,0,1,0,1,1,0,0,0,10,1,1,0,9,0,0
2021-09-21T20,0,0,1,3,0,0,0,0,0,0,0,0,4,1,0,0,0,0,28,0,0,0,3,0,9,6,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,1,1,0,0,0,2,0,0,0,2,2,1,0,6,0,0
2021-09-21T21,0,0,0,3,0,0,1,0,0,0,3,0,10,2,6,0,0,0,19,0,0,0,1,0,4,7,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,1,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,14,0,0
2021-09-21T22,0,0,0,0,0,1,1,0,0,0,2,0,10,1,0,0,0,0,13,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,2,0,0,0,2,0,0,0,3,0,3,0,16,0,0
2021-09-21T23,0,0,0,5,0,1,0,0,0,0,0,0,14,0,0,0,0,0,9,0,0,0,1,0,4,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,15,0,0
2021-09-22T00,0,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,0,25,0,0
2021-09-22T01,0,0,0,1,0,1,0,1,0,0,0,0,9,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,4,0,31,0,0
2021-09-22T02,0,0,0,1,0,3,0,0,1,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,7,0,30,0,0
2021-09-22T03,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,3,0,10,0,0
2021-09-22T04,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0
2021-09-22T05,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,2,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,4,0,6,0,0
