bucket,--,AE,AR,AT,AU,BA,BB,BE,BG,BN,BR,CA,CH,CL,CN,CO,CR,CZ,DE,DK,EC,EE,ES,FI,FR,GB,GR,HK,HU,ID,IE,IL,IN,IT,JP,KR,KY,LK,MD,MK,MO,MT,MX,MY,NA,NL,NO,NZ,PE,PH,PL,PT,RO,RU,SE,SG,SK,TH,TR,TW,UA,US,UY,VN,ZA
2021-09-27T07,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,6,0,0,0,1,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,3,0,0,4,0,8,0,3,0,0,0
2021-09-27T08,0,0,0,0,7,0,0,0,0,0,0,0,1,0,2,0,0,0,9,0,0,0,0,0,3,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,1,0,1,0,1,1,0,5,0,5,0,1,0,0,0
2021-09-27T09,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,1,1,0,4,7,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,2,0,0,6,0,4,0,1,0,0,0
2021-09-27T10,0,0,0,1,2,0,0,0,0,0,0,0,1,0,3,0,0,0,9,0,0,0,0,0,2,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,2,0,0,0,3,0,0,9,0,11,0,2,0,0,0
2021-09-27T11,0,0,0,0,4,0,0,1,0,0,0,1,0,0,1,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,3,0,0,1,0,1,2,0,11,0,20,0,2,0,0,0
2021-09-27T12,0,0,0,1,0,0,0,2,0,0,0,1,0,1,2,0,0,0,7,0,0,0,0,0,3,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,4,0,1,0,0,0,2,0,12,0,29,0,1,0,0,0
2021-09-27T13,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,11,0,0,0,1,3,3,10,0,1,0,0,1,0,0,6,0,0,0,0,0,2,0,0,0,2,0,9,0,0,0,2,0,2,0,1,3,6,0,18,0,17,0,3,0,0,0
2021-09-27T14,0,0,0,0,1,0,0,1,0,0,0,2,1,0,1,0,0,0,17,0,0,0,0,0,3,14,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,3,0,13,0,0,0,4,0,0,0,5,4,0,0,18,0,21,0,7,0,0,0
2021-09-27T15,0,0,0,0,0,0,0,0,0,0,0,7,1,0,6,0,0,0,25,0,0,0,1,1,4,8,0,1,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,2,0,0,1,1,3,1,0,14,1,11,0,6,0,0,0
2021-09-27T16,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,34,0,0,0,3,1,9,2,0,0,0,0,1,1,0,14,0,0,0,0,0,0,0,0,2,2,0,4,1,0,0,3,0,0,1,0,5,0,0,21,0,13,0,4,0,0,0
