bucket,total,--,AE,AR,AT,AU,BA,BB,BE,BG,BR,BS,BY,CA,CH,CL,CM,CN,CO,CZ,DE,DK,EC,EG,ES,FI,FR,GB,GE,GR,HK,HU,ID,IE,IL,IN,IR,IT,JP,KE,KH,KR,KZ,LA,LT,LU,LV,MC,MD,MM,MN,MX,MY,NG,NL,NO,NP,NZ,PE,PH,PL,PT,RO,RS,RU,RW,SA,SE,SG,SI,SK,TH,TR,TW,UA,US,UY,VN,ZA
2021-11-08T03,98,2,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,4,0,0,4,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,1,0,2,0,0,3,0,0,0,0,0,0,1,0,0,1,13,0,0,2,0,4,0,39,0,0,0
2021-11-08T04,91,2,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,10,0,0,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,4,1,2,0,0,0,0,2,0,0,1,9,0,0,6,1,3,0,30,0,0,0
2021-11-08T05,76,2,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,6,0,0,4,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,1,0,0,0,2,0,0,1,10,0,0,2,1,3,1,24,0,2,0
2021-11-08T06,81,2,0,0,0,3,0,0,0,0,1,0,0,4,0,0,0,4,0,0,7,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,3,0,1,0,0,1,0,2,0,0,3,10,0,0,5,0,3,0,21,0,1,0
2021-11-08T07,93,2,0,0,0,4,0,0,0,0,1,0,0,3,0,0,0,6,0,0,6,0,0,0,0,1,2,1,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,2,0,1,0,0,1,0,2,0,0,2,17,0,0,5,0,2,0,22,0,0,0
2021-11-08T08,97,2,0,0,1,4,0,0,1,0,1,0,0,1,0,0,0,6,0,0,6,0,0,0,0,0,6,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,1,0,1,1,0,0,0,3,0,0,2,13,0,0,7,1,2,0,27,0,0,0
2021-11-08T09,110,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,7,0,0,8,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,10,0,0,1,0,3,0,0,1,0,2,0,0,4,14,0,0,8,1,4,0,22,0,2,0
2021-11-08T10,118,2,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,6,0,0,17,0,0,0,3,1,4,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,2,0,1,2,0,1,0,0,2,12,0,0,10,0,3,0,20,0,2,1
2021-11-08T11,131,2,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,6,0,0,17,0,0,0,1,0,5,6,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,9,1,0,0,0,4,0,0,2,0,3,0,0,1,17,0,0,19,0,7,0,14,0,1,0
2021-11-08T12,146,2,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,8,0,0,16,0,0,0,1,2,4,5,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,5,2,0,0,0,1,0,0,2,18,0,0,24,0,4,1,21,0,7,1
2021-11-08T13,141,2,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,3,1,0,16,0,0,0,1,0,3,11,0,0,1,0,0,0,0,1,0,5,2,0,0,1,0,1,1,1,0,0,0,0,0,0,2,0,14,1,0,0,0,3,0,0,0,0,4,0,0,1,10,0,0,28,1,3,0,16,0,1,1
2021-11-08T14,177,3,0,0,0,0,0,0,0,0,1,0,0,5,1,1,0,5,0,0,23,0,0,0,1,1,5,19,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,17,0,0,0,0,2,0,0,1,0,7,0,0,3,13,0,0,27,1,3,0,20,0,2,1
2021-11-08T15,168,2,0,0,0,0,0,0,1,0,2,0,0,4,1,1,0,5,0,0,27,0,0,0,0,1,5,15,0,0,0,0,0,1,0,0,0,7,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,15,0,0,0,0,1,2,0,1,0,5,0,0,3,9,0,0,24,1,3,0,23,0,0,1
2021-11-08T16,181,3,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,9,0,0,35,0,0,0,4,0,7,11,0,0,1,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,2,2,0,0,0,5,0,0,3,14,0,0,18,0,5,0,22,0,1,1
2021-11-08T17,208,2,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,10,0,0,54,0,0,0,5,0,12,15,0,1,2,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,1,0,0,0,2,3,0,1,0,5,0,0,6,10,0,0,15,1,4,0,19,0,2,0
2021-11-08T18,268,2,0,0,0,0,0,0,3,0,1,0,0,4,5,0,0,9,0,0,95,0,0,0,6,0,11,11,0,1,0,0,0,1,1,0,0,12,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,20,4,0,0,0,0,5,0,2,0,4,0,0,12,7,0,0,15,2,3,0,26,0,1,0
2021-11-08T19,259,2,0,1,0,0,0,0,3,0,1,0,0,8,5,0,0,4,0,0,71,0,0,0,7,1,11,26,0,0,1,0,0,2,1,1,0,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,32,0,0,0,0,1,2,1,3,0,2,0,0,9,10,0,0,16,4,1,0,19,0,1,0
2021-11-08T20,207,2,0,1,0,0,0,0,2,0,0,0,0,8,4,1,0,8,0,0,52,0,0,0,3,0,5,21,0,0,1,1,1,3,1,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,2,2,0,0,4,0,0,6,9,0,0,6,5,1,1,21,0,0,0
2021-11-08T21,180,2,0,1,0,0,0,0,2,0,1,0,0,6,3,1,0,6,0,0,34,0,0,0,3,0,8,15,0,0,0,1,0,2,0,0,0,18,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,20,0,0,0,0,0,3,0,2,0,3,0,0,3,6,0,0,4,3,1,0,25,0,1,0
2021-11-08T22,157,2,0,1,0,0,0,0,1,0,3,0,0,12,1,0,0,5,0,0,31,0,0,0,2,0,5,17,0,1,0,0,1,0,0,0,0,12,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,1,0,1,3,0,0,2,8,0,0,3,3,1,0,23,0,2,0
2021-11-08T23,139,3,0,0,0,0,0,0,1,1,1,0,0,12,2,0,0,4,0,0,23,0,0,0,3,0,5,9,0,1,0,0,1,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,1,0,1,0,2,0,0,2,11,0,0,1,0,1,0,28,0,0,0
