bucket,total,--,AD,AE,AR,AT,AU,BA,BB,BD,BE,BG,BH,BM,BR,CA,CH,CI,CL,CM,CN,CO,CY,CZ,DE,DK,DO,DZ,EE,EG,ES,FI,FR,GB,GE,GI,GR,HK,HR,HU,ID,IE,IL,IN,IT,JM,JP,KH,KR,KW,KZ,LA,LB,LK,LT,LV,MA,MD,ML,MM,MO,MV,MX,MY,NA,NC,NG,NL,NO,NZ,PE,PH,PK,PL,PS,PT,QA,RO,RS,RU,RW,SD,SE,SG,SI,SK,TH,TR,TT,TW,UA,US,UY,VE,VN,ZA
2021-12-06T02,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,6,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,10,0,0,1,0,0,3,0,31,0,0,0,0
2021-12-06T03,91,1,0,1,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,11,0,0,1,0,0,1,2,33,0,0,0,0
2021-12-06T04,85,3,0,0,1,0,2,0,0,0,1,1,0,0,1,4,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,7,0,0,1,0,0,2,2,32,0,0,0,0
2021-12-06T05,101,1,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,8,1,0,0,3,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,2,0,0,0,0,0,0,0,3,0,0,0,9,0,0,2,0,0,1,1,47,0,0,0,0
2021-12-06T06,81,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,10,0,0,0,8,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,8,0,0,4,0,0,1,0,28,0,0,0,0
2021-12-06T07,87,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,7,0,0,1,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,3,1,0,1,8,0,0,3,0,0,2,2,29,0,0,0,0
2021-12-06T08,97,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,11,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,3,0,2,0,0,0,0,0,3,0,0,0,8,0,0,5,0,0,2,0,27,0,0,0,0
2021-12-06T09,94,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,2,0,0,0,5,0,0,0,14,0,0,0,0,0,2,0,4,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,10,0,0,3,0,0,1,1,19,0,0,0,0
2021-12-06T10,142,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,9,0,0,0,27,0,0,0,0,0,1,0,5,4,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,18,1,0,0,5,0,1,0,0,0,0,0,4,0,0,0,11,0,0,5,0,0,3,2,27,0,0,1,1
2021-12-06T11,152,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,17,1,0,0,0,0,1,2,2,5,0,0,0,0,0,1,1,0,0,2,5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,16,0,0,0,2,0,0,0,0,0,2,0,5,0,0,0,14,0,2,6,0,0,5,2,47,0,0,0,1
