bucket,total,--,AE,AR,AT,AU,BA,BB,BD,BE,BG,BO,BR,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DZ,EE,EG,ES,FI,FR,GB,GR,HK,HU,ID,IE,IL,IN,IS,IT,JP,KE,KG,KH,KR,KZ,LA,LB,LT,LU,LV,MD,ME,MK,ML,MO,MX,MY,MZ,NG,NL,NO,NZ,PH,PL,PR,PT,RO,RS,RU,RW,SC,SE,SG,SK,TH,TN,TR,TW,UA,US,UY,VN,ZA
2021-12-27T16,260,1,0,0,1,3,0,0,0,0,0,0,0,8,0,0,0,8,0,0,61,0,0,0,0,2,0,15,20,2,2,0,0,1,0,2,0,24,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,30,0,0,1,1,0,0,0,1,3,0,0,5,7,0,9,0,3,7,0,35,0,0,1
2021-12-27T17,247,1,0,0,2,0,0,0,0,2,0,0,0,7,2,0,0,5,0,0,91,0,0,0,0,3,0,12,15,1,3,0,0,0,0,0,0,19,2,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,15,1,0,0,3,0,2,1,0,3,0,0,3,5,0,11,0,2,1,1,23,0,5,0
2021-12-27T18,277,2,0,0,3,0,0,0,0,3,0,0,1,7,1,1,0,7,0,0,90,0,0,0,0,10,0,12,19,1,4,0,0,0,0,0,0,19,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,44,0,0,0,1,0,2,2,0,2,0,0,5,5,0,6,0,4,2,0,21,0,0,0
2021-12-27T19,271,4,0,0,1,0,0,0,0,2,0,0,0,19,0,3,0,2,0,0,68,0,0,0,0,13,0,8,15,1,1,0,0,0,1,0,0,15,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1,0,1,2,0,3,2,0,6,0,0,6,5,0,4,0,3,1,1,28,0,0,0
2021-12-27T20,245,3,0,1,2,0,0,0,0,4,0,0,1,14,0,2,0,4,0,0,63,1,0,0,0,8,0,6,15,1,0,0,0,1,0,0,0,27,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,4,0,2,2,0,5,0,0,2,5,0,4,0,2,1,2,25,0,0,0
2021-12-27T21,220,2,0,1,2,0,0,0,0,1,0,0,0,7,1,1,0,6,0,0,52,0,0,0,0,2,0,10,17,1,0,0,0,1,0,0,0,23,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,35,0,0,0,1,0,1,0,0,5,0,0,4,6,0,3,0,1,2,0,31,0,0,0
2021-12-27T22,184,2,0,0,1,2,0,0,0,2,0,0,0,6,2,1,0,3,0,0,49,0,0,0,0,3,0,9,19,1,0,0,0,1,0,0,0,14,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,3,2,0,1,0,0,3,6,0,2,0,0,1,0,29,0,0,0
2021-12-27T23,156,2,0,0,2,3,0,0,0,1,0,0,0,9,2,1,0,5,0,0,24,0,0,0,0,2,0,7,13,2,0,0,0,1,0,0,0,12,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,4,0,1,4,0,0,3,5,0,1,0,0,3,1,29,0,0,0
2021-12-28T00,153,1,0,0,0,1,0,0,0,2,0,0,1,14,0,2,0,4,0,0,14,0,0,0,0,2,0,9,15,1,0,0,0,2,0,0,0,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,3,0,0,4,0,0,2,8,0,1,0,0,2,1,50,0,0,0
2021-12-28T01,120,1,0,0,0,2,0,0,0,0,0,0,1,13,0,1,0,4,1,0,12,0,0,0,0,2,0,5,10,1,0,0,0,1,0,0,0,4,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,1,0,0,3,0,0,2,6,0,1,0,0,2,1,36,0,0,0
2021-12-28T02,109,2,0,0,1,2,0,0,0,0,0,0,1,15,1,1,0,1,0,0,9,0,0,0,0,0,0,2,7,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,5,0,0,2,5,0,2,0,0,3,0,36,1,0,0
