bucket,total,--,AD,AE,AR,AT,AU,BB,BD,BE,BG,BR,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DO,EE,ES,FI,FR,GB,GE,GH,GR,GT,HK,HU,ID,IE,IL,IN,IR,IT,JP,KE,KH,KR,KZ,LA,LT,LU,MD,MK,ML,MO,MT,MX,MY,MZ,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RO,RS,RU,SC,SE,SG,SI,SK,TH,TN,TR,TW,UA,US,UY,VE,VN,YE,ZA
2021-12-20T02,110,2,0,0,0,0,0,0,0,1,0,2,14,0,0,0,4,0,0,4,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,3,0,3,6,0,0,0,0,0,3,1,47,0,0,0,0,0
2021-12-20T03,99,2,0,0,0,1,0,0,0,0,0,0,10,0,0,0,7,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,3,0,3,6,0,0,0,0,0,2,0,38,0,0,0,0,0
2021-12-20T04,102,1,0,0,0,0,1,0,0,1,0,0,7,0,0,0,4,0,0,3,0,0,0,1,0,7,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,2,0,1,0,0,0,0,0,3,0,2,8,0,0,1,0,0,2,0,38,0,0,2,0,0
2021-12-20T05,76,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,3,0,0,4,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,1,0,0,0,0,0,3,1,2,6,0,0,3,0,0,2,0,28,0,0,0,0,0
2021-12-20T06,96,2,0,0,0,0,1,0,0,1,0,0,4,0,0,0,5,0,0,7,0,0,0,0,0,2,3,0,0,1,0,0,0,0,4,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8,0,1,0,1,0,0,0,0,0,4,0,2,6,0,0,2,0,0,3,0,34,0,0,0,0,0
2021-12-20T07,102,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,3,0,0,8,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1,1,0,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,0,0,0,1,0,0,0,0,0,3,0,2,6,0,0,3,0,0,3,1,44,0,0,1,0,0
2021-12-20T08,106,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,9,0,0,0,1,0,5,4,0,0,0,0,1,0,0,0,1,1,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,0,0,0,0,2,0,2,6,0,0,2,0,0,3,1,32,0,0,3,0,0
2021-12-20T09,117,1,0,0,0,0,1,0,0,1,0,2,1,0,0,0,4,0,0,15,0,0,0,0,0,5,6,0,0,0,0,1,0,0,0,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,23,0,0,0,1,0,2,0,0,0,3,0,2,6,0,0,1,0,0,3,0,28,0,0,1,0,0
2021-12-20T10,132,1,0,0,1,1,2,0,0,2,0,0,2,1,0,0,9,0,0,25,0,0,0,1,0,7,3,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,26,0,0,0,1,0,1,0,0,0,3,0,3,8,0,0,0,0,0,5,0,21,0,0,0,0,0
2021-12-20T11,149,3,0,0,0,1,1,0,0,1,0,0,1,1,0,0,6,0,0,15,0,0,0,0,0,12,3,0,0,1,0,2,0,0,0,0,0,0,6,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,28,0,0,0,1,0,1,0,2,0,3,0,2,6,0,0,2,0,0,6,2,32,0,0,7,0,0
