bucket,total,--,AE,AR,AT,AU,AW,BA,BD,BE,BG,BO,BR,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DZ,EC,EE,ES,ET,FI,FR,GB,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KE,KH,KR,KZ,LA,LT,LU,LV,MA,ME,MM,MN,MO,MX,MY,NL,NO,NZ,PH,PK,PL,PT,PY,RE,RO,RU,RW,SE,SG,SK,TH,TM,TR,TW,UA,US,VN,ZA,ZM
2024-05-13T03,100,5,0,0,0,4,0,0,1,1,0,0,1,4,1,1,0,3,0,0,7,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,10,0,0,0,0,1,0,34,0,0,0
2024-05-13T04,93,2,0,0,0,2,0,0,1,0,0,0,1,4,1,1,0,7,0,0,7,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,10,0,2,0,0,1,0,32,0,0,0
2024-05-13T05,76,0,0,0,0,3,0,0,1,0,0,0,1,4,1,0,0,8,1,0,9,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,2,0,0,8,0,2,0,0,0,0,22,0,0,0
2024-05-13T06,73,0,0,0,0,1,0,0,1,0,2,0,0,3,1,0,0,5,0,0,8,0,0,0,0,0,0,0,1,2,0,0,2,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,1,0,1,0,0,0,0,1,0,0,6,0,3,0,0,0,0,24,1,0,0
2024-05-13T07,90,0,1,0,0,2,0,0,1,0,0,0,0,3,0,0,0,3,1,0,8,0,0,0,0,0,0,0,6,2,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,3,0,0,0,2,1,0,0,6,0,4,0,0,0,0,30,0,0,0
2024-05-13T08,85,0,0,0,0,1,0,0,1,0,0,0,0,5,2,0,0,5,1,0,11,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,1,0,0,0,0,0,2,0,0,1,6,0,4,0,0,2,0,24,0,0,0
2024-05-13T09,90,1,0,0,2,3,0,0,1,0,1,0,1,5,2,0,0,8,1,0,13,0,0,0,0,1,0,0,2,5,0,0,2,0,0,0,0,0,1,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,3,1,0,0,6,0,5,0,0,0,0,15,0,0,0
2024-05-13T10,101,1,0,0,1,2,0,0,1,1,2,0,1,4,1,0,0,5,0,0,12,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,3,0,0,2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,0,0,0,1,0,2,1,0,1,7,0,8,0,0,2,0,17,1,0,0
2024-05-13T11,137,0,1,0,0,2,0,0,1,0,1,0,3,3,1,0,0,8,0,0,15,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,10,0,0,2,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,2,1,0,3,0,1,0,3,3,0,0,7,0,7,0,0,6,0,32,2,2,0
2024-05-13T12,122,1,0,0,0,2,0,0,1,0,2,0,2,4,0,0,0,6,0,0,8,0,0,0,0,1,0,0,3,9,0,0,1,0,0,0,1,0,1,0,0,0,3,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,6,0,0,3,0,5,1,1,0,2,0,0,0,8,0,13,0,1,5,0,25,1,1,0
