bucket,total,--,AE,AR,AT,AU,BA,BD,BE,BG,BR,BT,BY,CA,CH,CL,CM,CN,CO,CY,CZ,DE,DK,DO,DZ,EC,EG,ES,FI,FR,GB,GH,GR,GT,HK,HU,ID,IE,IL,IN,IR,IT,JP,KH,KR,LA,LC,LT,LU,LV,MA,MD,MK,MM,MN,MO,MX,MY,NC,NL,NO,NZ,PA,PE,PH,PK,PL,PS,PT,RO,RU,RW,SE,SG,SK,TG,TH,TN,TR,TW,UA,UG,US,VE,VN,ZA,ZW
2024-06-24T02,79,1,0,1,0,0,0,1,0,0,2,0,0,7,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,2,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,3,0,0,32,0,0,0,0
2024-06-24T03,81,0,0,1,0,1,0,1,0,0,1,0,0,5,0,0,0,12,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,38,0,1,0,0
2024-06-24T04,63,1,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,25,0,0,0,0
2024-06-24T05,69,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,8,0,0,0,3,0,0,0,1,0,0,0,2,4,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,6,0,0,2,0,0,0,0,0,28,0,0,0,0
2024-06-24T06,88,1,0,0,0,2,0,1,0,0,1,0,0,1,1,0,0,10,0,0,0,3,0,0,1,0,0,0,1,1,2,0,0,0,3,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,0,0,5,0,0,3,0,1,3,0,0,36,0,0,0,0
2024-06-24T07,88,1,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,24,0,1,0,4,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,5,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,1,1,0,6,0,0,0,0,2,0,0,0,20,0,0,0,0
2024-06-24T08,96,1,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,2,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,1,3,0,1,5,0,0,5,0,0,0,0,0,38,0,0,0,0
2024-06-24T09,88,3,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,7,0,0,0,11,0,0,0,0,0,1,0,4,4,0,0,0,1,0,0,0,0,1,0,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,2,1,1,8,0,0,4,0,1,1,0,0,23,0,0,0,0
2024-06-24T10,83,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,15,0,0,0,5,0,0,0,0,0,0,0,3,3,0,0,0,2,0,0,0,0,0,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,1,0,1,5,0,0,8,0,2,0,0,0,20,0,1,0,0
2024-06-24T11,117,1,0,0,0,1,0,2,0,1,1,0,0,3,1,0,0,14,0,0,0,9,0,0,0,0,0,3,1,1,4,0,0,0,3,0,0,0,0,1,0,3,5,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,1,0,0,1,0,2,0,1,8,0,0,5,1,1,5,0,0,27,0,0,0,1
2024-06-24T12,119,2,0,0,0,1,0,0,1,0,2,0,0,2,1,0,0,14,0,0,0,8,0,0,0,0,0,2,1,7,7,0,0,0,6,0,0,0,0,1,0,4,5,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,0,0,0,0,0,0,0,0,0,1,0,0,2,5,0,0,11,0,2,2,0,0,19,0,0,0,1
