bucket,total,--,AE,AO,AR,AT,AU,BA,BD,BE,BG,BN,BR,BY,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KH,KR,KZ,LK,LT,LU,LV,MD,MK,MM,MN,MO,MU,MX,MY,NG,NL,NO,NZ,PE,PH,PL,PR,PT,PY,QA,RO,RS,RU,RW,SE,SG,SI,SK,TH,TN,TR,TW,UA,UG,US,VN,ZA
2024-08-26T01,91,0,0,0,0,0,0,0,0,0,1,0,2,1,7,0,2,0,6,0,1,0,4,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,2,0,3,1,0,11,0,0,0,0,0,0,0,0,34,0,0
2024-08-26T02,94,0,0,0,0,0,4,0,0,0,3,0,0,0,4,0,2,1,6,0,0,0,5,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,9,0,0,0,0,0,0,0,0,45,2,0
2024-08-26T03,96,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,1,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,1,0,0,4,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,3,0,0,6,0,0,0,0,0,0,0,0,48,0,0
2024-08-26T04,102,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,21,0,0,0,7,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,1,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,1,1,8,0,0,0,0,0,0,0,0,39,1,0
2024-08-26T05,84,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,17,0,0,0,6,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,33,0,0
2024-08-26T06,99,1,0,0,0,1,1,0,1,0,2,0,0,0,1,0,0,0,19,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,2,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,8,1,0,0,0,0,1,0,0,35,1,0
2024-08-26T07,114,1,0,0,0,0,3,0,1,0,3,0,0,0,5,0,0,0,19,0,0,0,6,0,0,0,0,0,0,0,0,0,1,10,1,0,0,1,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,1,2,0,0,0,0,1,0,1,0,0,6,0,1,1,0,0,1,0,0,37,1,0
2024-08-26T08,113,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,20,0,0,0,11,0,0,0,0,0,0,1,0,0,4,7,0,1,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,14,0,0,1,0,0,0,0,0,37,0,0
2024-08-26T09,99,1,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,15,0,0,0,10,0,0,0,0,0,0,2,0,0,2,10,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,8,0,0,2,0,0,1,0,0,33,0,0
2024-08-26T10,111,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,15,0,0,0,11,0,0,0,0,0,0,3,0,0,4,19,0,0,0,0,0,0,0,1,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,7,0,0,0,0,0,0,0,0,32,0,0
