bucket,total,--,AE,AR,AT,AU,AZ,BA,BD,BE,BG,BJ,BR,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DO,EG,ES,ET,FR,GB,GR,HK,HU,ID,IE,IL,IN,IR,IT,JP,KG,KH,KR,KZ,LA,LK,LT,LV,MA,ME,MK,MM,MN,MO,MX,MY,NL,NO,NZ,PE,PH,PK,PL,PT,RO,RU,RW,SA,SE,SG,SK,SY,TH,TR,TW,UA,US,UZ,VN,ZA,ZW
2024-07-15T12,76,0,0,0,0,1,0,1,1,0,0,0,1,2,0,0,0,3,0,0,8,0,0,1,0,0,3,9,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,1,0,0,0,6,0,0,2,1,1,0,20,0,0,1,0
2024-07-15T13,100,2,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,3,0,0,9,0,0,0,0,0,5,11,0,2,0,0,0,0,1,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,0,1,0,1,0,1,1,1,2,1,0,1,6,0,0,11,0,0,0,21,0,0,0,0
2024-07-15T14,117,2,0,0,1,0,0,0,2,0,0,0,0,2,1,0,0,7,0,0,10,0,0,0,2,0,5,9,0,4,0,0,0,0,1,0,6,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,1,0,0,2,0,0,1,1,1,0,1,5,0,0,9,3,4,0,27,0,0,0,0
2024-07-15T15,138,1,1,0,0,0,0,0,1,0,2,0,1,2,0,0,0,11,0,0,14,0,0,0,2,0,14,10,0,5,0,0,4,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,0,0,0,0,1,1,0,1,1,0,0,1,5,0,0,14,3,2,0,28,0,0,0,0
2024-07-15T16,152,0,0,0,0,0,0,0,1,0,0,0,3,4,1,0,0,13,0,0,23,0,0,0,1,0,17,9,0,4,0,0,0,0,1,0,11,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,2,0,9,0,1,0,0,0,0,0,0,1,0,0,0,6,0,0,12,1,0,0,27,0,0,0,0
2024-07-15T17,160,1,0,0,0,1,0,0,1,3,0,0,0,9,0,0,0,14,0,0,24,3,0,0,0,0,12,8,0,3,0,0,0,0,1,0,14,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,8,0,0,0,0,0,0,6,2,2,1,0,0,8,1,0,6,1,0,1,25,0,0,0,0
2024-07-15T18,179,1,0,9,0,0,0,0,1,2,2,0,2,6,1,0,0,15,0,0,36,0,0,0,0,0,9,12,0,3,1,0,0,0,1,1,8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,15,0,0,0,0,0,1,2,3,2,1,0,0,7,0,0,7,2,0,0,26,0,0,0,0
2024-07-15T19,149,1,0,6,0,0,0,0,1,2,1,0,2,5,0,0,0,13,0,0,25,0,0,0,3,0,11,9,0,1,1,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,11,0,1,0,0,0,2,1,1,1,0,0,1,5,0,0,5,1,0,0,21,0,1,1,0
2024-07-15T20,151,1,0,2,0,0,0,1,1,0,0,0,0,3,2,0,0,18,0,0,16,0,0,0,1,0,5,15,0,2,0,0,0,0,0,0,22,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,14,0,0,0,0,0,0,0,2,3,0,0,1,5,0,0,2,1,1,0,27,0,0,0,0
2024-07-15T21,114,0,0,4,0,1,0,0,1,0,0,0,0,4,2,0,0,20,0,0,7,0,0,0,1,0,2,7,0,2,0,0,1,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,4,0,1,0,0,0,0,1,1,1,0,0,0,6,0,0,3,1,0,1,25,0,0,0,0
2024-07-15T22,123,4,0,5,0,0,0,0,2,0,0,0,0,11,0,0,0,16,1,0,7,0,0,0,0,0,2,6,0,0,0,0,0,0,2,0,7,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,2,2,0,0,1,0,1,1,0,1,0,0,1,8,0,0,4,1,0,0,32,0,0,0,0
2024-07-15T23,108,5,0,2,0,1,0,0,1,0,1,0,0,8,0,1,0,13,1,0,11,0,0,0,2,0,2,3,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,6,0,0,3,0,0,0,37,0,0,0,0
2024-07-16T00,113,3,0,1,0,0,0,0,1,0,2,0,1,5,0,0,0,14,0,0,7,0,0,0,1,0,2,4,0,0,0,1,0,0,4,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,2,0,0,1,9,0,0,0,0,0,1,43,0,1,0,0
2024-07-16T01,80,1,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,15,0,0,8,0,0,0,2,0,1,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,32,0,0,1,0
2024-07-16T02,81,2,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,11,0,0,6,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,3,1,1,0,0,0,1,0,0,2,0,0,1,6,0,0,2,1,0,0,29,0,0,0,0
2024-07-16T03,80,0,0,1,0,1,0,0,1,0,1,0,0,2,0,0,0,14,0,0,5,0,0,0,0,1,2,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,2,0,0,0,5,0,0,2,1,0,0,29,0,1,0,0
2024-07-16T04,72,1,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,1,0,0,4,0,0,0,1,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,2,1,0,0,6,0,0,1,0,1,0,37,0,0,0,0
2024-07-16T05,64,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,3,0,0,4,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,6,0,0,1,0,0,0,32,0,0,1,0
2024-07-16T06,38,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,4,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,15,0,0,0,0
