bucket,total,--,AE,AF,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BO,BR,BW,BY,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KH,KR,KW,KZ,LA,LT,LU,LV,MA,MC,MD,MK,ML,MM,MN,MO,MT,MU,MX,MY,MZ,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,RO,RS,RU,RW,SA,SE,SG,SI,SO,SY,TH,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA
2024-02-04T16,228,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,2,0,0,0,4,0,0,0,0,30,0,0,0,0,0,0,6,0,1,13,9,0,0,1,0,2,0,0,0,1,0,0,0,14,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,2,0,3,0,3,0,0,4,10,0,0,0,13,0,2,0,0,79,0,0,0,0,0
2024-02-04T17,167,1,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0,2,1,2,0,0,0,5,0,0,0,0,43,0,0,0,0,0,0,5,0,1,10,7,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,3,2,2,0,4,0,0,3,12,0,0,0,7,0,0,0,0,23,0,0,0,0,0
2024-02-04T18,170,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,1,0,1,3,1,0,0,0,4,0,0,0,0,37,0,0,0,0,1,0,6,0,0,12,12,0,0,2,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,1,2,0,4,0,0,10,7,0,0,0,4,0,2,0,0,25,0,0,0,0,0
2024-02-04T19,209,1,0,0,0,2,0,0,0,0,0,0,4,2,0,0,1,0,0,5,1,0,0,0,5,0,0,0,0,45,0,0,0,0,0,0,5,0,1,9,21,0,0,2,0,0,0,3,0,0,0,0,0,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,4,0,2,0,0,0,0,6,7,0,0,0,5,0,1,0,0,52,0,0,0,0,0
2024-02-04T20,182,2,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2,0,0,9,3,0,0,0,8,0,0,0,0,29,0,0,0,0,0,0,5,0,0,8,17,0,0,0,0,0,0,8,0,1,0,1,0,10,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,1,0,0,0,0,0,0,2,0,2,0,1,0,0,4,5,0,0,0,2,1,1,0,0,34,1,0,0,0,0
2024-02-04T21,139,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,15,0,0,0,0,0,0,4,0,0,5,11,0,0,1,0,0,0,0,0,1,0,1,0,20,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,1,0,0,0,0,0,0,0,2,2,0,0,0,0,3,14,0,0,0,3,1,2,0,0,23,0,0,0,0,0
2024-02-04T22,144,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,10,0,0,0,0,13,0,0,0,0,14,1,0,0,0,0,0,2,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,18,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,13,0,0,0,0,1,1,0,0,36,0,0,0,0,0
2024-02-04T23,141,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7,2,0,0,0,16,0,0,0,0,10,0,0,0,0,0,0,1,0,0,1,9,0,0,0,0,0,0,8,0,0,0,0,0,12,5,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,1,1,0,0,3,0,0,1,6,0,0,0,0,1,1,0,0,45,0,0,0,0,0
2024-02-05T00,117,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,2,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0,0,1,0,1,0,0,44,0,0,0,0,0
2024-02-05T01,98,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,6,0,0,0,0,18,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,1,0,2,1,0,38,0,0,0,0,0
2024-02-05T02,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,0,0,0,18,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,4,0,0,2,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,0,0,37,0,0,0,0,0
2024-02-05T03,94,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,10,0,0,0,0,15,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,6,0,0,0,0,0,0,1,0,38,0,0,0,0,0
2024-02-05T04,77,1,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,8,0,0,0,0,10,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,7,0,0,0,1,0,0,0,0,27,0,0,0,0,0
2024-02-05T05,58,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,5,0,0,0,0,0,0,0,0,21,0,0,0,0,0
2024-02-05T06,78,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,6,0,0,0,1,0,1,1,0,26,0,0,0,2,0
2024-02-05T07,78,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,7,1,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,1,7,0,0,0,2,0,0,1,0,24,0,0,0,2,0
2024-02-05T08,79,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,6,0,0,0,0,10,2,0,0,0,0,0,0,0,0,3,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,6,0,0,0,2,0,0,0,0,25,0,0,0,0,0
2024-02-05T09,102,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,8,0,0,0,0,11,2,0,0,0,0,0,1,0,0,2,10,0,0,2,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,2,0,2,0,2,0,0,1,7,0,0,0,3,1,0,0,0,25,0,0,0,0,0
2024-02-05T10,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,14,1,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,2,0,0,2,5,0,0,0,4,0,0,0,0,19,0,0,1,1,0
2024-02-05T11,114,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,10,0,0,2,0,0,0,0,0,0,0,0,0,5,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0,0,0,1,0,2,0,3,0,2,0,0,1,7,0,0,0,5,0,1,0,0,24,0,1,1,0,0
2024-02-05T12,102,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,2,0,0,0,8,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,8,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,3,0,1,0,0,1,7,0,0,0,8,0,4,0,0,20,0,1,0,0,2
2024-02-05T13,91,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,10,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,9,0,0,2,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,1,0,1,5,0,0,0,6,0,5,0,0,17,0,0,0,0,0
2024-02-05T14,119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,6,12,0,0,3,0,0,1,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,1,0,1,0,1,0,5,0,0,2,5,0,0,0,10,1,6,0,0,20,0,0,0,0,0
2024-02-05T15,140,1,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,7,0,0,0,0,17,0,0,0,0,0,0,1,0,3,9,7,0,0,2,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,1,0,0,0,3,0,5,0,0,4,5,0,0,0,14,1,2,0,0,25,0,0,0,0,0
2024-02-05T16,157,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,5,2,0,1,0,15,0,0,0,1,16,1,0,0,0,0,0,1,0,0,18,8,0,0,1,0,1,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,5,1,2,0,0,0,1,0,1,0,3,0,5,0,0,1,5,0,0,0,12,2,4,0,0,23,0,0,0,0,0
2024-02-05T17,173,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,13,0,0,0,0,27,0,0,0,0,0,0,2,0,2,18,9,0,0,1,0,1,0,0,0,0,0,0,0,20,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,0,0,0,1,0,1,1,2,0,5,0,0,4,6,0,0,0,7,3,1,0,0,21,0,0,0,0,0
2024-02-05T18,199,5,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,13,2,0,0,0,24,0,0,0,0,38,0,0,0,0,0,0,8,0,0,7,11,0,0,1,0,1,0,0,0,0,0,0,0,17,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,1,0,0,0,0,1,0,1,1,2,0,3,0,0,3,9,0,0,0,8,1,0,0,0,25,0,0,0,0,0
2024-02-05T19,193,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,7,1,0,0,0,26,0,0,0,0,34,0,0,0,0,0,0,5,0,0,6,20,0,0,2,0,2,0,0,0,1,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,22,1,0,0,0,0,0,0,2,0,3,0,1,0,0,4,6,0,0,0,2,2,5,0,0,26,0,0,0,0,0
2024-02-05T20,189,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,7,1,0,0,0,23,0,0,0,0,34,0,0,0,0,1,0,1,0,1,12,16,1,0,1,0,0,0,0,0,0,0,2,0,11,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,12,1,0,1,0,0,0,0,4,0,3,0,3,0,0,3,8,0,0,0,2,1,1,0,0,27,0,0,0,0,0
2024-02-05T21,184,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,26,0,0,0,0,33,0,0,0,0,0,0,1,0,1,5,15,1,1,0,0,0,0,0,0,0,0,2,0,21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,1,0,0,0,0,0,0,1,0,3,0,3,0,0,5,7,0,0,0,2,2,0,0,0,25,0,0,0,0,0
2024-02-05T22,140,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7,1,0,1,0,10,0,0,0,0,16,0,0,1,0,0,0,0,0,0,6,16,0,0,1,0,0,0,0,0,0,0,0,0,14,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,1,0,0,0,0,0,0,1,0,1,0,2,0,0,2,8,0,0,0,2,0,1,0,0,32,0,0,0,1,0
2024-02-05T23,107,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,6,2,0,1,0,11,0,0,0,0,10,0,0,0,0,0,0,1,0,0,6,8,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,6,0,0,0,0,0,1,0,0,31,0,0,0,0,0
2024-02-06T00,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,1,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,7,0,0,0,0,0,0,0,0,36,0,0,0,0,0
2024-02-06T01,87,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,7,0,0,0,0,0,0,0,0,35,0,0,0,0,0
2024-02-06T02,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,12,0,0,0,0,6,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,6,0,0,0,1,0,0,1,0,42,0,0,0,0,0
2024-02-06T03,134,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,2,0,0,0,13,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8,0,0,0,1,0,0,1,0,74,0,0,0,0,0
2024-02-06T04,86,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,11,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,7,0,0,0,2,0,1,0,0,34,0,0,0,0,0
2024-02-06T05,84,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,1,0,1,6,0,0,0,3,0,3,0,0,28,0,0,0,0,0
2024-02-06T06,81,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1,0,0,0,10,0,0,0,0,6,0,0,0,0,1,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,5,0,0,0,1,0,1,0,0,27,0,0,0,0,0
2024-02-06T07,75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,12,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,2,5,0,0,0,0,0,0,0,0,25,0,0,0,1,0
2024-02-06T08,76,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,5,0,0,2,1,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,1,3,1,0,0,0,21,0,0,0,0,0
2024-02-06T09,88,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0,11,0,0,0,0,9,0,0,0,0,0,0,1,0,0,2,9,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,1,0,2,0,1,0,0,1,6,0,0,1,5,0,2,0,0,16,0,0,0,0,0
