bucket,total,--,AE,AL,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CL,CN,CO,CR,CZ,DE,DK,DO,EE,EG,ES,FI,FR,GB,GE,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KE,KG,KH,KR,KZ,LA,LK,LT,LV,MD,ME,MK,MN,MO,MT,MU,MX,MY,NC,NG,NL,NO,NZ,PE,PH,PK,PL,PR,PS,PT,PY,RO,RS,RU,RW,SA,SE,SG,SI,SY,TH,TN,TR,TW,UA,US,UY,VE,VN,ZA
2024-07-29T03,62,2,0,0,0,0,0,0,0,2,0,1,0,1,0,7,0,0,4,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,24,0,0,0,0
2024-07-29T04,63,2,0,0,1,0,0,0,0,1,0,1,0,0,0,6,0,0,3,0,0,0,7,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,4,0,0,0,0,22,0,0,0,0
2024-07-29T05,68,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,3,0,0,0,6,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,3,0,0,0,0,33,0,0,0,1
2024-07-29T06,61,2,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,8,0,0,0,4,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,24,0,0,0,0
2024-07-29T07,76,2,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,5,0,0,0,9,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,5,0,0,4,0,0,0,0,26,0,0,0,1
2024-07-29T08,83,3,0,0,0,0,3,0,0,0,1,0,0,0,0,3,0,0,7,0,0,0,8,0,0,0,0,1,0,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,6,0,0,3,0,0,0,0,29,0,0,0,1
2024-07-29T09,77,2,0,0,0,1,0,0,0,1,1,2,0,0,0,2,0,0,3,0,0,0,10,0,0,0,0,1,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,7,0,0,4,0,0,1,0,20,0,0,0,1
2024-07-29T10,65,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,4,0,0,0,9,0,0,0,0,1,0,3,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,5,0,0,0,0,16,0,0,0,1
2024-07-29T11,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,11,0,0,0,5,0,0,0,0,4,0,3,3,0,0,2,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,5,0,0,6,0,1,5,0,21,0,0,0,0
2024-07-29T12,99,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,8,1,0,0,0,1,0,3,5,0,0,8,0,0,1,1,0,0,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,2,0,0,0,0,0,0,0,0,2,1,0,1,7,0,0,7,0,0,1,0,27,0,0,0,1
2024-07-29T13,105,2,0,0,1,0,0,0,0,0,2,0,0,0,0,4,0,0,4,0,0,0,12,0,0,0,0,1,0,6,3,0,0,9,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,6,0,0,15,1,0,0,0,28,0,0,0,0
2024-07-29T14,128,2,0,0,0,0,1,0,0,0,1,0,0,2,0,3,1,0,8,0,0,0,9,0,0,0,0,2,0,9,11,0,0,5,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,2,0,0,0,0,0,0,2,0,3,0,0,0,7,0,0,12,1,0,1,1,29,0,0,0,0
2024-07-29T15,117,2,0,0,1,1,1,0,0,0,1,0,0,0,0,7,1,0,6,0,0,0,11,0,0,0,0,2,0,6,6,0,0,2,0,0,0,0,0,0,0,0,1,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,4,0,0,0,0,1,0,3,0,0,0,5,0,0,14,0,1,1,0,28,0,0,0,0
