bucket,total,--,AE,AM,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,BZ,CA,CH,CL,CM,CN,CO,CU,CW,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GA,GB,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KG,KH,KN,KR,KZ,LA,LT,LU,LV,MA,MD,MK,MM,MN,MO,MW,MX,MY,NC,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PT,PY,QA,RO,RU,RW,SA,SE,SG,SK,SZ,TH,TN,TR,TW,UA,US,UY,UZ,VE,VN,ZA,ZW
2024-03-25T11,145,4,0,0,0,0,1,2,0,0,3,0,4,0,1,0,0,3,1,0,0,15,2,0,0,0,10,0,1,0,1,0,0,1,0,0,5,0,7,0,0,3,0,0,0,0,0,0,0,0,0,8,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,2,0,0,0,3,4,0,0,2,10,0,0,6,0,0,7,0,27,0,0,0,1,0,0
2024-03-25T12,102,1,0,0,0,0,0,2,0,0,2,0,1,0,1,0,0,1,0,0,0,5,4,0,0,0,12,0,1,0,0,0,0,1,0,0,3,0,5,0,0,1,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,2,1,0,0,2,1,0,0,1,5,0,0,6,0,0,5,0,27,0,0,0,0,0,0
2024-03-25T13,137,1,0,0,0,0,0,16,0,0,0,1,1,0,1,0,0,4,0,0,0,9,1,0,0,0,19,0,0,0,0,0,0,1,0,0,2,0,2,0,0,1,0,0,0,0,0,3,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,2,0,0,0,1,5,0,0,9,0,0,6,0,41,0,0,0,0,0,0
2024-03-25T14,126,2,0,0,0,0,0,14,0,0,0,2,1,0,2,0,0,10,1,0,0,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,3,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,2,0,1,0,0,0,2,2,0,0,2,6,0,0,10,0,1,4,0,24,0,0,0,0,0,0
2024-03-25T15,167,1,0,0,1,1,0,1,0,0,0,2,5,0,0,0,0,4,2,0,0,6,0,0,0,0,13,0,0,0,0,0,0,0,0,0,8,0,6,0,0,4,0,0,0,0,0,0,0,0,0,9,4,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,3,1,0,0,0,2,0,0,2,14,0,0,17,0,0,5,0,49,0,0,0,0,0,0
2024-03-25T16,214,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,4,0,0,0,24,0,0,0,0,18,0,0,0,0,0,0,2,0,0,8,0,13,0,0,2,0,0,0,0,0,5,0,0,0,11,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,1,0,4,1,0,0,0,3,0,0,1,11,0,0,11,0,0,7,0,73,0,0,0,0,0,0
2024-03-25T17,186,1,0,0,0,1,2,1,0,0,0,1,1,0,0,0,0,6,0,0,0,19,0,0,0,0,26,1,0,0,0,0,0,2,0,0,10,0,9,0,0,0,0,1,1,0,0,7,0,1,0,21,4,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,9,1,0,0,0,0,1,2,0,0,0,2,4,0,0,3,6,0,0,10,0,1,4,0,22,0,0,0,1,0,0
2024-03-25T18,260,5,0,0,0,1,0,2,0,0,0,2,2,0,1,0,0,5,0,0,0,20,0,0,0,0,52,4,0,0,0,0,0,1,0,0,14,0,9,0,0,3,0,3,0,0,0,2,0,1,0,20,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9,0,0,1,0,0,1,4,1,0,0,0,4,0,1,7,6,0,0,7,0,1,0,2,60,0,0,0,1,0,0
2024-03-25T19,282,3,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,6,3,0,0,17,0,0,0,0,56,0,0,0,0,0,0,2,0,0,14,0,21,0,0,1,0,1,0,1,0,2,0,0,0,11,9,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,20,1,0,0,0,0,0,4,4,0,0,1,3,0,0,7,7,0,0,7,0,2,2,1,68,0,0,0,0,0,0
2024-03-25T20,207,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,5,1,0,0,19,0,0,0,0,29,2,0,0,0,0,0,1,0,0,9,0,13,0,0,1,0,1,0,1,0,0,0,0,0,19,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,3,0,0,0,0,2,0,0,4,11,0,0,7,0,1,0,0,43,0,0,0,0,0,0
2024-03-25T21,167,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,7,2,0,0,19,0,0,0,0,20,0,0,0,0,0,0,1,0,0,3,0,14,1,0,0,0,0,0,0,0,0,0,0,0,21,6,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,6,0,0,3,0,1,0,0,35,0,0,0,0,1,0
2024-03-25T22,193,1,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,11,3,0,0,7,0,0,0,0,29,0,0,0,0,0,0,2,0,0,3,0,14,0,0,1,0,0,0,0,0,0,0,0,0,22,5,0,0,0,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,2,0,2,0,0,1,0,0,0,1,1,0,2,5,0,0,1,0,0,0,0,58,0,0,0,0,0,0
2024-03-25T23,180,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,15,2,0,0,9,0,0,0,0,19,0,0,0,0,0,0,2,0,0,3,0,8,0,0,0,0,0,0,0,0,2,0,1,0,11,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,5,0,0,3,0,0,1,0,87,0,0,0,0,0,0
2024-03-26T00,107,2,1,0,0,0,0,1,0,0,0,0,1,0,3,0,0,16,1,0,0,4,0,0,0,0,15,0,0,0,0,0,0,2,0,0,4,0,5,0,0,2,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,34,0,0,0,0,0,0
2024-03-26T01,137,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,9,0,2,0,3,0,0,0,0,16,0,0,0,0,0,0,1,0,0,1,0,4,0,0,1,0,0,0,9,0,0,0,0,0,6,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,1,0,60,0,0,0,0,0,0
2024-03-26T02,100,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,8,0,0,0,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,8,0,0,0,0,0,0,0,45,0,0,0,0,0,0
2024-03-26T03,110,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,3,0,0,2,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,63,0,0,0,1,1,0
2024-03-26T04,146,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,7,1,0,0,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,7,0,3,0,0,0,0,7,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,68,0,0,0,0,0,0
2024-03-26T05,137,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,1,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,1,0,0,1,0,79,0,0,0,0,0,0
2024-03-26T06,123,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,7,0,0,0,10,0,0,0,0,5,0,0,0,0,0,0,1,0,0,2,0,7,0,0,0,0,1,1,6,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,1,0,1,5,0,0,2,0,1,1,1,47,0,0,0,0,0,0
2024-03-26T07,135,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,2,0,0,9,0,0,0,0,22,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,3,2,0,0,1,5,0,0,1,0,0,0,0,62,0,0,0,0,0,0
2024-03-26T08,132,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,1,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,1,0,3,0,0,0,1,2,0,0,1,8,0,0,4,0,0,1,0,65,0,0,0,0,1,0
2024-03-26T09,136,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,12,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,7,0,1,0,0,0,3,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,5,0,0,7,0,0,3,0,54,0,0,0,2,0,0
2024-03-26T10,98,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,6,1,0,0,6,0,0,0,0,11,0,0,0,1,0,0,0,0,0,3,0,3,0,0,1,0,0,2,0,0,1,0,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,3,2,0,0,1,5,0,0,5,0,0,2,1,30,0,0,0,0,0,0
2024-03-26T11,142,2,0,0,0,0,0,2,0,1,0,0,1,0,2,0,0,3,2,0,0,10,0,0,0,0,11,0,0,0,1,0,0,0,0,0,2,0,5,0,0,0,0,0,1,0,0,5,0,0,0,7,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,1,0,1,0,1,0,3,2,0,0,0,12,0,0,3,0,0,5,1,44,0,0,0,0,1,0
2024-03-26T12,100,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,2,0,0,9,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,2,1,0,0,1,13,0,0,2,0,0,4,0,31,0,0,0,1,0,0
