bucket,total,--,AE,AR,AT,AU,BA,BB,BD,BE,BG,BI,BO,BR,BY,BZ,CA,CH,CL,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,ES,ET,FI,FR,GA,GB,GE,GP,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JP,KH,KR,KY,KZ,LA,LT,LU,LV,MA,MD,ME,MM,MO,MT,MW,MX,MY,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,RO,RS,RU,RW,SC,SE,SG,SI,SK,TH,TN,TR,TW,TZ,UA,US,UY,VE,VI,VN,ZA
2024-02-19T07,78,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,10,0,0,0,5,0,0,1,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,2,0,2,0,0,0,5,0,0,0,0,1,2,0,0,22,0,0,0,0,0
2024-02-19T08,95,2,0,1,0,2,0,0,0,0,0,0,0,1,0,0,3,0,0,7,0,0,0,9,0,0,0,0,0,0,0,0,3,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,3,0,1,0,0,2,5,0,0,3,0,0,2,0,0,29,0,0,0,1,0
2024-02-19T09,122,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,31,0,0,0,8,0,0,0,0,0,0,0,0,3,0,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,0,11,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3,0,2,0,0,2,7,1,0,5,0,0,1,0,0,20,0,0,0,0,0
2024-02-19T10,88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,13,0,0,0,0,0,1,0,0,1,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,6,1,0,5,0,0,1,0,0,22,0,0,0,0,0
2024-02-19T11,90,2,0,0,1,2,0,0,0,2,1,0,0,1,0,0,0,0,0,8,0,0,0,11,0,0,0,0,0,2,0,0,3,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,6,0,0,9,0,0,6,0,0,17,0,0,0,1,0
2024-02-19T12,139,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,31,0,0,0,13,0,0,1,0,1,1,0,0,6,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,2,0,2,0,2,1,0,0,5,0,0,14,0,0,6,0,0,22,0,0,0,0,1
2024-02-19T13,114,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,15,0,0,0,11,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,4,0,1,0,2,1,0,0,5,0,1,14,0,0,6,0,1,22,0,0,0,1,1
2024-02-19T14,138,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,2,0,26,0,0,0,17,0,0,0,0,0,0,0,0,6,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0,1,0,1,0,2,0,4,0,0,1,6,0,0,15,0,0,3,0,1,25,0,0,0,0,0
2024-02-19T15,150,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,1,0,11,0,0,0,21,0,0,0,0,0,0,0,3,7,0,4,0,0,0,1,0,0,1,0,0,0,2,0,0,0,10,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,2,0,4,0,4,0,0,3,5,0,0,18,0,0,5,0,1,21,0,1,0,0,0
2024-02-19T16,167,2,0,0,2,1,0,0,0,1,1,0,0,1,0,0,7,2,0,9,0,0,1,28,0,0,0,0,0,3,0,0,15,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,2,0,4,0,3,0,0,3,5,0,0,13,0,0,1,0,1,30,0,0,0,0,0
