bucket,total,--,AE,AL,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BN,BO,BR,BT,CA,CH,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KE,KH,KR,KZ,LA,LT,LU,LV,MA,MD,MG,MK,MM,MN,MO,MT,MX,MY,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PT,PY,RE,RO,RU,RW,SE,SG,SI,SK,SV,TG,TH,TN,TR,TW,UA,US,VE,VN,ZA,ZW
2024-06-02T23,127,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,12,1,1,0,27,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,7,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,2,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,1,7,0,0,0,0,5,0,0,0,0,25,0,1,0,0
2024-06-03T00,66,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,8,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,23,0,0,0,0
2024-06-03T01,82,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,6,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,0,0,0,0,1,0,0,0,0,33,0,1,0,0
2024-06-03T02,116,0,0,0,0,1,0,1,0,0,2,1,1,0,0,2,0,8,1,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,4,5,0,0,0,0,5,0,0,1,0,0,2,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,2,0,2,7,0,0,0,0,3,0,0,0,0,47,0,0,0,0
2024-06-03T03,75,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,1,0,0,0,0,38,0,0,0,0
2024-06-03T04,79,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,8,0,0,0,4,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,5,0,0,0,0,0,0,0,0,0,41,0,1,0,0
2024-06-03T05,63,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,4,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,25,0,1,0,0
2024-06-03T06,74,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,2,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,4,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,1,0,0,0,0,30,0,0,0,0
2024-06-03T07,112,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,1,1,0,0,6,0,0,0,0,1,0,0,0,0,61,0,0,0,0
2024-06-03T08,69,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,2,0,0,0,1,1,0,0,6,0,0,0,0,1,0,0,0,0,22,0,0,0,0
