bucket,total,--,AE,AF,AL,AM,AR,AT,AU,BA,BB,BD,BE,BG,BH,BO,BR,BY,CA,CH,CL,CM,CN,CO,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GH,GM,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LT,LU,LV,MC,MD,ML,MM,MO,MT,MU,MX,MY,NC,NG,NL,NO,NP,NZ,PH,PK,PL,PR,PT,PY,QA,RO,RS,RU,RW,SC,SE,SG,SK,SN,SY,TH,TN,TR,TW,TZ,UA,UG,US,UY,VE,VN,ZA,ZW
2024-02-12T04,113,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,11,0,0,0,8,0,0,0,6,1,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,1,0,0,4,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,1,1,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,0,0,0,0,0,40,0,0,0,0,0
2024-02-12T05,99,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,2,0,9,2,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,1,3,0,0,0,3,0,0,0,0,0,1,0,0,0,1,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,4,0,0,1,5,0,0,0,4,0,0,0,0,0,0,31,0,0,0,1,0
2024-02-12T06,75,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,5,0,0,0,2,0,0,1,0,0,0,25,0,0,0,0,0
2024-02-12T07,72,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,5,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,3,0,0,0,5,0,0,0,3,0,0,0,0,0,0,31,0,0,0,0,0
2024-02-12T08,92,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,3,1,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,2,6,0,0,1,3,0,0,0,0,0,2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,0,3,0,0,0,7,0,0,0,5,0,0,2,0,0,0,26,0,0,0,1,0
2024-02-12T09,85,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,4,0,0,0,10,0,0,0,8,0,0,0,0,0,0,2,0,0,1,4,0,0,1,3,0,0,0,0,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3,0,2,0,0,0,7,0,0,0,3,0,0,1,0,0,0,21,0,0,0,0,0
2024-02-12T10,101,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,4,0,0,0,11,0,0,0,17,0,0,0,0,0,0,0,0,1,6,4,0,0,0,2,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,6,0,0,0,5,0,0,2,0,0,0,20,0,0,0,0,0
2024-02-12T11,113,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,3,0,0,0,27,0,0,0,14,0,0,0,0,0,0,0,1,0,5,5,0,0,0,0,0,0,1,0,0,1,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,2,0,0,1,0,0,0,25,0,0,0,0,0
2024-02-12T12,78,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,5,0,0,0,11,0,0,0,0,0,0,0,1,0,4,6,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,1,5,0,0,0,6,0,0,1,0,0,0,20,0,0,1,0,0
2024-02-12T13,110,2,1,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,4,0,0,0,6,0,0,0,15,0,0,0,0,0,0,0,1,0,5,12,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,15,0,0,3,0,0,0,27,0,0,0,0,0
