bucket,total,--,AE,AM,AR,AT,AU,BA,BD,BE,BG,BH,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,GT,HK,HR,ID,IE,IL,IN,IQ,IR,IT,JO,JP,KE,KH,KR,KW,KZ,LA,LB,LT,LU,LV,MA,MD,MK,MM,MN,MO,MU,MX,MY,NC,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SC,SE,SG,SI,SK,TH,TN,TR,TW,UA,US,UY,UZ,VE,VI,VN,ZA
2024-01-14T10,132,1,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,0,0,0,15,1,0,0,20,0,0,0,0,0,1,1,0,1,7,4,0,0,0,0,2,0,2,0,0,1,0,1,6,0,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,5,0,0,5,0,0,5,0,21,0,1,0,0,0,0
2024-01-14T11,121,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,13,0,0,2,16,0,0,0,0,0,0,3,0,1,7,7,0,0,0,0,1,0,1,0,0,1,0,1,6,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,1,0,1,0,0,0,5,0,3,1,1,0,5,0,0,4,0,0,9,0,15,0,1,0,0,0,0
2024-01-14T12,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,15,0,0,0,21,0,0,0,0,0,0,1,0,0,9,8,0,0,0,0,4,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,1,0,1,0,4,0,0,0,0,1,6,0,0,6,0,1,2,0,21,0,0,0,0,0,0
2024-01-14T13,134,3,0,0,0,1,0,0,0,0,0,0,0,1,0,7,2,0,0,0,10,0,0,0,20,0,0,0,0,0,0,2,0,1,8,10,0,0,0,1,4,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,1,0,0,1,0,1,0,1,0,3,0,0,0,0,1,5,0,0,8,0,0,3,0,22,0,0,0,0,0,1
2024-01-14T14,155,1,0,0,0,0,1,0,0,0,1,0,0,3,0,9,1,0,0,0,14,0,0,0,18,0,0,0,0,3,0,1,0,1,8,7,0,0,0,0,4,1,0,0,0,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,1,0,1,0,0,0,1,0,3,0,0,0,6,0,0,16,0,2,4,0,31,0,0,0,0,1,0
2024-01-14T15,163,0,0,0,0,0,1,0,0,0,0,0,0,2,0,9,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,1,0,0,9,7,0,0,0,0,2,0,0,0,1,2,0,1,10,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,1,0,2,0,0,0,4,0,4,0,0,1,6,0,0,17,0,0,3,1,24,0,0,0,0,0,0
2024-01-14T16,190,0,0,0,0,1,0,0,0,3,0,0,0,2,0,5,1,0,0,0,12,0,0,0,29,0,0,0,0,0,0,4,0,0,19,8,0,0,0,0,1,0,0,0,0,2,0,0,29,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,1,0,3,0,1,0,5,0,0,0,0,2,5,0,0,19,0,0,1,0,23,0,0,0,0,0,0
2024-01-14T17,215,0,1,0,0,0,0,1,0,3,0,0,0,3,0,7,1,0,0,0,15,0,0,0,38,0,0,0,0,0,0,5,0,0,21,16,0,0,0,0,0,0,0,0,1,0,0,1,21,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,5,0,2,0,2,0,0,0,0,9,6,0,0,13,0,2,2,0,26,0,0,0,0,1,0
2024-01-14T18,193,1,0,0,0,0,0,1,0,3,1,0,0,1,0,5,1,0,0,0,13,0,0,0,33,0,0,0,0,0,0,7,0,2,15,10,0,0,0,0,0,0,0,0,1,0,0,0,20,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,2,0,1,0,7,0,1,1,0,6,6,0,0,12,0,1,0,0,25,0,0,0,0,1,0
2024-01-14T19,186,0,0,0,0,2,2,0,0,3,0,0,0,0,0,9,2,0,0,0,15,0,0,0,32,0,0,0,0,0,0,9,0,0,9,13,0,0,0,0,2,0,1,0,1,0,0,0,15,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,4,6,0,0,13,0,1,0,0,20,0,0,0,0,0,0
2024-01-14T20,199,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,16,1,0,0,28,0,0,0,0,0,0,9,0,0,11,14,0,0,0,0,2,0,1,0,1,0,0,0,11,0,6,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,1,3,0,0,0,2,0,2,0,0,4,9,0,0,6,0,0,0,0,37,0,0,0,0,4,0
2024-01-14T21,206,1,0,0,0,0,0,0,0,1,0,0,0,3,0,9,3,0,0,0,24,0,0,0,24,0,0,0,0,1,0,2,0,0,6,14,0,0,0,0,1,0,2,0,0,1,0,0,21,0,5,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,1,0,1,0,1,0,2,0,2,0,0,2,8,0,0,4,0,0,0,2,43,0,0,0,0,4,0
2024-01-14T22,113,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,2,0,0,0,6,0,0,0,13,0,0,0,0,0,0,1,0,0,4,8,0,0,0,0,1,0,0,0,0,0,1,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,1,0,0,0,0,1,0,2,0,1,0,1,0,0,0,5,0,0,1,0,0,0,1,25,0,0,0,0,2,1
2024-01-14T23,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,7,0,0,0,14,0,0,1,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,6,0,0,1,0,0,0,0,39,0,0,0,0,1,0
2024-01-15T00,116,0,0,0,2,0,0,0,1,0,0,0,0,2,0,8,1,0,0,0,10,0,0,0,11,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,1,4,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,5,0,0,1,0,2,0,0,38,0,0,0,0,2,0
2024-01-15T01,114,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,1,0,11,0,0,0,8,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,1,6,0,0,1,0,0,0,0,35,0,0,1,0,1,0
2024-01-15T02,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,10,0,0,0,4,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,2,0,0,0,0,35,0,0,1,0,0,0
2024-01-15T03,102,2,0,0,0,0,1,0,0,0,1,0,0,0,0,7,0,0,0,1,5,0,0,0,3,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,5,0,0,2,0,0,1,1,50,1,0,0,0,1,0
2024-01-15T04,97,1,0,0,1,0,0,0,0,0,0,0,0,1,0,10,1,0,1,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,3,0,0,2,0,4,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,1,6,0,0,1,0,0,0,0,32,0,0,0,0,0,0
2024-01-15T05,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,7,0,0,0,3,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,4,0,0,2,0,28,0,0,0,0,1,0
2024-01-15T06,76,2,0,0,0,1,1,0,0,0,0,0,0,1,0,7,0,0,0,0,8,0,0,0,4,0,0,0,0,0,0,1,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,4,0,0,4,0,22,0,0,0,0,0,1
2024-01-15T07,78,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,0,6,1,0,0,10,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,1,0,0,0,3,0,1,1,0,0,6,0,0,3,0,0,1,0,22,0,0,0,0,0,1
2024-01-15T08,82,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,7,1,0,0,10,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,1,0,0,0,0,0,3,0,0,0,1,0,8,0,0,2,0,0,1,0,26,0,0,0,0,0,1
2024-01-15T09,81,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,1,0,0,0,7,0,0,0,11,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,3,0,3,0,0,1,0,0,0,0,0,2,0,3,0,0,0,5,0,0,4,0,0,0,0,16,0,0,0,0,0,0
2024-01-15T10,86,0,0,0,0,1,2,0,1,1,0,0,0,0,1,3,0,0,0,0,8,0,0,0,14,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,6,0,1,0,0,0,0,2,0,0,0,2,0,1,0,0,1,5,0,0,2,0,0,1,0,18,0,0,0,0,0,0
2024-01-15T11,166,2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,8,1,0,0,12,0,0,0,0,0,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,3,0,2,0,0,1,0,2,0,0,0,1,0,1,0,0,2,7,1,0,1,0,0,5,0,93,0,0,0,0,0,0
2024-01-15T12,159,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,7,1,0,0,12,0,0,0,0,0,0,1,0,0,7,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,1,0,1,0,0,0,1,0,4,0,0,0,7,1,0,11,0,0,2,0,81,0,0,0,0,0,0
2024-01-15T13,104,2,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,7,0,0,0,18,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,6,0,0,17,0,1,2,0,22,0,0,0,0,0,0
2024-01-15T14,127,1,0,0,0,0,0,0,0,1,0,0,0,1,0,5,1,0,0,1,14,0,1,0,20,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,4,0,3,0,0,3,6,0,0,20,0,0,2,0,20,0,0,0,0,0,0
2024-01-15T15,132,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3,2,0,0,0,10,0,0,0,21,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,1,0,2,0,0,0,4,0,2,0,0,1,7,0,0,24,0,0,1,1,23,0,0,0,0,0,0
2024-01-15T16,150,0,0,0,0,1,0,0,0,0,1,0,0,4,0,7,0,0,0,0,7,0,0,0,25,0,0,0,0,0,0,2,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,2,0,0,0,2,0,4,0,0,4,5,0,0,22,0,0,1,3,23,0,0,0,0,0,0
2024-01-15T17,157,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,5,0,0,0,29,0,0,0,0,0,0,3,0,0,10,5,0,0,1,0,1,0,2,2,0,1,0,0,14,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3,0,1,0,4,0,2,0,0,2,6,0,0,15,0,0,0,2,25,0,0,0,0,1,1
2024-01-15T18,201,1,0,0,0,1,0,0,0,2,0,0,0,1,0,5,1,0,0,0,5,0,0,0,46,3,0,0,0,0,0,7,0,0,9,10,0,0,0,0,2,0,0,3,1,1,0,0,13,0,7,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,11,1,1,0,0,0,0,3,0,0,0,2,0,1,0,0,10,7,0,0,10,0,1,0,0,32,0,0,0,0,1,0
2024-01-15T19,219,1,0,0,0,2,1,0,0,2,1,0,0,1,0,11,2,0,0,0,14,0,0,0,45,0,0,0,0,0,0,3,0,0,10,15,0,0,1,0,0,0,0,0,0,1,0,0,12,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,24,2,0,0,0,0,0,2,0,2,0,4,0,2,0,0,10,5,0,0,10,0,0,0,1,30,0,0,0,0,1,0
2024-01-15T20,188,1,0,0,0,0,0,0,0,3,1,0,0,0,0,5,1,0,0,0,13,0,0,0,23,0,0,0,0,0,0,5,0,0,12,18,0,0,0,0,0,0,1,0,0,1,0,0,11,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0,2,0,0,0,1,5,0,0,0,3,0,4,0,0,6,5,0,0,10,0,0,0,1,31,0,0,0,0,3,0
2024-01-15T21,167,1,0,0,0,0,1,0,0,0,0,0,0,1,1,5,2,0,0,0,11,1,0,0,25,0,0,0,0,0,0,1,0,0,8,17,0,0,1,0,1,0,2,2,0,0,0,0,13,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,2,8,0,0,5,0,1,0,0,30,0,0,0,0,2,3
2024-01-15T22,159,1,0,0,0,0,2,0,0,0,0,0,0,3,0,8,1,0,0,0,11,0,0,0,16,0,0,0,0,0,0,0,0,0,7,13,0,0,0,0,1,0,2,0,0,1,0,0,17,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,1,0,0,0,3,0,0,4,8,0,0,8,0,0,1,0,33,0,0,0,0,1,2
2024-01-15T23,102,0,0,0,2,0,0,0,0,0,0,0,0,1,0,7,1,0,0,0,8,0,0,0,7,0,0,0,0,0,0,2,0,0,5,9,0,0,0,0,0,0,0,0,0,1,1,0,11,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,5,0,0,3,0,0,0,0,29,0,0,0,1,0,0
2024-01-16T00,112,0,0,0,0,0,0,0,0,1,0,0,0,7,0,9,0,0,0,0,8,0,0,0,7,0,0,0,0,0,0,1,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,2,1,0,0,6,0,0,1,0,1,0,0,40,0,0,0,0,1,0
2024-01-16T01,97,0,1,0,0,0,0,0,0,2,0,0,0,2,0,7,1,0,0,1,8,0,0,0,4,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,3,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,5,0,0,1,0,1,0,1,37,0,0,0,0,0,1
2024-01-16T02,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2,0,9,0,0,0,5,0,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,2,0,0,0,1,28,0,0,0,0,1,0
2024-01-16T03,92,1,0,0,0,0,0,0,0,0,1,0,0,1,0,9,0,0,2,0,8,1,1,0,5,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,13,0,0,1,0,0,2,0,30,0,0,0,0,1,0
2024-01-16T04,80,1,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,8,1,0,0,3,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,3,1,0,0,5,0,0,1,0,0,2,0,31,0,0,0,0,0,0
2024-01-16T05,100,0,0,0,0,0,0,0,1,0,0,0,0,2,0,5,1,0,0,0,9,0,0,1,4,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,4,0,7,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,5,0,0,2,0,0,0,0,33,0,0,0,0,0,0
2024-01-16T06,83,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,5,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,5,0,0,1,0,0,1,0,36,0,0,0,0,0,0
2024-01-16T07,105,1,0,0,0,0,0,0,1,1,0,0,0,1,0,5,0,0,0,0,14,0,0,0,11,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,1,0,0,3,0,1,0,0,1,0,4,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,3,0,0,0,5,0,0,5,0,0,1,0,30,0,0,0,0,0,1
2024-01-16T08,109,0,0,0,0,1,1,0,1,1,0,0,0,0,0,3,1,0,0,0,16,0,0,0,10,0,0,0,0,0,0,1,0,0,5,4,0,0,0,0,1,0,1,3,0,1,0,0,2,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0,0,1,0,2,1,0,0,6,0,0,6,0,0,1,0,26,0,0,0,0,0,0
2024-01-16T09,136,4,0,0,0,1,3,0,1,0,0,0,0,0,0,3,0,0,0,0,16,0,0,0,9,0,0,0,0,0,0,2,0,0,7,6,0,0,0,0,0,0,1,5,0,0,0,1,2,0,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,1,0,0,0,0,1,0,0,0,3,0,1,0,0,0,6,0,0,7,0,0,2,0,39,0,0,0,0,0,0
2024-01-16T10,120,1,0,0,1,0,2,0,1,0,0,0,0,2,0,5,1,0,0,1,12,0,0,0,11,0,0,0,0,0,0,0,0,0,6,3,0,0,1,0,2,0,0,0,0,0,1,1,5,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,13,0,0,3,0,2,1,0,28,0,0,0,0,0,0
2024-01-16T11,113,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,14,1,0,0,0,0,0,0,1,0,7,4,0,0,1,0,1,0,0,4,0,0,0,0,3,0,4,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,1,8,0,0,6,0,1,3,0,21,0,0,0,0,0,0
2024-01-16T12,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,14,0,0,0,9,0,0,0,0,0,0,1,1,0,8,7,0,0,0,0,0,0,0,0,0,10,0,0,5,0,11,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,6,0,0,9,0,1,5,0,25,0,0,0,0,0,0
