bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BO,BR,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GE,GH,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KE,KH,KR,KZ,LA,LT,LU,LV,LY,MA,MD,MK,MM,MN,MO,MT,MW,MX,MY,NC,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RO,RS,RU,RW,SC,SE,SG,SI,SK,TH,TN,TR,TW,UA,US,UY,UZ,VE,VN,ZA
2024-03-03T13,128,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,3,0,0,4,0,0,0,11,0,0,0,0,0,0,1,0,11,6,0,0,0,4,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,1,0,0,0,1,0,1,1,0,4,5,0,0,3,0,2,5,0,46,0,0,0,0,0
2024-03-03T14,142,3,0,0,0,1,3,0,0,0,0,2,0,0,0,0,5,3,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,11,8,0,0,0,2,0,0,0,0,0,1,0,0,0,12,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,1,0,1,1,1,0,2,0,0,2,6,0,0,7,0,1,9,0,25,0,0,0,0,1
2024-03-03T15,186,1,0,0,0,1,3,0,0,0,0,1,0,15,0,1,8,2,0,0,8,0,0,0,19,0,0,0,0,2,0,4,0,14,7,0,0,0,1,0,0,0,0,1,1,0,0,0,14,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0,2,1,2,0,3,0,0,1,5,0,0,5,0,1,10,0,38,0,0,0,0,0
2024-03-03T16,169,3,0,0,0,1,1,0,0,0,0,2,0,0,0,2,5,1,0,0,4,0,0,0,29,0,0,0,0,0,0,8,0,18,8,0,0,0,3,0,0,0,0,0,0,0,0,0,13,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,1,1,0,1,0,4,0,2,0,3,0,0,1,5,0,0,6,0,0,7,0,28,0,0,0,0,0
2024-03-03T17,230,3,0,0,0,2,1,0,0,0,0,1,1,0,0,5,6,1,1,0,3,0,0,0,39,0,0,0,0,0,0,7,1,23,14,0,0,0,4,0,0,1,0,0,0,0,0,0,23,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,3,2,1,0,2,0,0,8,5,0,0,10,0,0,5,2,43,0,0,0,0,0
2024-03-03T18,215,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,6,1,1,0,5,0,0,0,41,0,0,0,1,0,0,6,0,10,9,0,0,0,3,0,0,0,1,0,0,0,0,0,16,0,1,0,0,4,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,4,1,1,0,5,0,0,10,5,1,0,8,0,0,2,0,58,0,0,0,0,1
2024-03-03T19,185,3,0,0,0,0,1,0,0,0,0,1,1,0,0,1,8,2,0,0,5,0,0,0,28,2,0,0,0,0,0,5,0,12,19,0,0,0,2,0,0,0,3,0,1,0,0,0,10,0,1,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,7,1,1,0,0,0,0,5,5,0,0,7,0,1,1,0,29,0,0,0,0,0
2024-03-03T20,160,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,0,5,0,0,0,18,1,0,0,0,0,0,5,0,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,5,1,1,0,1,0,0,4,6,0,0,4,0,1,2,1,34,1,0,0,0,0
2024-03-03T21,170,3,0,0,0,1,1,0,0,0,0,1,0,0,0,1,4,2,0,0,5,1,0,0,17,0,0,0,0,0,0,1,0,7,19,0,0,0,2,0,0,0,0,0,0,0,0,0,26,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,4,2,3,0,5,0,0,4,6,0,0,4,0,2,1,0,33,0,0,0,1,0
2024-03-03T22,169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,0,6,0,0,0,12,0,0,0,0,0,0,0,0,8,10,0,0,0,1,0,0,0,0,0,0,0,0,0,26,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,3,1,0,0,2,0,0,3,6,0,0,4,0,1,2,0,60,0,0,0,1,0
2024-03-03T23,116,2,0,0,0,1,2,0,0,0,1,0,0,0,0,0,10,1,0,0,5,0,0,0,13,0,0,0,0,0,0,2,2,5,11,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,2,1,0,2,6,0,0,2,0,0,1,0,28,0,0,0,0,0
2024-03-04T00,93,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,1,0,0,5,0,0,0,6,0,0,0,0,0,0,2,0,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0,2,0,36,0,0,0,0,0
2024-03-04T01,94,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,16,2,0,0,7,0,0,0,6,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,4,0,0,0,6,0,0,0,0,0,3,0,31,0,0,0,0,0
2024-03-04T02,82,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,1,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,5,0,0,2,0,0,1,0,28,0,0,0,0,0
2024-03-04T03,80,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,40,0,0,0,0,0
2024-03-04T04,90,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,7,0,0,0,18,0,0,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,6,0,0,2,0,0,0,0,30,0,0,0,0,0
2024-03-04T05,76,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,16,0,0,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,0,0,0,1,0,27,0,0,0,0,0
2024-03-04T06,78,3,0,0,0,0,2,0,0,0,1,0,1,0,0,0,3,0,0,0,17,0,0,0,4,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,2,0,0,0,0,26,0,0,0,0,0
2024-03-04T07,65,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,0,0,5,1,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,5,0,0,3,0,0,0,0,20,0,0,0,0,0
2024-03-04T08,80,2,0,0,0,0,3,0,0,0,0,1,1,0,0,1,7,1,0,0,12,0,0,0,5,1,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,5,0,1,2,0,0,2,0,22,0,0,0,0,0
2024-03-04T09,87,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,1,0,0,15,0,0,1,12,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,6,0,0,0,0,1,0,0,20,0,0,0,0,0
2024-03-04T10,73,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,3,1,0,0,6,0,0,0,9,0,0,0,0,0,0,2,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,3,0,2,0,0,1,6,0,0,0,0,0,1,0,17,0,0,0,0,0
2024-03-04T11,79,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0,0,2,6,0,0,3,0,0,8,0,18,0,0,0,0,0
2024-03-04T12,85,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,5,0,0,0,4,0,0,0,0,0,0,3,0,2,6,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,6,0,0,2,5,0,0,4,0,0,8,0,17,0,0,0,1,0
2024-03-04T13,110,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3,0,0,5,0,0,0,14,2,0,0,0,0,0,0,0,6,6,0,0,0,3,0,0,0,0,0,0,0,0,1,5,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,4,0,3,0,0,3,5,0,0,8,0,0,6,0,20,0,0,0,0,0
2024-03-04T14,104,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,3,11,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,1,0,1,1,0,2,5,0,0,12,0,0,4,0,18,0,0,0,0,0
2024-03-04T15,120,1,0,0,0,3,1,0,0,0,0,0,0,0,0,1,10,1,0,0,3,0,0,0,12,1,0,0,0,0,0,1,0,8,9,0,0,0,4,0,0,0,0,0,1,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,3,0,0,1,5,0,0,9,0,0,4,0,20,0,0,0,1,0
2024-03-04T16,130,2,0,0,0,3,1,0,0,0,0,1,1,0,0,0,3,1,0,0,4,0,0,0,20,1,0,0,0,0,0,0,0,10,7,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,0,3,0,5,0,0,0,7,0,0,14,0,0,4,0,22,0,0,0,0,1
2024-03-04T17,142,1,0,0,0,2,1,0,0,0,0,1,1,0,0,1,0,1,0,0,4,0,0,0,23,1,0,0,0,0,0,4,1,12,9,0,0,0,4,0,0,0,0,0,1,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,4,0,0,2,6,0,0,12,0,0,4,0,23,0,0,0,0,0
2024-03-04T18,158,2,0,0,0,2,1,0,1,0,0,1,1,0,0,1,4,2,0,0,5,0,0,1,30,2,0,0,0,0,0,5,1,7,15,0,0,0,3,0,0,0,0,0,1,0,0,0,15,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,10,5,0,0,6,0,0,2,0,19,0,0,0,1,0
2024-03-04T19,183,2,1,0,0,0,2,0,1,0,0,1,0,0,0,0,2,2,0,0,7,0,0,0,36,0,0,0,0,0,0,5,0,6,17,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,1,1,0,0,0,2,2,3,0,2,0,0,5,7,0,0,11,0,2,3,0,25,0,0,0,1,0
2024-03-04T20,173,2,1,0,0,0,1,0,2,0,0,3,1,0,0,0,5,1,0,0,5,0,0,0,25,0,0,0,0,0,0,4,1,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,16,0,0,0,0,0,2,1,2,0,1,0,0,2,5,0,0,7,0,3,1,0,36,0,0,0,1,0
2024-03-04T21,132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,0,0,0,21,0,0,0,0,0,0,3,1,7,15,0,0,1,2,0,0,0,0,0,1,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,14,0,0,0,0,0,1,2,1,0,0,0,0,1,6,0,0,3,0,1,1,0,23,0,0,0,1,0
2024-03-04T22,105,1,0,0,3,0,1,0,0,0,0,0,0,0,0,1,3,1,0,0,5,0,0,0,14,0,0,0,0,0,0,2,1,4,7,0,0,0,1,0,0,0,0,0,1,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,2,0,0,0,1,0,0,2,5,0,0,1,0,0,1,0,17,0,0,0,1,0
2024-03-04T23,97,1,0,0,3,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,6,0,0,0,5,0,1,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,1,3,0,0,2,0,0,1,5,0,0,0,0,0,0,0,25,0,0,0,2,0
2024-03-05T00,87,3,0,0,0,2,0,0,0,1,1,0,0,0,0,1,8,1,0,0,5,0,0,0,7,0,0,0,0,0,0,1,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,0,0,0,0,28,0,0,0,1,0
2024-03-05T01,89,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,10,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,2,0,41,0,0,0,1,0
2024-03-05T02,91,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,1,0,0,17,0,0,0,4,0,0,0,0,0,0,1,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,0,36,0,0,0,1,0
2024-03-05T03,78,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,1,0,29,0,0,0,2,0
2024-03-05T04,78,2,0,0,0,0,18,0,0,0,1,0,0,0,0,0,5,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,26,0,0,0,1,0
2024-03-05T05,60,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,11,0,0,0,6,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,19,0,0,0,1,0
2024-03-05T06,66,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,4,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,3,0,0,2,0,22,0,0,0,2,0
2024-03-05T07,71,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,3,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,2,5,0,0,3,0,1,1,0,20,0,0,0,0,0
2024-03-05T08,71,2,0,0,0,1,2,0,0,0,0,3,1,0,0,0,1,0,0,0,10,0,0,0,6,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,5,0,0,3,0,0,1,0,17,0,0,0,0,0
2024-03-05T09,84,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,12,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,3,0,1,0,0,2,6,0,0,1,0,0,2,0,16,0,0,0,0,0
2024-03-05T10,83,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,7,0,0,0,0,0,0,1,0,1,7,0,0,0,3,0,0,1,0,0,1,0,0,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,2,1,1,0,3,0,6,0,0,0,6,0,0,3,0,0,2,0,12,0,0,0,0,0
2024-03-05T11,102,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,1,1,0,0,6,0,0,0,6,1,0,0,0,0,0,2,0,2,10,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,1,1,0,0,2,0,2,0,0,0,6,0,0,3,0,1,8,0,13,0,0,0,0,0
2024-03-05T12,96,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,6,0,0,0,10,0,0,0,0,0,0,2,0,4,8,0,0,0,0,0,0,1,0,0,1,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,1,0,0,0,1,2,0,0,0,10,0,0,2,0,0,8,0,17,0,0,0,0,0
2024-03-05T13,98,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,3,0,0,0,6,0,0,0,13,0,0,0,0,0,0,0,0,3,7,0,0,0,1,0,0,2,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,1,0,1,1,0,0,1,0,1,0,0,0,5,0,0,4,0,0,11,0,18,0,0,0,0,0
2024-03-05T14,109,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,3,2,0,0,9,0,0,0,15,0,0,0,0,0,0,1,0,5,9,0,0,0,1,1,0,1,0,0,1,1,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,1,0,2,0,3,0,0,1,5,0,0,8,0,0,8,0,12,0,0,0,0,0
2024-03-05T15,147,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,1,16,1,0,0,16,1,0,0,0,0,0,2,0,8,7,0,0,0,1,0,0,1,0,0,2,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,1,0,0,1,0,1,0,0,2,15,0,0,9,0,0,8,0,24,0,0,0,0,0
