bucket,total,--,AE,AL,AM,AO,AR,AT,AU,BA,BD,BE,BG,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EE,ES,ET,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KH,KR,KW,KZ,LA,LI,LK,LT,LU,LV,MA,MD,MK,MM,MN,MO,MT,MU,MX,MY,NC,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PT,PY,RO,RU,RW,SA,SE,SG,SI,SK,TH,TN,TR,TW,TZ,UA,UG,US,UZ,VE,VN,ZA
2024-08-11T23,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,76,0,0,0,0
2024-08-12T00,65,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,28,0,0,0,0
2024-08-12T01,69,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,2,0,0,4,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,29,0,0,0,0
2024-08-12T02,74,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,9,1,0,0,3,0,0,0,5,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,34,0,0,1,0
2024-08-12T03,57,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,30,0,0,0,0
2024-08-12T04,94,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,16,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,6,1,0,1,0,0,0,0,0,0,46,0,0,0,0
2024-08-12T05,91,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,46,0,0,0,0
2024-08-12T06,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,19,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6,0,0,2,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,1,0,0,0,42,0,0,0,0
2024-08-12T07,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,4,0,0,0,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,25,0,0,0,0
2024-08-12T08,76,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,15,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,2,0,0,0,0,0,0,25,0,0,0,1
2024-08-12T09,79,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,17,0,0,0,8,0,0,0,0,0,0,0,2,5,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,3,0,0,0,0,0,0,22,0,0,0,0
2024-08-12T10,81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,6,0,0,0,6,0,0,0,0,2,0,1,2,3,0,0,1,0,0,0,1,0,0,0,1,0,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,1,0,0,0,2,1,0,1,5,1,0,0,0,0,0,0,0,0,30,0,0,0,0
2024-08-12T11,68,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,6,0,0,0,5,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,5,0,0,1,0,0,4,0,0,0,26,0,0,0,0
2024-08-12T12,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,8,0,0,0,0,2,0,0,5,3,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,2,0,0,2,0,0,0,0,0,1,0,0,0,6,0,0,1,0,0,4,0,0,0,27,0,0,0,0
2024-08-12T13,79,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,5,5,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,5,0,0,0,0,2,1,0,0,0,7,0,0,4,0,0,2,0,0,0,23,0,0,0,0
2024-08-12T14,101,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,1,0,0,3,0,0,0,15,0,0,0,0,2,0,2,7,4,0,0,2,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,2,0,0,0,2,0,0,1,5,0,0,7,0,1,1,0,0,0,25,0,0,0,0
2024-08-12T15,127,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,4,1,0,0,4,0,0,0,19,0,0,0,0,3,0,2,10,4,0,0,6,0,0,0,0,0,1,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,2,0,0,2,0,1,0,0,1,0,0,0,0,5,0,0,9,0,2,2,0,0,0,28,0,0,1,0
2024-08-12T16,137,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,7,0,0,0,7,0,0,0,23,0,0,0,0,4,0,0,11,4,0,0,4,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,3,0,0,1,0,0,1,0,0,0,1,0,1,5,0,0,8,0,2,2,0,0,0,31,0,0,1,0
2024-08-12T17,145,1,0,0,0,0,0,0,0,1,0,1,1,0,2,0,6,0,0,0,5,0,0,0,28,0,0,0,0,3,0,1,8,9,0,0,2,0,0,0,0,0,0,0,0,1,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,1,0,0,1,0,1,1,0,0,2,5,1,0,11,0,0,0,0,0,0,32,0,0,1,1
2024-08-12T18,155,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,6,0,0,0,7,0,0,0,29,0,0,0,0,2,0,1,7,12,0,0,1,0,0,1,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,13,1,0,0,0,0,0,1,1,0,2,1,0,0,2,6,0,0,3,0,0,0,0,0,0,49,0,0,0,0
2024-08-12T19,158,1,0,0,0,0,1,1,2,0,0,1,0,0,1,0,8,0,0,0,3,0,0,0,18,0,0,0,0,1,0,0,13,15,0,0,0,0,0,0,1,0,5,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,1,0,0,0,0,0,4,0,0,1,1,0,0,4,5,0,0,0,0,0,0,0,0,0,45,0,0,0,0
2024-08-12T20,144,3,1,0,0,0,1,0,1,0,0,1,0,0,1,0,5,3,0,0,7,0,0,0,17,0,0,0,0,0,0,0,12,13,0,0,1,0,0,0,1,0,1,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,9,1,1,0,0,0,0,2,0,0,2,1,0,1,1,7,0,0,3,0,1,0,0,1,0,33,0,0,0,0
2024-08-12T21,112,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,2,0,0,5,0,0,0,14,0,0,0,0,0,0,0,7,8,0,0,3,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1,1,0,0,1,0,2,3,0,0,1,0,0,0,6,0,0,0,0,0,1,0,0,0,34,0,0,0,0
2024-08-12T22,118,2,0,0,0,0,2,0,0,0,0,0,3,0,0,0,4,0,0,0,15,0,0,0,6,0,0,0,0,0,0,0,9,10,0,0,0,1,0,0,0,0,2,0,1,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,1,0,0,0,0,2,1,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,34,0,0,0,0
2024-08-12T23,102,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,8,0,0,0,18,1,0,0,7,0,0,0,0,0,0,0,2,6,0,0,0,1,0,1,1,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,1,0,0,0,0,0,0,28,0,0,0,0
2024-08-13T00,121,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,10,0,2,0,15,1,0,0,6,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,69,0,0,0,0
2024-08-13T01,115,2,0,0,0,0,0,0,4,0,0,1,1,0,1,0,6,1,0,0,22,1,0,0,4,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,52,0,0,3,0
2024-08-13T02,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,16,0,0,0,5,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,49,0,0,2,0
2024-08-13T03,97,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,5,0,0,0,15,0,0,0,5,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0,1,0,1,0,0,0,0,49,0,0,0,0
2024-08-13T04,103,1,0,0,0,0,0,0,1,0,1,1,3,0,1,0,8,0,0,0,10,0,0,0,6,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,46,0,0,0,0
2024-08-13T05,80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,3,0,1,0,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,6,0,0,1,0,0,0,0,0,0,26,0,0,0,0
2024-08-13T06,123,1,0,0,0,0,0,0,3,0,0,1,1,0,0,0,4,0,0,0,4,0,0,0,4,2,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,6,1,0,1,0,0,0,0,0,0,75,0,0,0,0
2024-08-13T07,106,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,2,0,0,0,1,1,0,0,6,0,0,1,0,0,1,0,0,0,66,0,0,0,0
2024-08-13T08,107,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,3,3,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,1,2,0,0,0,5,0,0,1,0,0,0,0,0,0,61,0,0,0,0
2024-08-13T09,73,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,1,1,8,0,0,0,7,0,0,0,0,1,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,3,0,0,0,0,0,1,0,0,1,5,0,1,1,0,0,0,0,0,0,23,0,0,0,0
2024-08-13T10,97,2,0,0,0,0,0,0,3,0,0,0,1,0,0,0,4,0,0,0,4,0,0,0,12,0,0,0,0,2,0,0,5,5,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,3,0,0,1,7,0,0,2,0,0,0,0,0,0,34,0,0,0,0
2024-08-13T11,139,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,3,1,0,0,5,0,0,0,8,1,0,0,0,2,0,0,4,5,0,0,2,0,0,0,0,0,0,0,2,0,1,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,4,0,0,0,0,0,1,0,0,0,5,0,0,3,0,0,5,0,0,0,71,0,0,0,0
2024-08-13T12,96,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,4,1,0,0,9,0,0,0,7,0,0,0,0,0,0,0,5,4,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,1,0,0,1,6,1,0,4,0,0,2,0,1,0,31,0,0,2,1
