bucket,total,--,AE,AM,AR,AT,AU,BA,BB,BD,BE,BG,BH,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DZ,EC,EE,ES,ET,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JO,JP,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MC,MD,MK,MM,MO,MU,MX,MY,NC,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,SN,TH,TN,TR,TW,UA,UG,US,UZ,VE,VN,ZA,ZW
2024-01-21T23,117,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,1,0,1,0,7,0,0,0,0,9,0,0,0,0,1,0,0,2,4,0,0,2,0,0,1,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,7,0,0,0,2,0,0,0,0,0,35,0,0,0,12,0
2024-01-22T00,107,1,0,0,0,1,0,0,0,0,0,1,0,1,2,0,9,1,0,2,0,6,0,0,0,0,7,0,0,0,0,1,0,0,2,5,0,0,0,0,0,1,0,0,5,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,7,0,0,0,2,0,0,0,0,0,36,0,0,0,0,0
2024-01-22T01,96,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,10,1,0,0,0,10,0,0,0,0,3,0,1,0,0,0,0,0,3,5,0,0,1,0,0,1,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,2,0,0,1,0,0,35,0,0,1,0,0
2024-01-22T02,110,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,12,1,0,0,0,5,0,0,1,0,3,0,2,0,0,0,0,0,4,6,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,1,0,0,2,0,0,48,0,0,1,0,0
2024-01-22T03,83,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,11,0,0,0,0,5,0,0,0,0,4,0,0,0,0,2,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,1,0,0,0,0,0,32,0,0,1,0,0
2024-01-22T04,81,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,1,0,0,0,0,0,34,0,0,0,0,0
2024-01-22T05,75,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,6,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,1,0,0,0,0,0,26,0,0,0,1,0
2024-01-22T06,75,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,3,1,0,1,0,5,0,0,0,0,6,0,0,0,0,1,0,0,1,4,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,3,0,0,0,0,6,0,0,0,1,0,0,1,0,0,25,0,0,0,0,0
2024-01-22T07,82,1,0,0,0,0,1,0,0,1,0,0,0,0,2,0,4,2,0,0,0,7,0,0,0,0,8,0,0,0,0,0,0,0,3,4,0,0,1,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,4,0,1,1,0,0,0,7,0,0,0,0,0,0,1,0,0,25,0,0,0,1,0
2024-01-22T08,70,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,6,0,0,1,0,9,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,0,0,0,4,0,0,0,0,0,18,0,0,0,0,0
