bucket,total,--,AE,AL,AO,AR,AT,AU,BA,BD,BE,BG,BO,BR,BT,BW,BY,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DZ,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KH,KR,KZ,LA,LT,LU,LV,MA,MK,MN,MO,MU,MX,MY,NC,NG,NL,NO,NZ,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SA,SE,SG,SI,SK,TG,TH,TN,TR,TW,UA,UG,US,UZ,VN,ZA
2024-06-10T00,115,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9,0,0,0,20,0,0,8,0,0,0,0,0,0,3,7,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,6,0,0,0,4,0,0,3,0,0,41,0,0,1
2024-06-10T01,95,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,11,0,0,0,16,1,0,6,0,0,0,0,0,0,1,2,0,0,1,0,0,0,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,2,0,0,35,0,0,0
2024-06-10T02,143,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8,0,1,0,17,0,0,5,0,0,0,0,0,0,2,4,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,88,0,0,0
2024-06-10T03,223,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,7,0,0,0,17,0,0,5,0,0,0,0,0,0,2,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,2,0,0,165,0,0,0
2024-06-10T04,183,0,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,4,0,0,0,18,0,0,5,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,3,0,0,0,0,0,130,0,0,0
2024-06-10T05,96,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,6,0,0,0,18,0,0,6,0,0,0,0,0,0,2,4,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,1,2,0,0,0,0,0,37,0,0,0
2024-06-10T06,94,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,1,2,0,0,0,20,0,0,7,0,0,0,0,0,0,2,5,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,3,0,0,1,0,0,33,0,1,0
2024-06-10T07,96,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,2,0,0,16,0,0,9,0,0,0,0,0,0,4,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,3,1,0,0,1,0,1,0,0,0,5,0,0,0,2,0,0,0,0,0,32,0,0,0
2024-06-10T08,100,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,24,0,0,13,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,7,0,0,0,0,0,1,0,0,0,22,0,0,0
2024-06-10T09,134,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,1,0,25,0,0,12,0,0,0,0,1,1,6,4,0,0,4,0,0,0,0,0,0,3,0,2,0,3,11,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,1,0,0,1,0,0,1,0,1,1,0,2,1,0,1,7,0,0,0,3,0,0,2,0,0,27,0,0,0
2024-06-10T10,98,2,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,3,0,1,0,12,0,0,11,0,0,0,0,1,0,4,6,0,0,0,0,0,0,0,0,2,1,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,6,0,0,0,3,0,0,2,0,0,20,0,0,0
