bucket,total,--,AE,AR,AT,AU,AZ,BA,BD,BE,BG,BJ,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CW,CZ,DE,DK,DO,DZ,EE,EG,ES,ET,FI,FR,GB,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KH,KR,KZ,LA,LB,LK,LT,LU,LV,LY,MA,MD,ME,MK,MM,MN,MO,MX,MY,NC,NG,NL,NO,NZ,PE,PH,PK,PL,PT,PY,RE,RO,RS,RU,RW,SC,SE,SG,SK,TG,TH,TN,TR,TW,TZ,UA,US,UY,UZ,VE,VN,ZA
2024-04-28T23,118,2,0,1,0,2,0,0,0,0,3,0,0,1,0,5,1,0,0,0,14,0,0,0,0,6,0,0,0,0,0,1,0,0,2,7,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,3,0,0,1,5,0,0,1,0,0,0,0,1,50,0,0,0,0,0
2024-04-29T00,141,3,0,0,0,1,0,0,0,0,1,0,0,1,0,5,1,0,0,0,21,0,0,1,0,8,0,0,0,0,0,1,0,0,1,3,0,1,0,0,0,0,0,0,2,0,0,0,0,12,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,2,1,0,1,7,0,0,0,0,0,0,0,0,57,0,1,0,0,1
2024-04-29T01,106,2,0,0,0,2,0,0,0,0,1,0,0,0,0,9,0,0,0,0,17,0,0,0,0,4,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,49,0,0,0,0,0
2024-04-29T02,103,1,0,0,0,2,0,0,0,0,1,0,0,0,0,5,1,0,0,0,18,0,0,0,0,5,0,0,0,0,0,0,0,0,2,3,0,4,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,6,0,0,1,0,0,2,0,0,35,0,0,0,2,0
2024-04-29T03,96,3,0,0,0,3,0,0,0,0,2,0,0,0,0,4,0,0,0,0,21,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,0,0,35,0,0,0,2,1
2024-04-29T04,78,1,0,0,0,3,0,0,0,0,1,0,0,0,0,4,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,2,0,0,32,0,0,0,0,0
2024-04-29T05,75,1,0,0,0,4,0,0,0,0,4,0,0,0,0,1,1,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,27,0,0,0,0,0
2024-04-29T06,84,2,0,0,0,2,0,0,2,0,2,0,1,1,0,2,0,0,0,0,5,1,0,0,0,6,0,0,0,0,0,0,0,0,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,7,0,0,1,0,0,0,0,0,32,0,0,0,0,0
2024-04-29T07,82,1,0,0,0,2,0,0,0,0,1,0,1,0,0,2,0,0,0,0,8,0,0,0,0,11,1,0,0,0,0,0,0,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,1,0,0,0,0,1,5,0,0,1,0,0,0,0,1,26,0,0,0,0,0
2024-04-29T08,67,2,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,1,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,1,0,0,1,5,0,0,2,0,0,0,0,0,14,0,0,0,0,0
2024-04-29T09,115,4,0,0,1,2,0,0,0,0,2,0,0,0,0,5,1,1,0,0,13,0,0,0,0,9,0,0,0,0,0,1,1,0,5,7,0,4,0,0,0,0,0,0,0,1,0,0,3,9,0,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,8,0,0,3,0,0,2,0,0,18,0,0,0,0,0
2024-04-29T10,115,2,0,0,1,3,0,0,0,0,2,0,0,1,0,3,1,1,0,0,9,0,0,0,0,11,0,0,0,0,0,3,1,0,1,7,0,4,0,0,0,0,0,0,0,0,0,0,5,7,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,1,8,0,0,8,0,0,0,0,0,23,0,0,0,0,0
2024-04-29T11,109,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,4,0,0,0,8,0,0,0,0,9,0,1,0,0,2,2,0,0,5,6,0,2,0,0,0,0,0,0,1,0,0,0,3,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,3,0,2,0,0,2,6,0,0,5,0,0,7,0,0,25,0,0,0,0,0
2024-04-29T12,109,5,0,0,0,1,0,0,1,0,2,0,0,2,0,1,3,0,0,0,9,0,0,0,0,13,0,1,0,0,2,0,0,0,6,5,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,2,0,3,1,0,1,5,0,0,7,0,1,2,0,0,23,0,0,0,0,0
2024-04-29T13,144,4,0,0,1,2,0,0,0,2,2,0,1,3,0,1,1,0,0,0,8,0,0,0,0,12,0,0,0,0,0,2,0,0,5,11,0,6,0,0,0,0,0,0,2,0,0,0,4,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,7,1,0,3,7,0,0,10,0,0,5,0,0,28,2,0,0,0,2
2024-04-29T14,168,2,0,0,4,1,0,0,0,0,2,0,1,3,0,8,3,0,0,0,6,0,0,0,0,13,0,0,0,0,0,3,0,2,9,13,0,2,0,0,0,0,0,0,2,1,0,0,8,8,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,3,0,0,0,2,0,1,0,0,3,9,0,0,10,0,1,4,0,0,32,0,0,0,0,0
2024-04-29T15,159,3,0,0,1,1,0,0,0,0,0,0,0,1,0,3,4,0,0,0,5,1,0,0,0,13,0,0,0,0,0,3,0,0,15,16,0,2,0,0,0,0,0,0,1,0,1,0,14,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,1,0,0,0,2,0,2,1,0,2,6,0,0,15,0,0,4,0,0,29,0,0,0,0,1
