bucket,total,--,AE,AL,AM,AR,AT,AU,BA,BD,BE,BG,BJ,BO,BR,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CV,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GH,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KE,KH,KR,KZ,LA,LB,LT,LV,MA,MD,MG,MK,MM,MN,MO,MT,MW,MX,MY,MZ,NC,NE,NG,NI,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PS,PT,PY,QA,RO,RS,RU,RW,SA,SE,SG,SK,SN,TH,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA,ZM
2024-03-31T22,118,1,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,8,3,0,0,0,7,0,0,0,15,0,0,0,0,0,0,0,0,0,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,5,0,0,2,1,1,1,0,27,0,0,0,0,0,0
2024-03-31T23,114,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0,9,0,0,0,12,0,0,0,0,0,0,1,0,0,2,9,0,0,0,1,0,0,0,1,0,0,4,0,2,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,6,0,0,2,1,0,0,0,27,0,0,0,0,0,0
2024-04-01T00,124,1,0,0,0,2,0,2,0,0,0,0,0,0,3,0,0,9,1,0,1,0,12,1,0,0,7,0,0,0,0,0,0,1,0,0,1,4,0,0,0,1,0,0,0,3,0,0,3,0,2,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,36,0,0,0,0,0,0
2024-04-01T01,108,0,0,0,0,2,1,1,0,0,0,0,0,0,3,0,0,12,0,0,0,0,9,1,0,0,7,0,0,0,0,0,0,0,0,0,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,1,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,6,0,0,1,0,0,0,0,41,0,0,0,0,0,0
2024-04-01T02,104,2,0,0,0,0,0,3,0,1,0,1,0,0,1,0,0,8,0,0,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,2,0,0,35,0,0,0,0,1,0
2024-04-01T03,135,1,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,5,0,0,0,0,9,0,0,0,6,0,0,0,0,0,0,1,0,0,2,5,0,0,0,5,0,0,0,0,0,0,1,0,0,0,16,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,6,0,0,0,0,2,0,0,57,0,0,0,0,0,0
2024-04-01T04,108,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,6,0,0,0,0,11,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,2,0,0,1,9,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,3,0,0,1,6,0,0,0,0,1,0,0,37,0,0,0,0,0,0
2024-04-01T05,116,4,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,6,1,0,0,0,12,0,0,0,10,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,0,0,1,0,0,0,2,0,1,2,10,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,8,0,0,0,0,2,0,0,29,0,0,0,1,0,0
2024-04-01T06,105,1,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,5,0,0,0,0,10,0,0,0,8,0,0,0,0,0,0,2,0,0,4,2,0,0,0,2,0,0,0,0,0,0,1,0,0,1,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,8,0,0,2,0,1,1,0,33,0,0,0,0,0,0
2024-04-01T07,89,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,3,1,0,0,1,7,0,0,0,7,0,0,0,0,0,0,0,0,0,2,4,0,0,0,2,0,0,0,0,0,0,1,0,0,4,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,3,0,0,0,0,3,0,5,0,0,1,6,0,0,1,1,3,0,0,15,0,0,0,0,0,0
2024-04-01T08,91,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,11,0,0,0,8,0,0,0,0,0,0,0,0,1,4,2,0,0,0,2,0,0,0,0,0,1,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,2,0,0,0,0,2,0,2,0,0,1,7,0,0,2,0,1,0,0,21,0,0,0,0,0,0
2024-04-01T09,106,2,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,3,1,0,0,0,10,0,0,0,19,0,0,0,0,0,0,3,0,0,5,4,0,0,0,3,0,0,0,0,0,2,0,0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,6,0,0,5,1,3,0,0,16,0,0,0,0,0,0
2024-04-01T10,101,3,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,2,4,0,1,0,8,0,0,0,17,0,0,0,0,0,0,1,0,0,5,3,0,0,0,2,0,0,0,0,0,1,0,0,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,2,1,2,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,2,0,0,15,0,0,0,1,1,0
2024-04-01T11,128,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,2,0,1,0,11,0,0,0,19,0,0,0,0,0,0,0,0,1,7,6,0,0,0,2,0,0,0,0,0,0,2,0,0,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,1,0,1,5,0,0,4,0,9,0,0,26,0,0,0,0,1,0
2024-04-01T12,122,3,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,3,2,0,0,0,9,0,0,0,15,0,0,0,0,0,0,1,0,0,9,7,0,0,0,3,0,0,0,0,0,0,0,0,0,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,2,5,0,0,9,0,10,0,0,16,0,0,0,0,0,0
2024-04-01T13,152,6,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,3,1,0,0,0,12,0,0,0,19,0,0,0,0,0,0,1,0,0,7,9,0,0,0,3,0,0,0,1,0,0,1,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3,10,0,0,12,2,10,0,0,22,0,0,0,0,0,0
2024-04-01T14,183,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,1,0,0,0,16,1,0,0,27,0,0,1,0,0,0,1,0,0,13,12,0,0,0,2,0,0,1,0,1,0,5,0,0,9,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,1,0,4,0,0,2,8,0,0,9,2,5,0,0,28,0,0,0,0,0,0
2024-04-01T15,203,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,13,3,0,0,29,0,0,0,0,0,0,2,0,0,22,13,0,0,0,1,0,0,1,0,0,0,4,0,0,16,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,1,0,0,0,3,0,1,0,0,2,0,2,0,0,4,6,0,0,12,0,8,0,0,30,0,0,0,1,1,0
2024-04-01T16,179,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,7,1,0,0,0,8,0,0,1,37,0,0,0,0,0,0,2,0,0,16,11,0,0,0,3,0,0,1,0,0,0,0,0,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,0,0,6,5,0,0,11,0,6,1,0,23,0,0,0,1,0,0
2024-04-01T17,188,2,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,12,1,0,1,0,7,1,0,0,29,0,0,0,0,0,0,2,0,0,10,8,0,0,0,2,0,0,1,0,0,0,1,0,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,3,0,0,0,0,2,0,3,0,0,9,5,0,0,11,1,5,1,0,30,0,0,0,2,0,0
2024-04-01T18,145,2,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,6,1,0,0,0,7,0,0,0,29,0,0,0,0,0,0,2,0,0,8,12,0,0,0,3,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,2,0,1,0,0,2,0,2,0,0,1,5,0,0,3,0,3,0,0,22,0,0,0,0,0,0
2024-04-01T19,158,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,1,0,0,0,7,0,0,0,21,0,0,0,0,0,0,3,0,0,11,15,0,0,0,0,0,0,1,0,0,0,0,0,0,14,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,1,0,3,0,0,0,0,1,0,1,0,0,6,5,0,0,10,3,2,1,0,26,0,0,0,1,0,0
2024-04-01T20,143,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,12,1,0,0,0,7,0,0,0,20,0,0,0,0,0,0,2,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,2,5,0,0,10,3,2,1,0,29,0,0,0,0,0,0
2024-04-01T21,139,1,0,0,0,0,0,1,0,0,1,3,0,0,1,0,0,12,2,0,0,0,7,0,0,0,13,0,0,0,0,0,0,4,0,0,7,10,0,0,0,0,0,0,0,0,0,0,1,0,0,18,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,6,0,0,7,1,1,0,0,26,0,0,0,0,0,0
2024-04-01T22,175,3,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,13,3,0,0,0,6,0,0,0,15,0,0,0,0,0,0,3,0,0,5,13,0,0,0,2,0,0,0,1,0,0,3,0,3,9,16,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,3,0,1,0,0,1,0,0,2,9,0,0,3,1,0,1,1,42,0,0,0,0,0,1
2024-04-01T23,167,6,0,0,0,1,0,1,1,0,0,2,0,0,2,0,0,18,0,0,1,0,14,1,0,0,13,0,0,0,0,0,0,1,0,0,2,10,0,0,0,3,0,0,0,1,0,0,3,0,2,3,22,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,8,0,0,4,0,1,0,0,36,0,1,0,0,0,1
2024-04-02T00,131,4,0,0,0,0,1,1,0,0,0,2,0,0,2,0,0,19,0,0,2,0,9,0,0,0,10,0,0,0,0,0,0,1,0,0,1,4,0,0,0,2,0,0,0,0,0,0,2,0,0,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,1,6,0,0,2,0,0,1,0,37,0,1,0,1,0,0
2024-04-02T01,95,1,0,0,0,0,0,2,1,0,0,3,0,0,1,0,0,9,1,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,41,1,0,0,0,0,0
2024-04-02T02,82,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,13,0,0,0,0,7,0,0,0,6,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,1,0,0,36,0,0,0,0,0,0
2024-04-02T03,89,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,7,0,0,0,0,13,0,0,0,7,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,5,0,0,0,0,3,0,0,34,0,0,0,1,0,0
2024-04-02T04,94,4,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,8,0,0,0,0,10,0,0,0,8,0,0,1,0,0,0,0,0,0,1,9,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,0,0,1,1,0,29,0,0,0,1,0,0
2024-04-02T05,81,1,0,0,0,1,1,2,0,0,0,1,0,0,1,0,1,8,0,0,0,0,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,5,0,0,1,0,2,1,0,27,0,0,0,0,0,0
2024-04-02T06,93,3,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,3,0,0,0,0,8,0,0,0,6,1,0,0,0,0,0,0,0,0,3,9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,5,1,0,1,1,3,1,0,32,0,0,0,0,1,0
2024-04-02T07,90,1,0,0,0,0,1,2,0,1,1,1,0,0,0,0,0,7,0,0,0,1,9,0,0,0,7,3,0,0,0,0,0,0,0,0,4,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,5,0,0,2,0,5,0,0,19,0,0,0,1,0,0
