bucket,total,--,AE,AF,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BH,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GE,GH,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MK,MM,MN,MO,MU,MX,MY,NC,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SA,SE,SG,SY,SZ,TG,TH,TN,TR,TW,TZ,UA,US,UY,VE,VN,ZA,ZM,ZW
2024-04-21T22,134,2,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,6,0,0,0,0,19,0,0,13,0,0,0,0,0,0,2,0,4,8,0,0,0,1,0,0,0,0,0,0,0,1,0,7,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,9,0,1,0,0,0,0,0,0,1,38,0,0,0,0,0,0
2024-04-21T23,147,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,13,1,0,0,0,21,0,0,10,0,0,0,0,0,0,2,0,2,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,2,0,0,1,6,0,1,0,0,0,0,0,0,0,69,0,0,0,0,0,0
2024-04-22T00,91,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,7,0,0,0,0,19,0,0,6,0,0,0,0,0,0,1,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,38,0,0,0,0,0,0
2024-04-22T01,102,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,11,2,0,0,0,21,0,0,7,0,0,0,0,0,0,1,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0,0,35,0,0,1,0,0,0
2024-04-22T02,116,1,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,7,0,0,0,0,23,0,0,6,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,1,6,0,1,0,1,0,0,1,0,0,43,0,0,2,0,0,0
2024-04-22T03,113,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,5,0,0,0,0,20,0,0,7,0,0,0,0,0,0,0,0,2,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,1,0,0,1,0,1,46,0,0,0,0,0,0
2024-04-22T04,100,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,6,0,0,0,0,11,0,0,8,0,0,0,0,0,0,0,0,4,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,0,1,0,1,0,1,1,0,0,34,0,0,0,1,0,0
2024-04-22T05,101,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,5,1,0,0,0,10,0,0,6,0,0,0,0,0,0,0,0,4,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,1,6,0,1,0,2,0,0,3,0,1,43,0,0,0,0,0,0
2024-04-22T06,90,2,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,3,0,0,0,0,9,0,0,7,0,0,0,0,0,0,0,1,4,4,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,8,0,1,0,0,0,0,2,0,0,26,0,0,0,0,0,0
2024-04-22T07,106,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4,3,0,0,0,12,0,0,8,0,0,0,0,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,4,1,0,1,0,0,0,0,0,1,8,0,1,0,0,0,0,2,0,0,35,0,0,0,1,0,0
