bucket,total,--,AE,AR,AT,AU,BA,BB,BD,BE,BG,BH,BO,BR,BW,BY,CA,CH,CI,CL,CM,CN,CO,CR,CW,CY,CZ,DE,DK,DO,DZ,EC,EE,ES,ET,FI,FR,GB,GQ,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JO,JP,KG,KH,KR,KW,KZ,LA,LB,LT,LU,LV,MA,MD,MK,MM,MO,MU,MV,MX,MY,NC,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PM,PT,PY,RO,RS,RU,RW,SC,SD,SE,SG,SI,SY,TH,TL,TR,TW,UA,US,UY,UZ,VI,VN,ZA,ZM
2024-01-07T10,89,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,8,0,0,0,0,0,23,0,0,0,0,0,1,0,0,4,5,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,2,6,0,0,2,0,0,1,0,15,0,0,0,0,0,0
2024-01-07T11,93,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9,0,0,0,1,0,22,0,0,0,0,0,4,0,0,5,7,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,1,0,0,1,0,19,0,0,0,0,0,0
2024-01-07T12,112,1,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,14,0,0,0,0,0,22,0,0,0,0,0,2,0,0,3,6,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,1,0,0,0,1,0,2,0,0,0,1,6,0,0,3,0,0,3,0,19,0,0,0,0,0,0
2024-01-07T13,127,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,7,0,0,0,0,0,22,0,0,0,0,1,3,0,0,7,9,0,0,4,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,5,0,0,10,0,0,2,0,22,0,0,0,0,0,0
2024-01-07T14,131,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,3,2,0,0,0,11,0,0,0,0,0,24,1,0,0,0,3,1,0,0,6,6,0,0,3,0,0,0,1,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,5,0,0,14,0,0,1,1,16,0,0,0,2,0,0
2024-01-07T15,150,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,8,1,0,0,0,1,0,0,0,0,2,31,0,0,0,0,0,3,0,0,9,8,0,0,1,0,0,0,1,0,1,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,6,0,0,23,0,1,3,0,19,0,0,0,0,0,0
2024-01-07T16,178,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,12,2,0,0,0,9,0,0,0,0,0,26,0,0,0,0,1,1,0,0,10,10,0,0,2,0,0,0,0,0,0,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,2,0,0,0,3,0,5,0,0,0,4,8,0,0,18,0,1,0,2,29,0,0,0,0,0,0
2024-01-07T17,186,1,0,0,0,0,1,0,0,1,1,0,0,2,0,0,3,3,0,0,0,12,0,0,0,0,0,35,0,0,0,0,0,3,0,1,15,11,0,1,1,0,0,0,1,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,0,0,0,1,4,0,1,0,2,0,3,0,1,0,1,6,0,0,18,0,0,1,0,26,0,0,0,0,0,0
2024-01-07T18,199,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,6,1,0,0,0,16,0,0,0,0,0,40,0,0,0,0,0,5,0,0,13,15,0,1,0,0,0,0,1,0,0,0,0,0,17,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,16,2,0,0,0,0,0,2,0,2,0,3,0,2,0,0,0,2,6,0,0,17,0,1,0,0,22,0,0,0,0,0,0
2024-01-07T19,184,2,0,0,1,0,0,0,0,2,2,0,0,2,0,0,5,2,0,0,0,13,0,0,0,0,0,29,1,0,0,0,0,4,0,0,8,17,0,0,1,0,0,0,0,0,0,0,0,1,9,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,18,4,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,2,7,0,0,10,0,0,0,1,27,0,0,0,0,1,0
2024-01-07T20,180,1,0,0,0,0,1,0,0,1,1,0,1,3,0,0,9,3,0,0,0,14,0,0,0,0,0,26,0,0,0,0,0,4,0,0,10,18,0,0,0,0,0,0,0,0,0,1,0,1,15,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,17,3,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,2,7,0,0,6,0,0,0,0,24,0,0,0,0,1,0
2024-01-07T21,172,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,5,3,0,0,0,12,0,0,0,0,0,22,0,0,0,0,0,4,0,0,8,18,0,0,0,0,0,0,0,0,0,0,0,0,25,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,1,0,0,1,1,3,0,0,0,1,6,1,0,6,0,0,0,1,26,0,0,0,0,0,0
2024-01-07T22,138,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7,3,0,1,1,9,0,0,0,1,0,12,0,0,0,0,0,3,0,0,4,14,0,0,1,0,0,0,0,0,0,1,0,0,16,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,5,1,0,4,0,0,0,0,24,0,0,0,0,1,0
2024-01-07T23,115,2,0,0,0,0,0,2,0,0,1,0,0,3,0,0,5,1,0,0,0,5,0,0,0,0,0,7,0,0,1,0,0,1,0,0,6,7,0,0,1,0,0,0,0,0,0,1,1,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,5,1,0,7,0,0,0,1,32,0,0,0,0,0,0
2024-01-08T00,114,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,12,1,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,1,0,0,2,7,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,6,0,0,6,0,0,1,0,49,0,0,0,0,0,0
2024-01-08T01,90,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,3,0,0,0,0,32,0,0,0,0,0,0
2024-01-08T02,92,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,4,1,0,1,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,6,0,0,6,0,0,0,0,40,0,0,0,1,0,0
2024-01-08T03,83,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,11,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,4,0,1,1,0,32,0,0,0,1,0,0
2024-01-08T04,65,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,2,0,0,0,0,31,0,0,0,0,0,0
2024-01-08T05,71,6,1,0,1,3,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,1,0,0,0,1,0,3,0,0,0,0,5,0,0,1,0,0,1,0,18,0,0,0,0,0,0
2024-01-08T06,86,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,5,0,0,3,0,0,3,1,19,0,0,0,2,0,0
2024-01-08T07,65,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,1,0,1,1,0,0,3,5,0,0,0,0,1,1,0,16,0,1,0,1,0,0
2024-01-08T08,61,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,3,0,0,0,2,0,0,0,0,0,0,5,0,0,1,0,0,0,0,17,0,0,0,1,0,0
2024-01-08T09,64,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,2,0,3,0,0,0,0,8,0,0,1,0,0,1,0,15,0,0,0,0,0,0
2024-01-08T10,83,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,5,0,0,3,0,0,1,0,18,0,0,0,0,0,0
2024-01-08T11,108,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,5,0,0,0,0,0,7,1,0,0,0,0,2,0,0,3,7,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,1,0,2,0,4,0,0,0,1,5,0,0,8,0,0,2,0,36,0,0,0,0,0,0
2024-01-08T12,125,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,2,1,0,0,0,0,9,1,0,0,0,0,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,1,0,1,0,4,0,0,0,2,5,0,0,19,0,1,2,0,45,0,0,0,0,1,0
2024-01-08T13,107,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,5,1,0,0,0,0,9,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,2,0,3,0,1,0,1,0,3,0,0,0,1,5,0,0,15,0,2,1,0,21,0,0,0,0,0,0
2024-01-08T14,113,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,8,0,0,0,0,0,10,1,0,0,0,0,0,0,0,8,6,0,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,2,0,5,0,0,0,1,0,6,0,0,0,0,5,0,0,10,0,2,4,0,17,0,0,0,2,0,0
2024-01-08T15,136,2,0,1,2,0,0,0,0,0,1,0,0,1,0,0,6,1,0,0,0,3,0,0,0,0,0,14,1,0,0,0,0,0,0,0,6,7,0,0,3,0,0,0,1,0,0,2,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,2,1,5,0,1,0,3,0,2,0,0,0,2,8,0,0,17,0,0,3,0,23,0,0,0,1,0,0
2024-01-08T16,149,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,3,2,0,0,0,7,0,0,0,0,1,23,0,0,0,0,0,4,0,0,15,14,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,1,0,1,0,2,0,1,0,1,0,4,0,0,0,2,5,0,0,16,0,2,2,1,19,0,0,0,0,0,0
2024-01-08T17,149,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,2,0,0,0,4,0,0,0,1,0,24,0,0,0,0,0,5,0,2,11,10,0,0,0,1,0,0,0,0,0,0,0,1,14,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,2,0,2,0,1,0,0,0,3,10,0,0,15,0,1,1,0,22,0,0,1,2,0,0
2024-01-08T18,187,0,0,0,2,1,0,0,0,2,0,0,0,1,0,0,5,2,0,0,0,5,1,0,0,0,0,36,0,0,0,0,0,3,0,0,11,10,0,0,0,1,0,0,0,0,0,1,0,2,18,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,4,0,0,0,5,0,2,0,0,0,3,6,1,0,8,0,1,2,0,28,0,0,0,3,0,0
2024-01-08T19,193,1,0,0,2,0,0,0,0,3,0,0,0,1,0,0,3,1,0,0,0,2,1,0,0,0,0,37,0,0,0,0,0,4,0,0,13,20,1,0,0,0,0,0,0,0,0,2,0,1,10,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,25,3,0,0,0,0,0,4,0,1,0,1,0,5,0,0,0,5,5,0,0,5,0,1,1,0,25,0,0,0,1,0,0
2024-01-08T20,135,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,7,1,0,0,0,5,0,0,0,0,0,21,0,0,0,0,0,2,0,0,10,8,0,0,0,0,0,0,0,0,0,1,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,1,0,0,0,0,0,5,0,1,0,3,0,3,0,0,0,5,5,1,0,3,0,2,1,0,16,0,0,0,0,0,0
2024-01-08T21,143,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,10,2,0,0,0,3,0,1,0,0,1,20,0,0,0,0,0,1,0,0,12,10,0,0,0,0,0,0,0,0,1,0,0,0,17,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,4,0,1,0,2,0,2,0,0,0,1,6,0,0,2,0,1,1,0,25,0,0,0,0,0,0
2024-01-08T22,130,1,0,1,0,0,1,0,0,0,1,0,0,2,0,0,7,1,0,0,0,6,1,0,0,0,1,13,0,0,0,0,0,3,0,0,3,10,0,0,1,0,0,0,0,0,0,2,0,0,17,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,10,0,0,4,0,0,0,0,28,0,0,0,0,0,0
2024-01-08T23,105,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3,1,0,0,0,5,1,0,0,0,0,12,0,0,0,0,0,1,0,1,4,7,0,0,1,0,0,0,0,0,0,2,0,0,6,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,1,10,0,0,4,0,0,0,0,22,0,0,0,0,0,0
2024-01-09T00,91,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,10,1,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,6,0,0,2,0,0,0,0,30,0,0,0,1,0,0
2024-01-09T01,90,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,13,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,1,0,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,5,0,0,2,0,0,0,0,34,0,0,0,0,0,0
2024-01-09T02,79,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,6,0,0,2,0,0,0,0,34,0,0,0,0,0,0
2024-01-09T03,72,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0,0,1,6,0,0,1,0,0,0,0,25,0,0,0,1,0,0
2024-01-09T04,79,2,0,1,0,1,0,0,0,0,0,0,0,2,0,0,6,2,0,0,0,10,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,6,0,0,4,0,0,0,1,23,0,0,0,0,0,0
2024-01-09T05,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,1,0,0,0,0,8,0,0,0,0,0,0,0,0,3,4,0,0,2,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,2,1,25,0,0,0,1,0,0
2024-01-09T06,73,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,18,1,0,0,0,0,6,0,0,0,0,0,1,0,0,3,4,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,5,0,0,2,0,0,0,0,17,0,0,0,1,0,0
2024-01-09T07,77,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,4,0,1,0,0,0,1,5,0,0,3,0,0,0,0,32,0,0,0,0,0,0
2024-01-09T08,84,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,15,0,0,0,0,1,9,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,0,0,5,0,0,2,0,0,0,0,15,0,0,0,1,0,0
2024-01-09T09,84,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,12,0,0,0,0,0,13,0,0,1,0,0,0,0,0,5,7,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,6,0,0,2,0,0,2,0,17,0,0,0,1,0,0
2024-01-09T10,78,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,1,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,5,0,0,4,0,0,2,0,14,0,0,0,0,0,0
