bucket,total,--,AE,AL,AM,AR,AT,AU,BA,BD,BE,BG,BI,BO,BR,BY,CA,CH,CL,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KH,KR,KZ,LA,LB,LK,LT,LU,LV,MD,MK,MM,MN,MO,MT,MX,MY,MZ,NC,NG,NI,NL,NO,NP,NZ,PE,PH,PK,PL,PM,PT,PY,RO,RS,RU,RW,SC,SE,SG,SI,SK,SV,TH,TN,TR,TT,TW,TZ,UA,US,UY,UZ,VE,VN,ZA
2024-02-25T23,127,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,3,0,8,0,0,0,9,0,0,0,0,0,0,4,0,4,8,0,0,0,0,0,0,0,0,0,0,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,5,0,0,0,3,0,0,0,0,0,0,47,0,0,0,0,1
2024-02-26T00,107,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,1,0,9,0,0,0,5,0,0,0,0,0,0,3,0,4,7,0,0,0,0,0,0,0,1,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,2,0,0,0,0,0,1,41,0,0,0,1,0
2024-02-26T01,98,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,6,1,0,9,0,0,0,3,0,0,0,0,0,1,2,0,1,6,0,0,0,0,0,0,0,1,0,0,5,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,5,0,0,0,1,0,0,0,0,0,0,41,0,0,0,0,0
2024-02-26T02,85,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,3,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,5,0,0,0,1,0,0,0,1,0,0,40,0,0,0,0,0
2024-02-26T03,95,2,0,0,0,0,0,3,0,1,0,0,0,0,1,0,7,0,0,8,0,0,0,4,0,0,0,0,0,1,1,0,0,4,0,1,0,0,1,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,5,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0
2024-02-26T04,77,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,9,0,0,0,4,0,0,0,0,0,1,1,0,0,4,0,0,0,0,1,0,0,1,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0
2024-02-26T05,82,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,10,0,0,0,3,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,1,0,0,38,0,0,0,0,0
2024-02-26T06,72,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,4,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,2,0,0,0,1,0,0,25,0,0,0,0,1
2024-02-26T07,104,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,11,0,0,0,7,1,0,0,0,0,0,2,0,3,3,0,2,0,0,1,0,0,1,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,3,1,0,2,7,0,0,0,2,0,0,0,0,0,1,36,0,0,0,0,0
2024-02-26T08,85,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,9,0,0,0,10,0,0,0,0,0,0,2,0,1,4,0,1,1,1,1,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,1,7,0,0,0,3,0,0,0,0,0,0,24,0,0,0,1,0
2024-02-26T09,100,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,7,0,0,0,11,0,0,0,0,0,0,3,0,1,3,0,1,0,0,1,1,0,2,0,1,2,9,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,0,1,7,0,0,0,3,0,0,0,0,0,0,25,0,0,0,1,0
