bucket,total,--,AE,AM,AR,AT,AU,BA,BD,BE,BG,BH,BI,BO,BR,BY,BZ,CA,CH,CL,CM,CN,CO,CR,CW,CZ,DE,DK,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KG,KH,KN,KR,KZ,LA,LK,LT,LV,MA,MD,MK,MM,MN,MO,MX,MY,MZ,NC,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PR,PT,PY,RO,RU,RW,SA,SE,SG,SK,SV,SY,SZ,TH,TN,TR,TW,UA,UG,US,VE,VN,ZA,ZM
2024-03-17T21,133,2,0,0,0,0,1,0,0,3,0,0,0,0,2,0,0,6,2,0,0,5,0,0,0,0,15,0,0,0,0,0,3,0,0,6,12,0,0,1,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,3,0,0,0,1,0,0,0,2,6,0,0,0,0,0,0,1,0,0,0,32,0,0,1,0
2024-03-17T22,136,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,5,3,0,0,11,0,0,0,0,14,0,0,0,0,0,4,0,2,5,9,0,0,0,0,0,0,0,0,0,1,0,0,0,18,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,7,0,0,0,0,1,0,1,0,0,1,31,0,0,0,0
2024-03-17T23,108,4,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,6,0,0,0,9,0,0,0,0,5,0,1,0,0,0,2,0,0,4,8,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8,0,0,0,0,1,0,0,0,0,1,30,0,0,0,0
2024-03-18T00,141,2,0,1,0,0,1,0,0,1,2,0,1,0,1,0,1,3,0,0,0,9,0,0,0,0,9,0,0,0,0,0,2,0,0,3,8,0,0,0,0,0,0,1,0,0,4,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,64,0,0,0,0
2024-03-18T01,103,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,1,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,12,0,2,0,0,0,2,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0
2024-03-18T02,86,3,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,4,1,0,0,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8,0,0,0,0,2,0,0,0,0,0,33,0,0,0,0
2024-03-18T03,97,2,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,6,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,1,10,0,0,0,0,2,0,0,0,0,0,39,0,0,0,0
2024-03-18T04,138,4,0,0,0,0,1,0,1,3,0,0,0,0,1,0,0,5,1,0,0,14,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,1,0,0,60,0,0,0,0
2024-03-18T05,126,3,0,0,0,0,19,0,1,0,1,0,0,0,1,0,0,4,0,0,0,15,0,0,0,0,8,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,15,0,0,0,0,1,0,0,2,0,0,39,0,0,0,0
2024-03-18T06,119,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,3,0,0,0,19,0,0,0,0,6,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,4,0,0,53,0,0,0,0
2024-03-18T07,78,2,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,1,0,0,17,0,0,0,0,7,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,5,0,0,0,0,1,0,0,1,0,0,23,0,0,0,0
2024-03-18T08,111,2,0,0,0,0,3,0,1,4,0,0,0,0,0,0,0,3,1,0,0,25,0,0,0,0,13,0,0,0,0,0,1,0,0,1,4,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,26,0,1,0,0
2024-03-18T09,135,3,1,0,0,0,2,0,1,3,1,0,0,0,0,0,0,2,0,0,0,20,0,0,0,0,13,0,0,0,0,0,2,0,0,4,5,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,1,3,0,0,1,10,0,0,0,0,2,0,0,6,0,0,25,0,0,0,0
2024-03-18T10,140,5,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,2,1,0,0,13,0,0,0,0,15,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,0,0,0,6,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,5,0,0,0,10,0,0,0,0,2,0,0,3,0,0,44,0,0,1,0
2024-03-18T11,92,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,2,0,0,9,0,0,0,0,10,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,6,0,0,0,0,4,0,0,6,0,0,23,0,1,0,0
2024-03-18T12,119,2,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,1,3,0,0,5,0,0,0,0,11,0,0,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,3,0,0,0,0,0,0,0,1,8,0,0,0,0,9,0,0,5,0,0,40,0,0,0,0
2024-03-18T13,131,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,3,3,0,0,11,0,0,0,0,13,0,0,0,0,0,0,0,0,5,7,0,0,4,0,0,0,3,0,0,2,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,13,0,0,0,0,12,0,0,6,0,0,25,0,1,0,0
2024-03-18T14,232,2,1,0,0,1,1,0,0,4,1,0,0,0,0,0,0,8,4,0,0,13,0,0,0,0,15,0,0,0,0,0,1,0,0,4,8,0,0,4,0,0,0,3,0,0,2,0,0,0,4,0,21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,0,1,0,0,0,1,4,0,0,1,11,0,0,0,0,14,0,0,6,1,0,75,0,1,9,0
2024-03-18T15,213,2,0,0,0,3,1,0,0,5,0,0,0,0,1,0,0,10,1,0,0,15,0,0,0,0,16,1,0,0,0,0,0,0,0,7,10,0,0,2,0,0,0,2,0,0,0,0,0,0,3,0,18,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,1,0,1,0,1,0,1,10,0,0,3,10,0,0,0,0,11,0,0,4,0,0,62,0,0,0,0
2024-03-18T16,139,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,4,1,0,0,8,0,0,0,0,22,0,0,0,0,0,0,0,0,16,7,0,0,1,0,0,0,0,0,0,6,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,1,0,1,0,1,1,1,0,2,6,0,0,0,0,9,0,0,2,0,0,26,0,0,0,0
2024-03-18T17,145,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,5,1,0,0,5,0,0,0,0,22,0,0,0,0,0,1,0,0,17,7,0,0,0,0,0,1,0,0,0,1,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,2,2,1,0,4,8,0,0,0,0,9,0,0,0,1,0,26,0,0,0,0
2024-03-18T18,286,7,0,1,0,1,1,1,1,2,1,2,1,0,3,0,0,7,2,1,0,5,0,0,0,0,50,0,0,0,0,0,3,0,0,15,14,0,0,3,0,0,0,2,1,0,17,0,0,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,14,3,1,0,0,1,0,2,0,0,0,2,8,1,0,8,14,1,0,0,0,8,0,0,1,1,0,61,0,1,0,0
2024-03-18T19,177,3,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,5,1,0,0,5,0,0,0,0,42,0,0,0,0,0,4,0,0,8,16,0,0,2,0,0,0,1,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,1,0,0,0,0,0,1,0,1,0,3,2,0,0,4,10,0,0,0,0,7,0,1,1,0,0,24,0,1,0,0
2024-03-18T20,214,2,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,8,2,0,0,8,1,0,0,0,30,0,0,0,0,0,3,0,0,13,16,0,0,0,0,0,0,0,0,0,4,0,0,0,16,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,1,0,3,0,0,0,2,3,0,0,2,5,0,0,0,0,6,0,1,2,0,0,59,0,0,0,0
2024-03-18T21,204,4,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0,9,2,0,0,11,1,0,0,0,27,0,0,0,0,0,2,0,0,7,13,1,0,1,0,1,0,0,0,0,1,0,3,0,17,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,2,0,0,5,5,0,0,0,0,3,0,3,0,0,0,47,0,1,0,1
2024-03-18T22,223,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,10,3,0,0,13,0,0,0,1,18,0,0,0,0,0,1,0,0,6,11,1,0,1,0,0,0,0,0,0,8,0,3,0,17,0,21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,2,0,0,0,1,3,0,0,1,10,0,0,0,0,4,0,1,0,0,0,69,0,1,0,1
2024-03-18T23,143,3,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,11,3,0,0,5,0,0,0,0,11,0,0,0,0,0,1,0,0,4,13,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,11,0,0,0,0,3,0,1,1,0,0,34,0,0,0,0
2024-03-19T00,152,4,0,0,0,0,1,0,1,3,1,0,0,0,2,0,0,10,3,0,0,8,0,0,0,0,10,0,1,0,0,0,0,0,0,4,12,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,8,0,0,0,0,0,0,0,3,0,0,54,0,0,0,0
2024-03-19T01,105,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,2,0,0,0,8,0,0,0,0,0,0,0,0,4,3,0,0,0,0,1,0,0,0,0,2,0,0,0,5,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,4,0,0,2,7,0,0,0,0,3,0,0,1,0,0,38,0,0,1,0
2024-03-19T02,80,2,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,6,0,0,0,9,1,0,0,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0
2024-03-19T03,81,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,3,0,0,1,5,0,0,0,0,0,0,1,0,0,0,39,0,0,2,0
2024-03-19T04,78,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,41,0,3,1,0
2024-03-19T05,62,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,30,0,1,0,0
2024-03-19T06,69,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,4,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,3,0,0,0,6,0,0,0,0,2,0,0,6,0,0,19,0,1,0,0
2024-03-19T07,59,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,5,0,0,0,0,1,0,0,0,0,0,28,0,1,0,0
2024-03-19T08,83,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,7,1,0,0,0,9,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,2,0,0,1,5,0,0,0,0,2,0,0,1,1,0,32,0,1,0,0
2024-03-19T09,79,3,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,10,1,0,0,0,10,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,25,0,1,0,0
2024-03-19T10,99,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,4,1,0,0,9,0,0,0,0,8,0,0,1,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,1,1,2,0,0,0,6,0,0,0,0,1,0,0,1,0,0,31,0,0,0,0
2024-03-19T11,120,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,8,0,0,0,0,9,1,0,1,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,1,0,0,0,2,0,0,1,2,3,0,0,1,6,0,0,0,0,2,0,0,6,0,0,49,0,1,0,0
