bucket,total,--,AD,AE,AO,AR,AT,AU,BA,BD,BE,BG,BO,BR,BT,BW,BY,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GM,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KH,KR,KZ,LA,LK,LT,LU,LV,MA,MD,MK,MM,MO,MT,MU,MW,MX,MY,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,PY,RO,RU,RW,SE,SG,SK,SN,TG,TH,TN,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA,ZM
2024-03-11T05,99,3,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,8,0,0,0,15,0,0,0,3,0,0,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,2,0,0,0,3,0,0,10,0,0,0,0,0,0,1,0,0,20,0,0,0,1,0,0
2024-03-11T06,100,3,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,4,0,0,0,14,0,0,0,5,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,5,0,0,0,4,0,0,1,0,0,46,0,0,0,0,1,0
2024-03-11T07,119,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,18,0,0,0,16,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,2,0,1,6,0,0,0,8,0,0,0,0,0,50,0,0,0,0,0,0
2024-03-11T08,89,3,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,2,1,0,0,22,0,0,0,10,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,1,1,0,0,5,0,0,0,4,0,0,0,0,0,19,0,0,0,0,0,0
2024-03-11T09,124,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,1,1,0,18,0,0,0,14,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,16,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,2,0,0,1,6,0,0,0,6,0,0,1,1,0,36,0,0,0,0,0,0
2024-03-11T10,142,3,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,2,0,0,0,15,0,0,0,15,0,0,0,0,0,0,1,0,0,3,4,0,0,2,0,0,0,0,10,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,1,0,1,0,0,1,0,0,0,17,0,0,0,9,0,0,2,0,0,42,0,0,0,0,0,0
2024-03-11T11,133,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,18,1,0,0,6,0,0,0,0,0,0,0,0,0,3,5,0,0,2,0,0,0,0,4,0,0,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,2,3,0,1,7,0,0,0,7,0,0,5,0,0,37,0,0,0,0,0,0
2024-03-11T12,149,1,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,2,1,0,0,21,1,0,0,7,0,0,0,0,0,0,0,0,0,2,12,0,0,2,0,0,0,0,0,0,0,0,1,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,1,0,0,0,3,0,0,8,0,0,0,8,0,0,3,0,0,49,0,0,1,0,0,0
2024-03-11T13,165,3,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,2,0,0,18,0,0,0,16,0,0,0,0,0,0,1,0,0,4,7,0,0,4,0,0,1,0,5,0,0,0,1,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,1,0,0,1,1,0,0,7,0,0,0,11,0,0,1,0,0,53,0,0,1,0,1,0
2024-03-11T14,217,4,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,2,1,0,0,20,0,1,0,16,0,0,0,0,0,0,1,0,0,5,6,0,0,3,0,0,1,0,11,0,2,0,1,0,9,16,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,1,2,0,2,0,0,0,4,0,1,14,0,0,0,18,0,0,2,0,0,60,0,0,1,0,0,0
