bucket,total,--,AE,AR,AT,AU,BA,BB,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CZ,DE,DK,EE,ES,FI,FR,GB,GF,GR,HK,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KE,KH,KR,LA,LK,LT,LU,LV,MD,ME,MM,MN,MO,MU,MX,MY,NC,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SE,SG,SK,TH,TN,TR,TW,UA,US,UZ,VE,VN,ZA
2024-05-06T06,114,1,0,0,0,2,0,0,1,1,2,0,0,0,4,0,0,0,0,3,0,0,9,0,0,0,0,1,4,0,0,2,0,0,0,0,0,0,0,2,8,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9,0,3,0,0,3,1,51,0,0,0,0
2024-05-06T07,90,2,0,0,0,1,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,0,9,1,0,0,0,2,4,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,5,0,0,0,0,0,1,0,1,12,0,2,0,0,1,0,30,0,0,0,0
2024-05-06T08,112,4,0,0,0,1,0,0,0,2,1,0,0,0,2,1,0,0,0,9,0,1,7,0,0,1,0,3,8,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,1,0,0,0,3,0,3,0,1,9,0,6,0,0,1,0,26,0,0,0,0
2024-05-06T09,104,1,0,0,1,2,0,0,0,0,1,0,1,0,4,2,0,0,0,9,0,1,10,0,0,0,0,1,7,0,0,4,0,0,0,0,1,0,0,3,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,4,0,0,1,0,10,0,4,0,0,4,0,19,0,0,1,0
2024-05-06T10,106,2,0,0,0,2,0,0,0,0,1,0,1,0,6,2,0,0,0,18,0,0,12,0,0,1,0,4,6,0,0,0,0,1,0,0,1,0,1,2,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,2,0,0,6,0,4,0,0,2,0,21,0,0,1,0
2024-05-06T11,124,1,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,24,0,0,6,0,0,0,0,3,14,0,0,1,0,0,10,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,0,0,4,0,1,0,0,7,0,5,0,0,5,0,23,0,0,0,0
2024-05-06T12,168,2,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,22,1,0,10,0,0,2,0,6,11,0,0,1,0,0,0,0,6,0,1,0,15,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0,0,0,3,0,1,0,0,12,0,10,0,2,6,0,44,0,0,0,0
2024-05-06T13,158,3,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,22,0,0,16,0,0,0,0,7,14,0,0,3,0,0,6,0,1,0,0,4,13,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,3,0,0,0,1,8,0,12,0,1,5,0,22,0,0,0,0
2024-05-06T14,207,3,0,0,0,1,0,0,0,0,1,0,2,0,5,1,0,0,0,14,0,0,19,0,3,0,0,9,10,0,0,1,0,0,3,0,2,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,2,0,0,1,2,14,0,11,0,1,5,0,84,0,0,0,0
2024-05-06T15,157,2,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,13,0,0,17,0,2,0,0,14,14,0,0,1,1,0,0,0,1,0,0,9,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,2,0,4,1,1,10,0,16,0,1,5,0,29,0,0,0,0
2024-05-06T16,202,2,0,0,1,3,0,1,0,0,1,0,0,0,2,1,1,0,0,14,0,0,22,0,0,0,0,23,16,0,0,0,1,0,12,0,1,0,0,9,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,5,2,0,0,0,1,1,0,0,0,0,5,0,3,0,1,9,0,7,0,1,1,0,52,0,0,0,0
2024-05-06T17,199,2,0,0,0,1,1,0,0,1,1,0,1,0,5,3,1,0,1,21,0,0,28,0,2,3,0,14,14,0,0,2,1,0,0,1,1,0,0,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,2,0,5,0,4,8,0,13,0,2,0,0,40,0,0,0,0
2024-05-06T18,225,2,0,0,0,2,1,0,0,0,1,0,1,0,3,5,0,1,0,21,1,0,41,0,0,2,0,13,14,0,0,0,0,0,0,0,1,0,0,8,14,0,0,4,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,18,3,0,0,0,0,0,2,0,1,0,1,0,5,0,1,7,0,9,0,3,1,0,35,0,0,0,0
