bucket,total,--,AE,AF,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BO,BR,BY,CA,CH,CL,CN,CO,CY,CZ,DE,DK,DO,DZ,EC,EE,ES,ET,FI,FR,GB,GE,GH,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KE,KH,KR,KZ,LA,LT,LV,MA,MC,MD,MM,MN,MO,MX,MY,NC,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PR,PS,PT,PY,RO,RU,RW,SC,SD,SE,SG,SI,SK,TH,TN,TR,TT,TW,UA,UG,US,UY,UZ,VE,VN,ZA
2024-01-29T06,87,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,4,0,0,0,3,0,0,46,0,0,0,0,0
2024-01-29T07,86,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,1,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,5,0,0,4,0,0,0,2,0,0,43,0,0,0,0,0
2024-01-29T08,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,9,0,0,0,11,0,0,0,0,0,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,5,0,0,3,0,0,0,2,0,0,17,0,0,0,0,1
2024-01-29T09,109,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,12,0,0,0,11,0,0,0,0,0,1,0,1,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,1,10,0,0,2,0,0,0,2,1,0,34,0,0,0,1,0
2024-01-29T10,94,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,1,0,18,0,0,0,10,0,0,0,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,8,0,0,1,0,0,0,2,0,0,21,0,0,1,1,0
2024-01-29T11,100,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,20,0,0,0,8,1,0,0,0,0,1,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,1,2,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,2,0,0,0,1,0,0,0,0,3,2,0,1,0,2,5,0,0,3,0,0,0,6,0,0,16,0,0,1,1,1
2024-01-29T12,103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,15,0,0,0,11,1,0,0,0,0,1,0,0,2,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,4,0,2,0,0,0,2,3,3,0,0,0,0,5,0,0,6,0,0,0,2,0,0,26,0,0,0,0,0
2024-01-29T13,110,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,18,0,0,0,9,1,0,1,0,0,1,0,0,7,11,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,2,0,0,0,0,0,2,4,1,0,0,0,0,5,0,1,8,1,0,0,2,0,0,21,0,0,0,0,0
2024-01-29T14,121,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,2,0,0,19,0,0,0,13,1,0,1,0,0,0,0,0,10,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,2,0,2,0,0,1,1,4,2,0,0,0,0,5,0,0,5,1,0,0,1,0,0,22,0,0,0,0,1
2024-01-29T15,151,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,16,0,0,0,16,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,1,0,0,0,0,1,0,2,2,0,0,0,2,5,0,0,8,0,0,0,2,0,0,46,0,0,0,1,1
