bucket,total,--,AE,AM,AR,AT,AU,BA,BD,BE,BG,BO,BR,BT,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,EC,EE,EG,ES,FI,FR,GB,GE,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KH,KR,KZ,LA,LB,LT,LU,LV,MA,MD,MK,MM,MN,MT,MU,MX,MY,NG,NI,NL,NO,NZ,PE,PH,PK,PL,PT,PY,RO,RS,RU,RW,SE,SG,SK,SN,SZ,TH,TL,TR,TW,UA,UG,US,VE,VN,ZA,ZW
2024-04-15T01,80,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,7,0,2,0,0,6,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,10,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,29,0,0,0,0
2024-04-15T02,103,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,1,0,0,0,20,0,0,0,0,5,0,0,0,0,0,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,1,1,0,0,3,0,0,38,0,0,0,0
2024-04-15T03,118,0,0,0,0,0,1,0,2,0,2,0,2,0,0,0,8,0,0,0,0,20,0,0,0,0,3,0,0,0,0,2,0,0,3,0,0,0,2,0,0,0,0,10,0,0,0,0,0,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0,0,1,1,0,0,0,0,0,39,0,0,0,0
2024-04-15T04,83,1,0,0,0,0,1,1,1,0,2,0,0,0,0,0,7,0,0,0,0,9,0,0,0,0,5,0,0,0,0,0,0,2,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,4,0,0,29,0,0,0,0
2024-04-15T05,99,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,4,0,1,1,0,12,0,0,0,0,5,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,0,1,2,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,2,0,1,5,0,0,1,0,0,1,1,0,0,31,1,0,0,0
2024-04-15T06,126,2,0,0,0,0,2,0,1,1,1,0,0,0,0,0,1,0,0,1,0,19,0,0,0,0,6,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,5,0,1,2,18,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,2,0,2,0,0,11,0,0,1,5,0,0,0,0,0,28,1,0,1,0
2024-04-15T07,106,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,2,0,1,0,12,0,0,0,0,9,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,1,0,1,3,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3,0,0,0,0,1,0,0,8,0,0,1,1,0,1,0,0,0,25,0,1,0,0
2024-04-15T08,83,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,4,0,0,1,0,6,0,0,0,0,8,0,0,0,0,0,0,6,4,0,0,0,0,0,0,1,1,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,1,0,1,0,2,0,0,1,0,1,0,0,6,0,0,1,5,0,0,0,0,1,18,0,0,0,0
2024-04-15T09,86,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,12,0,0,0,0,10,0,0,0,0,0,0,1,6,0,0,0,2,0,0,1,0,0,0,2,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,1,0,0,0,0,1,0,0,5,0,0,1,5,0,0,2,1,0,17,0,0,0,0
2024-04-15T10,88,3,0,0,1,0,2,0,1,0,1,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,4,5,0,0,0,1,0,0,1,0,4,0,1,1,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,3,0,0,4,0,1,0,1,5,0,0,1,8,0,0,0,0,0,12,0,0,0,0
