bucket,total,--,AE,AM,AO,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BO,BR,BS,BW,BY,CA,CH,CI,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,GT,HK,HN,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JE,JO,JP,KE,KH,KR,KW,KY,KZ,LA,LB,LI,LK,LT,LU,LV,LY,MA,MC,MD,ME,MK,MM,MN,MO,MR,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NG,NI,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,QA,RE,RO,RS,RU,RW,SA,SC,SD,SE,SG,SI,SK,SR,SV,SY,TH,TM,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VN,WS,ZA,ZM,ZW
2023-03-21,2024,11,1,0,0,5,4,42,0,0,0,2,6,0,0,0,14,0,0,0,81,4,0,2,0,80,3,0,0,1,0,182,1,1,0,0,0,1,21,0,1,99,99,0,0,2,0,22,0,3,0,0,4,30,0,39,0,2,0,70,0,0,69,2,1,57,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,2,1,0,1,0,0,0,0,0,7,10,0,0,0,0,0,0,64,2,0,1,1,2,3,1,4,0,0,2,1,0,0,7,0,11,0,0,1,0,31,17,0,0,0,0,0,28,0,1,10,0,18,0,3,0,796,0,0,1,6,0,26,0,0
2023-03-22,1843,12,0,0,0,10,4,13,0,0,0,2,5,1,20,0,15,0,0,4,79,9,0,5,0,86,2,0,0,1,0,184,4,1,0,0,0,1,32,0,1,91,100,0,0,2,0,12,0,0,0,0,6,15,0,39,0,6,0,72,0,0,69,1,2,20,0,0,0,0,0,0,1,3,0,2,0,2,0,0,1,2,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,57,4,0,0,2,1,5,0,9,2,0,6,1,0,0,12,1,23,0,1,1,0,17,25,0,0,0,0,0,48,0,1,9,0,18,0,6,0,642,0,0,0,7,0,3,0,0
2023-03-23,1420,17,5,0,0,5,6,7,0,0,0,3,7,1,0,0,18,0,0,4,81,7,1,6,0,65,3,0,0,0,2,191,1,1,0,0,0,0,30,0,2,68,106,1,0,2,0,47,0,0,0,0,8,6,1,17,1,1,0,76,1,1,12,0,2,23,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,2,1,0,0,0,0,1,0,0,1,6,0,0,0,0,2,0,87,0,0,0,0,2,3,2,6,2,0,6,1,0,0,7,0,15,1,1,2,0,23,24,1,3,0,0,0,49,0,0,10,0,30,0,3,0,281,0,0,2,3,0,1,0,1
2023-03-24,1571,22,2,0,0,8,5,11,0,0,0,1,5,0,9,1,16,0,0,0,64,12,0,1,1,82,6,0,0,0,1,187,3,1,0,0,0,0,24,0,2,88,74,2,0,2,0,21,0,0,0,1,4,1,0,26,0,1,0,81,0,0,66,0,1,25,0,0,1,2,0,0,0,2,0,1,0,1,0,1,0,2,1,1,2,0,0,0,0,0,2,6,0,0,0,0,0,0,82,3,0,7,0,1,8,0,6,0,0,8,0,0,0,10,0,17,2,0,3,0,24,21,2,1,0,0,0,33,0,1,10,0,38,1,4,0,392,1,0,1,9,0,7,0,0
2023-03-25,1937,19,5,0,0,5,2,50,0,0,0,0,4,2,24,0,17,0,0,0,80,12,0,4,0,87,1,1,0,0,1,203,1,0,0,0,0,0,29,0,2,101,83,0,0,4,0,61,0,3,0,1,4,2,1,28,0,6,1,88,0,0,57,0,3,20,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,2,1,0,3,0,0,0,0,0,4,2,0,0,0,0,0,0,82,3,0,9,0,1,7,2,14,0,0,12,1,1,0,7,0,17,0,1,1,0,13,12,1,0,0,0,0,40,0,0,9,0,39,0,3,0,610,1,0,1,3,0,18,0,0
2023-03-26,2055,19,1,0,0,10,1,46,0,0,0,1,6,0,6,0,25,0,1,0,87,10,0,6,0,69,6,0,0,0,1,218,3,0,0,2,0,0,29,0,3,114,77,1,0,3,0,30,0,0,0,2,4,3,2,41,0,3,0,103,0,0,65,0,4,16,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,6,7,0,0,0,0,0,0,78,2,0,8,0,1,9,1,11,0,0,6,0,0,0,11,0,33,1,0,1,0,20,15,0,0,0,0,0,40,0,0,7,0,30,0,5,0,701,0,0,2,12,0,21,0,0
2023-03-27,1532,19,1,1,0,6,2,3,0,0,0,2,5,4,0,0,16,0,0,2,65,6,0,4,0,79,3,0,0,0,3,201,3,1,1,1,0,1,27,1,0,60,74,0,0,1,0,16,0,1,0,2,7,9,0,26,0,2,0,76,0,1,21,0,3,24,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,6,2,1,0,0,0,0,0,78,2,0,10,1,0,6,0,14,0,0,5,0,0,0,7,0,21,0,0,1,0,13,21,1,3,0,0,0,44,0,0,5,0,26,0,3,0,461,0,0,1,9,0,4,0,0
2023-03-28,1799,19,0,0,0,6,4,51,0,0,0,2,8,0,0,0,16,0,0,5,90,9,0,2,0,77,2,0,0,0,5,161,2,1,0,1,1,0,19,0,5,72,84,0,0,0,0,57,1,0,0,0,3,10,0,41,1,4,0,72,0,0,56,0,3,18,0,0,1,0,0,0,0,3,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,1,78,3,0,5,2,1,4,3,5,0,0,4,1,0,0,4,2,28,1,0,0,0,20,15,0,1,0,0,0,26,0,0,8,1,25,0,7,0,612,0,2,0,6,1,3,0,0
2023-03-29,2383,16,1,0,0,9,13,19,0,0,1,3,11,5,0,1,26,1,0,3,103,28,0,14,0,81,6,3,1,0,12,181,7,1,0,0,1,2,26,1,4,110,113,0,1,2,1,57,0,0,1,2,3,49,2,32,0,6,2,103,0,0,43,0,0,25,0,0,1,0,0,0,0,3,0,2,0,2,0,0,0,2,1,0,1,0,1,1,0,1,16,11,0,0,1,0,0,0,65,3,0,1,2,1,5,2,11,0,0,10,2,0,0,6,3,34,3,0,1,1,24,26,2,1,0,1,0,34,0,1,7,1,37,0,6,0,904,0,0,1,9,0,4,0,0
2023-03-30,1737,11,3,0,0,4,1,6,0,0,0,1,4,2,0,0,19,0,0,4,77,8,1,4,0,80,4,0,0,0,2,163,6,1,0,1,1,1,26,0,0,73,97,0,0,3,0,48,0,0,0,0,3,14,0,29,0,2,0,62,0,0,49,1,1,21,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,82,1,0,1,3,0,3,1,8,0,0,7,1,0,0,8,2,13,2,0,0,0,18,33,1,1,0,0,0,36,0,0,9,0,24,0,3,0,620,1,0,1,3,0,3,0,0
2023-03-31,1228,16,1,1,0,6,4,3,0,0,0,2,5,2,0,0,9,0,0,1,68,7,0,2,0,62,4,0,0,0,0,170,3,1,0,2,0,0,19,0,1,58,55,0,0,7,0,33,0,0,0,0,1,2,1,10,0,0,1,70,0,0,33,0,0,12,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,73,2,0,1,0,0,5,0,6,0,0,3,1,0,0,5,2,17,0,0,1,0,9,24,2,0,0,0,0,29,0,1,7,0,23,1,4,0,316,0,0,0,5,0,3,0,0
