bucket,total,--,AD,AE,AL,AM,AO,AR,AT,AU,AZ,BA,BD,BE,BF,BG,BJ,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CV,CW,CY,CZ,DE,DK,DM,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GF,GG,GH,GM,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MC,MD,MK,MM,MN,MO,MR,MT,MU,MX,MY,MZ,NA,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,QA,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SN,SR,SV,SY,SZ,TG,TH,TM,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VN,WS,ZA,ZM,ZW
2023-05-11,1428,16,0,4,1,1,0,7,5,5,0,1,1,3,0,2,0,1,20,1,79,11,0,5,0,66,0,0,0,0,0,2,182,3,0,1,0,0,0,1,19,1,7,58,80,0,0,1,0,0,1,0,45,0,0,0,6,2,1,12,0,4,0,72,0,0,26,2,0,0,49,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,5,8,0,0,2,66,2,0,3,0,0,3,1,11,0,0,5,1,0,5,1,20,0,0,1,12,26,1,0,0,0,0,0,0,0,58,0,0,4,0,23,0,4,0,349,0,0,1,7,0,1,0,1
2023-05-12,1624,13,0,4,0,2,0,5,5,5,0,2,2,4,0,1,0,1,13,7,63,10,0,7,0,64,3,0,0,0,0,1,170,0,0,1,0,0,0,1,23,0,2,53,69,1,0,0,0,0,1,0,25,0,0,0,1,13,1,22,0,3,0,69,1,0,58,0,0,1,64,0,1,0,0,0,1,2,2,1,0,0,0,1,0,0,0,0,0,7,8,0,0,0,71,1,0,0,0,1,8,6,18,0,0,4,0,0,5,0,12,0,0,1,11,31,0,1,0,1,0,0,0,0,54,0,0,7,0,30,0,2,3,531,0,1,1,7,0,3,0,0
2023-05-13,1305,16,0,0,0,0,0,5,5,8,1,2,0,4,0,0,0,0,19,0,57,9,0,0,0,76,2,0,1,0,0,1,118,1,0,1,0,0,0,0,24,0,4,52,60,0,1,0,0,0,1,0,25,0,0,1,6,0,0,22,0,7,0,82,0,0,17,0,0,1,79,0,0,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,1,11,13,0,0,1,66,1,0,4,1,1,4,2,9,0,0,8,1,0,4,0,21,1,1,0,15,23,1,0,0,0,0,0,0,0,62,0,0,5,0,32,0,7,0,281,0,0,1,11,0,3,0,0
2023-05-14,1292,21,0,0,0,0,0,6,5,5,1,1,1,3,0,3,0,1,16,1,72,5,1,4,0,98,2,1,0,0,0,2,132,4,0,0,0,1,0,1,38,0,2,51,54,0,0,0,0,0,0,3,23,0,0,1,5,8,2,13,0,1,1,96,0,0,19,0,0,1,78,0,2,0,1,1,3,1,2,1,0,0,0,0,0,0,0,0,0,1,14,0,0,0,66,2,0,0,1,0,4,0,4,0,0,7,0,0,4,0,26,0,1,0,9,18,0,0,0,1,0,0,0,0,57,0,0,6,0,37,0,3,0,228,0,0,0,7,0,1,1,0
2023-05-15,1260,13,0,0,0,0,0,9,2,5,1,1,1,3,0,1,0,0,16,0,62,6,0,5,0,89,3,0,0,0,0,2,160,1,0,1,0,0,0,2,20,0,3,44,71,0,0,0,2,0,1,0,9,0,0,0,1,8,4,4,0,5,0,73,0,0,19,0,0,0,70,1,1,0,2,0,1,1,1,0,0,0,0,0,1,0,0,0,0,4,3,0,0,1,75,1,0,0,2,0,7,2,12,1,0,4,0,0,5,1,12,1,0,1,11,19,1,1,0,0,0,1,0,0,43,0,0,7,0,32,1,2,0,273,0,1,0,9,1,1,0,0
2023-05-16,1385,13,0,1,0,0,0,8,4,7,1,3,1,2,0,1,0,0,16,4,72,10,0,4,0,89,1,0,0,0,0,2,181,0,0,2,0,0,0,0,25,0,1,53,60,0,0,0,1,0,5,0,11,0,0,0,5,1,2,23,0,0,0,67,0,1,28,0,1,1,88,0,0,0,0,0,3,3,1,5,1,0,1,0,0,0,0,0,0,5,6,0,0,0,66,3,0,9,2,0,3,2,11,0,0,4,1,0,2,1,10,1,0,1,9,18,0,0,0,0,0,0,0,0,40,0,0,7,1,43,1,6,0,310,0,0,1,11,0,1,0,1
2023-05-17,1395,19,0,0,0,1,0,3,7,10,1,1,0,3,1,3,0,1,13,1,84,7,0,8,0,88,3,0,0,0,1,2,130,1,1,2,0,0,0,1,25,0,2,44,58,0,0,0,0,0,5,0,36,0,3,1,6,11,0,15,1,5,1,64,0,0,19,0,1,2,76,0,1,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,1,8,0,0,0,69,1,0,2,0,0,4,2,15,0,0,4,0,0,5,1,21,0,0,2,9,24,0,0,0,1,0,0,0,0,80,0,0,8,0,40,0,4,1,297,1,1,1,15,0,3,0,2
2023-05-18,1341,20,0,4,1,0,0,3,4,5,1,1,1,5,1,0,0,0,16,3,75,6,0,5,0,88,1,0,0,0,1,3,110,5,0,2,0,0,0,1,18,0,0,49,68,0,0,0,0,0,3,0,49,0,0,2,1,1,1,11,0,4,0,69,0,0,15,0,0,1,71,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,10,1,1,1,54,1,0,0,1,0,5,2,14,0,0,7,0,0,4,1,15,0,0,1,14,25,0,1,0,0,0,0,0,0,74,0,0,6,1,39,0,3,0,314,1,0,0,11,0,2,0,1
2023-05-19,1318,17,0,1,0,1,0,13,5,4,1,3,1,4,0,2,0,0,13,0,55,3,0,2,0,99,3,0,0,0,0,2,135,2,0,2,0,0,0,1,14,0,3,41,63,0,0,0,0,0,1,0,38,1,0,1,3,2,2,12,0,1,0,58,0,0,29,0,0,0,83,0,1,0,0,0,0,2,2,0,0,0,1,0,1,0,0,0,0,4,15,0,0,1,65,3,0,1,0,2,3,1,14,0,0,5,4,0,3,0,19,0,0,0,10,21,0,1,0,0,0,0,0,0,55,0,0,6,0,47,1,4,1,281,3,0,0,15,0,4,0,1
2023-05-20,1297,20,0,0,0,0,0,13,6,8,1,1,3,3,0,0,0,0,12,1,61,4,0,3,0,105,2,1,0,0,0,0,127,0,0,1,0,2,0,2,16,0,2,47,59,0,0,0,0,0,1,0,29,1,3,1,3,2,3,13,0,1,1,84,0,0,28,0,0,0,57,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,2,7,0,0,2,75,0,0,0,0,0,4,2,8,0,0,4,0,0,7,0,11,1,0,0,5,27,0,0,0,0,0,0,0,0,60,0,0,8,1,22,1,5,0,297,1,0,0,15,0,0,0,0
2023-05-21,1240,17,1,1,0,0,0,8,5,6,1,1,1,4,0,0,0,1,19,4,66,10,0,9,1,78,5,0,0,0,0,4,111,5,0,0,0,1,0,0,30,0,2,50,68,2,0,0,0,1,2,0,29,0,0,1,3,1,1,23,0,1,0,77,0,0,32,0,0,0,51,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,5,6,0,0,0,48,2,0,2,0,0,4,0,3,0,0,6,0,0,5,2,9,0,0,1,9,28,0,0,0,0,0,0,0,0,49,0,0,8,0,22,0,4,0,277,0,0,1,9,0,2,0,0
2023-05-22,1274,22,0,1,0,0,0,5,2,2,1,2,0,4,0,1,0,1,16,1,76,9,0,3,0,102,1,0,0,0,0,3,145,0,0,1,0,0,1,0,25,0,3,55,76,0,0,0,0,0,3,0,8,0,3,1,5,2,1,15,0,3,0,59,0,0,19,0,0,0,64,0,1,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,4,2,0,0,0,68,3,0,2,0,0,5,1,9,0,0,3,0,0,5,0,17,0,1,1,17,26,0,0,0,0,0,0,0,0,51,0,0,2,0,19,0,3,0,275,1,1,1,8,0,2,0,0
2023-05-23,1266,26,0,3,0,1,0,5,5,5,1,0,2,5,0,0,0,0,23,1,63,6,0,7,0,80,4,0,0,0,0,5,170,4,0,1,0,0,0,0,14,0,0,76,68,0,0,0,0,0,1,0,20,0,0,1,6,0,1,10,0,2,0,54,0,0,13,0,0,0,43,0,2,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,7,1,0,0,0,68,3,0,6,0,0,5,0,10,1,0,2,0,0,5,1,13,0,0,0,11,21,0,1,0,0,0,0,0,0,47,0,0,4,0,37,0,5,0,276,0,0,0,4,0,5,0,0
2023-05-24,1282,16,0,1,0,0,0,7,7,4,0,0,1,6,0,0,0,0,14,2,66,10,0,7,0,97,1,1,0,0,0,1,152,3,0,1,0,2,2,0,20,2,0,46,62,0,0,0,0,0,3,0,34,0,4,1,2,7,0,13,0,3,0,61,0,0,28,0,0,0,52,0,0,0,0,0,0,1,0,2,1,1,1,1,0,0,0,0,0,6,1,0,0,1,68,4,0,0,1,0,3,0,7,0,0,7,1,0,6,0,15,1,0,0,7,24,0,3,0,0,0,0,0,0,41,1,0,6,0,22,1,6,0,291,0,1,2,9,0,1,0,0
2023-05-25,1253,22,0,5,0,1,0,6,6,5,0,3,2,5,0,0,0,1,14,5,75,4,1,3,0,67,3,0,0,0,0,2,151,3,0,1,1,4,2,1,12,0,2,49,62,1,0,0,0,0,4,0,46,0,2,0,1,3,0,7,0,1,0,60,0,1,16,0,0,0,65,0,1,0,0,0,2,2,4,0,1,0,2,0,0,1,0,0,0,5,3,0,0,0,59,1,0,1,0,1,5,0,5,1,0,4,2,0,6,0,23,1,1,2,6,28,0,2,0,0,0,0,0,0,47,0,0,5,0,27,0,5,0,267,0,0,2,4,0,1,0,1
2023-05-26,1304,15,0,0,0,0,0,13,2,2,0,0,3,5,0,0,0,1,19,2,62,6,0,4,0,92,0,0,0,0,0,0,146,0,0,1,0,0,2,0,23,0,3,44,59,1,0,0,0,0,1,0,82,0,3,1,2,1,1,11,2,1,0,54,0,0,18,0,0,0,55,0,1,0,0,0,1,2,1,2,0,0,1,0,1,1,0,0,0,6,1,1,1,0,67,3,0,1,1,0,4,0,11,0,0,4,0,0,5,0,20,2,0,0,4,22,0,1,0,0,0,0,0,0,44,0,0,5,0,22,0,7,0,315,1,0,1,7,0,1,0,0
2023-05-27,1260,16,0,1,0,0,1,7,6,8,0,2,1,4,0,3,0,0,19,4,52,3,0,5,0,86,2,0,0,0,0,3,101,1,0,0,0,1,0,1,18,0,1,51,62,0,0,0,0,0,3,0,28,0,1,1,4,2,2,22,0,1,0,66,0,0,45,0,0,0,58,0,0,0,1,0,4,1,1,0,0,0,2,0,0,0,0,1,0,6,4,0,0,1,57,2,0,2,1,0,4,0,13,0,0,7,1,0,3,1,21,2,0,0,9,25,1,0,0,0,0,0,0,0,49,0,0,2,1,25,0,7,0,305,0,0,2,5,0,1,0,1
2023-05-28,1129,15,0,1,0,0,0,7,4,6,2,3,2,3,0,1,1,0,14,1,67,6,0,11,0,84,2,0,1,0,0,3,103,2,0,0,0,0,2,0,23,1,2,46,48,0,0,0,0,0,2,1,23,0,1,2,0,1,1,14,0,1,0,61,0,0,6,0,0,0,62,0,0,0,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,5,2,0,0,1,68,1,0,0,0,0,3,0,5,0,1,6,0,0,6,1,14,2,0,0,9,18,0,0,0,0,0,0,0,0,34,1,0,5,0,20,0,6,0,273,1,0,1,4,0,0,0,0
2023-05-29,1217,15,0,0,0,0,0,5,4,4,0,1,0,3,0,0,0,0,12,3,62,6,0,3,0,82,4,1,0,0,0,1,122,7,0,0,0,0,0,1,15,1,3,56,65,0,0,0,0,0,3,0,6,0,1,0,1,8,0,13,0,4,0,64,0,0,26,0,0,1,59,0,1,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,5,2,0,0,0,84,0,0,0,0,1,2,0,5,0,0,10,0,0,4,0,25,0,1,1,7,19,0,3,0,0,0,0,0,0,53,0,0,2,0,21,0,6,1,285,0,0,0,8,0,2,1,0
2023-05-30,1238,22,0,0,1,0,0,2,4,8,0,0,3,6,0,1,0,0,17,0,60,3,0,5,0,72,4,0,0,0,0,3,165,1,0,1,0,0,0,0,18,0,4,49,50,0,0,0,0,0,0,0,14,0,0,1,1,0,1,18,0,2,0,70,0,0,16,0,0,0,52,0,2,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,7,0,0,0,74,3,0,3,1,1,4,0,8,0,0,8,1,0,3,1,20,1,0,1,4,17,0,1,0,0,0,0,0,0,46,0,0,5,0,25,0,6,0,300,0,0,1,12,0,2,1,0
2023-05-31,1226,19,0,0,0,0,0,4,4,4,0,1,2,5,0,0,0,1,15,0,69,8,0,3,0,68,4,0,0,0,0,2,156,1,0,1,0,0,2,0,21,0,2,46,51,0,0,0,0,0,3,0,23,0,0,1,8,2,0,11,0,0,0,66,0,0,18,0,0,0,61,0,0,0,1,1,0,1,2,1,0,0,2,0,0,0,1,0,0,1,2,0,0,0,64,0,0,0,0,3,9,0,9,0,2,10,0,0,6,0,22,1,0,1,4,23,0,0,0,0,0,0,0,0,59,0,1,3,0,18,0,10,0,280,1,0,0,6,0,0,0,0
