bucket,total,--,AE,AL,AM,AO,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BJ,BN,BO,BR,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GM,GR,GT,HK,HN,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JP,KE,KG,KH,KR,KW,KY,KZ,LA,LB,LK,LT,LU,LV,LY,MA,MC,MD,MK,MM,MN,MO,MR,MT,MU,MV,MW,MX,MY,MZ,NC,NE,NG,NI,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,QA,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,SO,SV,SY,TG,TH,TM,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-04-21,1235,16,0,0,0,0,4,5,9,0,1,0,0,7,2,0,0,0,1,14,0,0,79,9,0,7,0,76,1,0,0,0,1,162,1,1,0,0,0,0,27,0,2,62,79,0,0,0,0,0,17,0,1,0,1,4,0,0,12,0,3,0,57,0,9,0,0,0,10,0,0,1,0,0,0,1,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,68,2,0,2,0,0,3,0,5,0,1,3,0,0,4,1,18,1,0,0,10,17,0,0,0,0,0,0,46,0,0,9,0,26,0,6,0,313,0,1,2,0,2,0,0
2023-04-22,1231,14,1,0,0,0,3,2,5,1,0,0,0,8,1,0,0,0,1,14,0,0,63,8,0,2,0,87,3,0,0,0,2,150,2,0,1,0,0,1,31,0,0,58,58,0,0,0,0,0,33,1,1,0,3,6,7,0,9,0,3,0,71,0,11,0,0,1,16,0,0,1,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,6,0,0,0,1,0,67,3,1,1,0,0,3,1,5,0,0,4,1,0,4,0,27,1,0,0,14,16,0,0,0,0,0,0,35,0,0,3,0,26,0,5,0,321,0,0,0,0,0,0,0
2023-04-23,1427,8,2,1,0,0,7,6,2,1,0,0,0,4,1,0,0,0,1,21,1,0,80,8,0,9,0,70,0,0,0,0,1,187,3,0,0,0,0,0,21,0,3,71,70,0,1,0,2,0,15,1,0,0,3,2,1,1,20,0,5,0,66,0,36,1,0,0,20,0,0,1,0,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,6,3,0,0,0,1,0,81,2,2,0,0,0,6,1,9,0,0,4,0,0,5,1,20,0,0,0,15,20,0,0,0,0,0,0,38,0,0,3,0,32,0,3,0,403,0,0,1,9,1,1,0
2023-04-24,1296,14,2,0,0,0,10,4,7,2,0,0,1,6,0,1,0,0,0,23,2,0,73,5,0,8,0,60,1,0,0,0,2,181,1,1,0,1,0,1,16,0,4,52,75,1,0,0,1,0,20,0,1,0,3,4,1,0,15,0,1,0,57,0,21,0,0,1,35,0,0,1,1,0,0,2,1,4,0,1,0,0,0,0,0,0,0,0,1,0,0,6,4,0,0,0,1,0,73,3,0,0,0,1,1,2,5,0,0,8,1,0,3,2,20,0,1,0,15,21,1,0,0,0,0,0,31,0,0,6,0,32,1,4,0,317,0,1,1,8,0,1,1
2023-04-25,1297,15,1,0,0,0,13,3,3,2,2,0,0,6,2,0,0,0,0,14,0,0,67,5,0,2,0,56,2,0,0,0,3,174,3,1,0,0,0,0,18,0,2,61,63,0,0,0,1,0,26,0,0,0,2,6,9,4,16,0,0,0,67,0,21,0,0,2,55,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,5,5,0,0,0,1,0,62,2,0,2,0,2,7,0,6,0,2,6,2,0,2,0,17,2,1,0,12,14,0,1,0,0,0,0,32,0,0,10,0,28,0,5,0,328,1,1,0,4,4,0,0
2023-04-26,1338,21,0,0,1,0,7,6,5,1,0,0,0,3,4,0,0,0,0,16,0,0,87,7,0,4,0,66,1,0,0,1,3,159,3,1,0,0,0,0,13,0,1,66,82,1,0,0,1,0,53,0,1,0,1,3,0,2,10,0,1,0,62,0,10,0,0,2,46,0,0,1,0,0,0,3,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,66,4,0,4,1,0,5,0,4,0,0,5,0,0,7,0,20,1,0,0,23,19,0,2,0,0,0,0,54,0,0,3,0,28,0,3,0,311,0,0,0,6,0,0,0
2023-04-27,1399,11,7,0,1,0,6,1,9,1,0,0,0,5,1,0,0,0,0,13,0,0,78,13,0,4,0,86,2,0,0,0,3,170,5,2,2,0,0,1,12,0,2,63,77,0,0,0,0,0,61,0,0,0,2,0,0,2,13,5,0,0,68,0,18,0,0,3,36,0,0,1,1,1,0,1,2,2,0,1,0,0,0,1,0,1,0,0,0,0,0,4,18,0,0,0,0,0,63,2,1,4,0,1,5,2,10,0,0,5,0,1,7,0,20,1,0,0,18,14,0,1,0,0,0,1,44,0,0,6,1,33,0,4,0,328,2,0,0,9,0,0,0
2023-04-28,1451,20,1,0,0,0,7,2,6,1,0,0,2,5,0,0,0,0,0,11,1,0,69,10,0,2,0,78,3,0,0,0,3,178,4,1,0,0,0,0,16,0,1,53,54,0,0,0,0,0,64,0,0,0,3,4,2,2,10,0,4,0,74,0,13,0,0,3,42,0,0,2,0,0,1,1,1,2,0,2,0,0,1,0,0,1,0,0,2,0,0,3,13,0,0,0,2,0,61,0,0,10,0,0,10,3,9,0,1,3,0,0,7,2,25,0,0,0,11,24,0,3,0,0,0,0,76,0,0,8,0,29,0,2,0,376,1,0,1,4,4,0,1
2023-04-29,1318,17,1,0,1,1,9,2,6,1,0,0,1,7,1,0,0,0,0,11,5,0,65,5,0,3,0,66,2,0,0,0,3,148,3,0,0,0,0,0,25,0,5,38,55,0,0,0,1,0,56,0,0,0,1,2,1,1,14,1,2,0,74,0,20,1,0,4,38,0,0,1,1,0,0,1,5,1,0,1,0,0,1,0,1,2,0,0,0,1,0,7,12,0,0,0,3,0,64,1,0,8,0,1,10,1,10,0,0,7,0,0,0,0,15,1,1,0,15,15,0,1,0,0,0,0,59,0,0,6,0,27,0,4,0,326,0,0,1,6,5,0,0
2023-04-30,1223,18,1,0,1,0,3,3,4,1,0,0,0,6,1,0,0,0,0,8,2,0,78,9,0,3,0,54,2,0,0,0,1,152,5,0,0,0,0,0,29,1,2,47,66,0,0,0,2,0,17,0,0,0,2,3,0,3,8,0,3,0,66,0,12,1,1,1,44,0,0,0,0,1,0,2,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,5,12,0,0,0,1,0,62,0,0,5,0,0,6,2,7,0,1,7,0,0,5,2,17,0,0,0,16,17,0,0,0,0,0,0,44,0,0,5,0,23,0,3,0,306,0,0,0,7,2,0,0
