bucket,total,--,AE,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CV,CW,CZ,DE,DK,DO,EC,EE,EG,ES,FI,FR,GB,GE,GH,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KH,KR,KZ,LA,LB,LT,LV,MA,MD,ME,MK,MM,MN,MO,MW,MX,MY,NA,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,RE,RO,RS,RU,RW,SC,SE,SG,SK,TH,TN,TR,TW,UA,US,UY,UZ,VE,VN,ZA,ZW
2023-07-30T23,92,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,12,0,0,0,0,0,6,0,0,0,0,0,0,0,4,3,0,0,1,0,1,0,0,0,0,0,0,1,0,5,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,6,0,1,0,1,0,2,28,0,0,0,0,0,0
2023-07-31T00,90,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,13,0,0,0,0,0,4,0,0,2,0,0,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,38,0,0,0,0,0,0
2023-07-31T01,154,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,19,0,0,0,0,0,2,0,0,0,0,0,1,0,1,8,0,0,0,0,1,0,0,0,0,3,0,0,0,0,27,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,1,0,0,1,0,67,0,0,0,0,0,0
2023-07-31T02,159,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7,0,0,0,17,0,0,0,0,0,5,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,5,0,0,0,0,25,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,5,0,2,0,0,2,2,62,0,0,0,0,0,0
2023-07-31T03,174,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,15,0,0,0,0,1,12,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,2,0,1,2,0,99,0,0,0,0,2,0
2023-07-31T04,84,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,1,5,0,2,0,0,1,1,35,0,0,0,1,1,0
2023-07-31T05,86,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,2,7,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,6,0,2,0,0,0,0,35,0,0,0,1,0,0
2023-07-31T06,148,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,12,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,3,1,0,0,5,0,1,0,0,1,0,84,0,0,0,1,0,1
2023-07-31T07,110,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,1,0,5,3,0,0,0,0,1,0,0,0,0,1,0,6,0,0,11,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,2,0,0,1,0,2,1,0,0,0,4,0,0,0,5,0,2,0,0,1,0,46,0,0,0,0,0,0
2023-07-31T08,125,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,28,0,0,0,0,0,1,1,2,5,0,0,0,0,6,0,0,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,1,0,0,1,0,5,0,0,0,6,0,0,0,0,0,0,53,0,0,0,0,0,0
