bucket,total,--,AE,AM,AO,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,ES,FI,FR,GB,GE,GH,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KG,KH,KR,KZ,LA,LB,LT,LU,LV,MA,MD,ME,MK,MM,MN,MO,MW,MX,MY,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SE,SG,SK,TH,TN,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA
2023-12-17T23,119,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9,2,0,1,0,23,0,0,0,0,10,0,0,0,0,0,3,0,4,7,0,0,0,0,0,0,0,2,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,5,0,0,0,0,1,0,0,27,0,0,0,0,0
2023-12-18T00,121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0,22,0,0,0,1,8,0,0,0,1,0,1,0,1,7,0,0,0,0,1,0,0,1,0,0,0,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,1,0,2,0,1,0,0,0,0,1,1,5,0,0,0,0,0,0,0,34,0,0,0,1,0
2023-12-18T01,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,21,1,0,0,1,9,0,0,0,0,0,1,0,0,8,0,0,0,0,2,0,0,2,0,0,0,0,1,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,7,0,2,0,0,0,0,0,39,0,0,0,0,0
2023-12-18T02,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,15,1,0,0,0,9,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,30,0,0,0,1,0
2023-12-18T03,108,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,19,0,0,0,0,5,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,3,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,1,0,1,0,1,1,1,7,0,0,0,1,2,0,0,39,0,0,0,0,0
2023-12-18T04,116,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,5,2,0,0,0,19,0,2,0,0,7,0,0,0,0,0,0,0,4,5,0,0,0,0,1,0,0,0,0,1,2,0,3,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,7,0,1,0,1,0,0,0,37,0,0,0,0,1
2023-12-18T05,97,2,0,0,0,2,0,1,0,0,0,0,1,1,0,0,1,1,4,1,0,0,0,22,0,0,0,0,6,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,5,0,2,0,0,0,0,0,29,0,0,0,1,1
2023-12-18T06,95,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,20,0,0,0,0,7,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,5,0,2,0,0,0,0,0,37,0,0,0,0,0
2023-12-18T07,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,26,0,0,0,0,7,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,3,0,2,5,0,0,0,0,0,0,0,28,0,0,0,1,0
2023-12-18T08,90,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,29,1,0,0,0,7,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,7,0,1,0,0,1,0,0,17,0,0,0,0,1
2023-12-18T09,100,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,22,0,0,0,0,12,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,1,0,3,0,1,7,0,3,0,0,0,0,0,23,0,0,0,0,0
2023-12-18T10,107,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,14,0,0,0,0,9,0,0,0,0,0,0,1,2,4,0,0,0,0,3,0,0,1,0,0,0,0,2,4,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,2,0,1,0,0,0,2,0,2,1,0,6,0,6,0,0,0,0,0,20,0,1,1,2,1
2023-12-18T11,93,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,11,0,0,0,0,11,0,0,0,0,0,1,1,3,3,0,0,0,0,1,0,0,0,0,0,1,0,2,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,4,0,0,5,0,5,0,0,6,0,0,21,0,0,0,1,0
2023-12-18T12,97,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,9,0,0,0,1,10,0,0,0,0,0,0,0,1,4,0,0,0,0,2,0,0,0,0,0,1,0,2,3,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,4,0,3,0,1,0,0,0,0,0,0,0,0,6,0,12,0,0,4,0,0,19,0,0,0,0,0
2023-12-18T13,106,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,17,0,0,0,0,14,0,0,0,0,0,0,0,4,5,0,0,0,0,3,0,0,1,0,0,0,1,1,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,4,0,2,5,0,8,0,0,3,0,0,16,0,0,0,0,0
2023-12-18T14,149,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,4,0,0,0,0,11,0,0,0,0,17,1,0,0,0,0,1,1,8,9,0,0,0,0,3,0,0,2,0,0,0,0,0,6,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,4,0,0,1,0,4,0,2,0,0,0,0,0,1,0,1,6,0,12,0,0,7,0,0,29,0,1,1,1,1
2023-12-18T15,144,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,3,0,3,0,0,0,0,11,2,0,0,0,16,0,0,0,0,0,1,0,7,7,0,0,0,0,7,0,0,2,0,0,2,0,0,7,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,0,0,0,0,3,0,1,0,0,0,2,1,2,1,0,6,0,11,0,0,7,0,0,18,0,1,1,0,1
2023-12-18T16,139,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,9,1,0,0,0,22,0,0,0,0,0,1,1,12,8,0,0,0,0,1,0,0,0,0,0,1,0,1,11,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,2,0,5,1,0,5,0,11,0,0,5,1,0,28,0,0,0,0,0
2023-12-18T17,146,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,13,0,0,0,0,23,0,0,0,0,0,4,0,15,10,0,0,0,0,2,0,0,0,0,0,0,0,2,14,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,1,0,1,0,1,0,6,0,3,5,0,3,0,0,1,0,0,27,0,0,0,2,0
2023-12-18T18,163,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,6,0,0,0,0,39,3,0,0,0,0,5,0,13,8,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,2,0,1,0,0,0,4,0,2,7,0,4,0,3,1,0,0,30,0,0,0,2,1
2023-12-18T19,167,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,9,0,0,0,0,4,0,0,0,0,52,1,0,0,0,0,3,0,7,9,0,0,0,0,1,0,0,1,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,1,0,0,0,1,0,1,0,2,0,3,0,1,5,0,3,0,1,1,0,0,24,0,0,0,1,0
