bucket,total,--,AD,AE,AL,AM,AR,AT,AU,BA,BB,BD,BE,BG,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EG,ES,ET,FI,FJ,FR,GB,GE,GM,GR,GT,HK,HN,HR,HT,HU,ID,IE,IL,IM,IN,IQ,IR,IS,IT,JP,KE,KG,KH,KR,KZ,LA,LB,LK,LT,LV,MA,MD,MK,MM,MN,MO,MU,MX,MY,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,RO,RS,RU,RW,SE,SG,SI,SK,SN,SV,TH,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZW
2023-10-08T10,118,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,5,0,0,0,13,0,0,0,9,0,0,0,0,0,4,0,0,0,6,5,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,1,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,1,5,0,0,0,0,8,0,1,0,4,0,0,0,20,0,0,1,1,0,0
2023-10-08T11,116,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,3,1,0,0,13,0,0,0,8,0,0,0,0,0,2,0,0,0,6,6,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,2,0,1,0,0,2,0,0,0,0,0,0,2,0,1,6,0,0,0,0,12,0,1,0,4,0,0,0,17,0,0,1,1,1,0
2023-10-08T12,129,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,20,0,0,0,15,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,8,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,2,0,3,0,0,1,0,1,0,3,0,0,6,0,0,0,0,7,0,2,0,4,0,0,0,24,0,0,0,0,0,0
2023-10-08T13,162,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,6,0,0,0,23,1,0,0,13,1,0,0,0,0,0,0,0,0,5,5,0,0,0,0,9,0,0,0,2,1,0,0,0,1,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,2,0,0,1,0,0,0,2,0,0,6,0,0,0,0,8,0,1,0,8,0,1,0,30,0,0,0,0,1,0
2023-10-08T14,157,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,0,0,0,19,1,0,0,11,0,0,0,0,0,1,0,0,0,7,6,0,0,0,0,6,0,0,0,1,1,0,1,0,1,0,0,0,9,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,3,0,3,0,0,1,0,0,0,4,0,2,8,0,0,0,0,11,0,1,0,5,0,0,0,31,0,0,0,0,0,0
2023-10-08T15,161,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,15,0,0,0,19,0,0,0,0,0,3,0,0,0,10,9,0,0,0,0,3,0,0,0,2,0,0,0,0,1,1,0,0,13,3,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,2,5,0,0,0,0,9,0,4,0,6,0,0,0,31,0,0,0,1,0,0
2023-10-08T16,167,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,1,0,0,2,0,0,1,29,0,0,0,0,0,4,0,0,0,8,13,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,17,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,0,5,0,0,0,0,1,0,2,0,3,7,0,0,0,0,8,0,1,0,4,0,0,0,29,0,1,1,0,0,0
2023-10-08T17,217,4,0,0,0,0,0,0,0,0,0,1,3,0,1,2,0,4,1,1,0,4,0,0,0,33,0,0,0,0,0,6,0,0,0,13,11,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,2,0,21,5,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,7,0,0,1,0,0,2,0,4,0,0,1,0,0,0,4,0,6,7,1,0,0,0,9,0,2,0,5,0,0,0,42,0,2,0,0,0,0
2023-10-08T18,196,2,0,0,0,0,1,2,0,0,1,1,3,0,0,1,0,5,2,1,0,2,0,0,0,26,1,0,0,0,0,5,0,0,0,10,13,0,0,0,0,4,0,0,0,0,1,1,0,0,1,0,2,0,12,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,1,0,2,0,0,0,0,0,0,3,0,7,5,1,0,0,0,6,0,2,0,3,0,0,0,37,0,1,0,0,1,0
2023-10-08T19,207,3,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,8,1,0,0,2,0,0,0,28,1,0,0,0,0,1,0,0,0,12,13,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,14,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,2,6,0,0,0,0,5,0,1,0,1,0,0,0,74,0,0,0,0,0,0
2023-10-08T20,158,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,14,2,0,0,4,0,0,0,17,0,0,0,0,0,1,0,0,0,8,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,3,0,0,3,0,0,0,1,0,3,5,0,0,0,0,3,0,1,0,1,0,1,0,29,0,0,1,0,0,0
2023-10-08T21,140,1,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,9,2,0,0,4,0,0,0,11,0,0,0,0,0,1,0,0,0,8,9,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,18,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,2,0,0,4,0,0,0,3,1,2,5,0,0,0,0,1,0,1,0,1,0,0,0,38,0,0,0,0,0,0
2023-10-08T22,127,1,0,0,0,0,0,1,3,0,0,0,1,0,0,1,0,9,1,0,0,3,0,1,0,10,0,0,0,0,0,2,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,0,0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,1,0,0,3,0,0,0,2,0,1,6,0,0,0,0,1,0,0,0,2,0,0,0,41,0,0,0,0,0,0
2023-10-08T23,104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,1,0,0,0,2,0,0,0,44,0,0,0,0,0,0
2023-10-09T00,107,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,5,0,0,0,2,1,0,0,5,0,0,1,0,0,0,1,0,0,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,4,1,0,0,0,0,0,1,2,0,0,0,0,0,0,3,0,0,5,0,0,0,0,2,0,0,0,2,0,0,0,43,0,0,0,0,0,0
2023-10-09T01,93,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,7,1,0,0,3,1,0,1,8,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,7,0,1,0,0,1,0,0,0,1,0,0,0,32,0,0,0,0,0,0
2023-10-09T02,94,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,6,0,0,0,3,0,0,0,7,0,0,0,0,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,1,0,0,0,3,0,0,0,43,0,0,0,0,0,0
2023-10-09T03,71,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,2,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,6,0,0,0,0,2,0,0,0,1,0,0,0,32,0,0,0,0,2,0
2023-10-09T04,88,5,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,4,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,6,0,0,0,0,4,0,0,0,1,0,0,0,31,0,0,0,0,1,0
2023-10-09T05,75,5,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,3,0,0,0,3,0,0,0,4,0,0,0,0,1,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,0,5,0,0,0,31,0,0,0,0,0,0
2023-10-09T06,76,1,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,1,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,2,0,1,0,2,0,0,0,33,0,0,0,0,0,0
2023-10-09T07,75,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,4,0,0,6,0,0,0,0,4,0,0,0,2,0,0,0,22,0,0,0,0,0,0
2023-10-09T08,81,2,0,0,0,0,0,2,3,0,0,1,0,0,0,1,0,0,1,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,6,0,0,0,0,4,0,1,0,2,0,0,0,23,0,0,0,0,0,0
2023-10-09T09,86,3,0,1,0,0,0,1,1,0,0,2,1,1,0,0,0,1,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,1,0,1,0,2,1,0,6,0,0,0,0,3,0,1,0,2,0,0,0,20,0,0,0,0,0,0
2023-10-09T10,85,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,11,0,0,0,9,0,0,0,0,0,1,0,0,0,6,4,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,6,0,0,0,0,3,0,0,0,5,0,0,0,12,0,0,0,1,0,0
2023-10-09T11,101,2,0,0,0,0,1,0,2,0,0,1,1,0,0,1,0,6,1,0,0,13,0,0,0,10,0,0,0,0,0,2,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,3,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,6,0,0,0,0,5,0,0,0,5,0,0,0,16,0,0,0,0,0,0
2023-10-09T12,119,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,15,0,0,0,10,0,0,0,0,0,1,0,0,0,7,6,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,1,8,0,0,0,0,15,0,1,0,2,0,1,0,21,0,0,0,0,0,0
2023-10-09T13,108,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,16,0,0,0,11,1,0,0,0,0,0,0,0,0,4,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,2,0,0,1,0,0,0,5,0,0,6,0,0,0,0,18,0,1,0,3,0,0,0,17,0,0,0,0,0,0
2023-10-09T14,122,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,2,0,0,12,0,0,0,7,1,0,0,0,0,0,0,0,0,3,9,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,8,0,0,1,0,0,1,0,1,0,0,1,0,1,0,3,0,0,5,0,0,0,0,22,0,0,0,5,0,0,0,19,0,0,0,0,1,0
2023-10-09T15,131,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,14,0,0,0,14,0,0,0,0,0,3,0,0,0,7,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,1,0,0,1,0,1,0,3,0,3,5,0,0,0,0,9,0,0,0,5,0,0,0,22,0,0,0,0,0,0
2023-10-09T16,142,2,0,0,0,0,1,1,0,0,0,1,1,0,0,2,0,5,2,0,0,3,0,0,0,23,0,0,0,0,0,2,0,0,0,5,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,4,0,0,1,0,1,0,2,0,2,6,0,1,0,0,11,0,0,0,5,0,0,0,22,0,0,0,0,0,0
2023-10-09T17,178,2,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,8,1,0,0,2,0,0,0,35,0,0,0,0,0,1,0,0,0,7,12,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,17,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,6,6,0,0,0,0,10,0,1,0,4,0,0,0,32,0,0,0,0,0,0
2023-10-09T18,177,2,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,8,1,0,0,0,0,0,0,32,0,0,0,0,0,3,0,0,0,5,17,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,14,2,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,25,0,0,0,0,0,0,0,0,0,0,2,0,2,0,4,0,2,5,0,0,0,0,10,0,2,0,2,0,0,0,26,0,0,0,0,0,0
2023-10-09T19,184,1,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,5,2,0,0,5,0,0,0,39,0,0,0,0,0,1,0,0,0,8,15,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,19,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,24,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,2,6,0,0,0,0,5,0,2,0,2,0,1,0,22,1,0,0,0,1,0
2023-10-09T20,181,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,4,4,0,0,4,0,0,0,33,0,0,0,0,0,1,0,1,0,14,17,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,21,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,2,0,0,1,0,2,0,1,0,4,8,0,0,0,0,0,0,2,0,2,0,1,0,29,1,0,0,0,1,0
2023-10-09T21,129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2,0,0,1,20,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,16,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,9,0,0,0,0,0,0,2,0,4,0,1,0,29,0,1,0,0,0,0
2023-10-09T22,133,3,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,12,0,0,0,21,0,0,0,11,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,11,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,1,0,4,0,0,8,0,0,0,0,0,0,1,0,3,0,0,0,24,0,1,0,1,0,0
2023-10-09T23,113,2,0,0,0,0,4,1,0,0,0,0,0,0,1,1,0,5,1,0,0,16,0,0,0,5,0,0,0,0,0,3,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,6,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,5,0,0,0,0,0,0,0,0,3,0,0,0,31,0,0,0,1,0,0
2023-10-10T00,129,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,9,0,1,0,19,0,0,0,4,0,0,0,0,0,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,3,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,2,0,4,0,3,5,0,0,0,0,0,0,2,0,2,0,0,0,46,0,0,0,1,0,0
2023-10-10T01,126,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,8,0,1,0,23,0,0,1,6,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,2,6,0,0,0,0,1,0,1,0,5,0,0,0,45,0,0,0,0,0,0
2023-10-10T02,99,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,14,0,0,0,4,0,1,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,0,0,0,0,1,0,0,0,4,0,1,0,36,0,0,0,0,0,0
2023-10-10T03,91,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,16,0,0,0,4,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,1,0,32,0,0,0,1,0,0
2023-10-10T04,105,3,0,1,0,0,0,0,0,0,0,1,0,1,0,3,0,6,0,0,0,12,0,0,0,5,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,0,4,0,0,0,39,0,1,0,0,0,0
2023-10-10T05,93,2,0,1,0,0,0,0,0,0,0,3,0,0,0,3,0,5,0,0,0,9,0,0,0,5,0,0,0,1,1,0,0,0,0,5,3,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,1,1,4,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,4,0,0,0,24,0,1,2,1,0,0
2023-10-10T06,91,2,0,0,0,0,1,2,2,0,0,2,0,0,0,3,0,3,0,0,0,6,0,0,0,7,0,0,0,1,1,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,4,0,0,0,3,0,1,0,33,1,1,0,0,0,0
2023-10-10T07,73,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,3,0,0,0,4,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,25,0,0,0,0,0,0
